br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
1,1,1,2019-01,18500.00,2019-01-28
2,1,2,2019-01,2381.98,2019-01-28
3,1,3,2019-01,326.60,2019-01-28
4,1,4,2019-01,209.00,2019-01-28
5,1,5,2019-01,1635.01,2019-01-28
6,1,6,2019-01,404.70,2019-01-28
7,2,1,2019-01,14200.00,2019-01-28
8,2,2,2019-01,1942.88,2019-01-28
9,2,3,2019-01,313.36,2019-01-28
10,2,4,2019-01,239.00,2019-01-28
11,2,5,2019-01,822.03,2019-01-28
12,2,6,2019-01,332.10,2019-01-28
13,3,1,2019-01,11800.00,2019-01-28
14,3,2,2019-01,1333.58,2019-01-28
15,3,3,2019-01,292.25,2019-01-28
16,3,4,2019-01,209.00,2019-01-28
17,3,5,2019-01,673.92,2019-01-28
18,3,6,2019-01,308.82,2019-01-28
19,4,1,2019-01,9600.00,2019-01-28
20,4,2,2019-01,1278.05,2019-01-28
21,4,3,2019-01,249.10,2019-01-28
22,4,4,2019-01,209.00,2019-01-28
23,4,5,2019-01,251.92,2019-01-28
24,4,6,2019-01,120.30,2019-01-28
25,5,1,2019-01,7800.00,2019-01-28
26,5,2,2019-01,1046.28,2019-01-28
27,5,3,2019-01,150.53,2019-01-28
28,5,4,2019-01,189.00,2019-01-28
29,5,5,2019-01,361.46,2019-01-28
30,5,6,2019-01,160.20,2019-01-28
31,1,1,2019-02,18500.00,2019-02-28
32,1,2,2019-02,2694.04,2019-02-28
33,1,3,2019-02,373.06,2019-02-28
34,1,4,2019-02,239.00,2019-02-28
35,1,5,2019-02,514.51,2019-02-28
36,1,6,2019-02,470.91,2019-02-28
37,2,1,2019-02,14200.00,2019-02-28
38,2,2,2019-02,1938.63,2019-02-28
39,2,3,2019-02,311.42,2019-02-28
40,2,4,2019-02,189.00,2019-02-28
41,2,5,2019-02,619.34,2019-02-28
42,2,6,2019-02,283.21,2019-02-28
43,3,1,2019-02,11800.00,2019-02-28
44,3,2,2019-02,1487.80,2019-02-28
45,3,3,2019-02,258.22,2019-02-28
46,3,4,2019-02,189.00,2019-02-28
47,3,5,2019-02,481.56,2019-02-28
48,3,6,2019-02,294.16,2019-02-28
49,4,1,2019-02,9600.00,2019-02-28
50,4,2,2019-02,1426.62,2019-02-28
51,4,3,2019-02,183.79,2019-02-28
52,4,4,2019-02,209.00,2019-02-28
53,4,5,2019-02,364.36,2019-02-28
