purchase_ID,product_ID,br_ID,sup_ID,purchase_qty,purchase_date,purchase_unit_cost
1,43,1,4,185,2019-01-03,9.54
2,20,1,3,109,2019-01-03,22.37
3,2,1,6,133,2019-01-03,18.87
4,14,1,2,196,2019-01-03,30.44
5,20,1,1,47,2019-01-03,21.60
6,23,1,6,87,2019-01-03,28.12
7,43,1,6,197,2019-01-03,10.34
8,8,1,5,148,2019-01-03,19.57
9,17,1,6,132,2019-01-03,37.45
10,1,1,1,161,2019-01-03,17.03
11,31,1,6,57,2019-01-03,21.80
12,30,1,6,188,2019-01-03,33.22
13,19,1,3,165,2019-01-03,38.31
14,42,1,4,163,2019-01-03,13.82
15,6,1,3,181,2019-01-03,14.37
16,32,1,4,141,2019-01-03,30.40
17,5,1,1,105,2019-01-03,17.29
18,28,1,2,92,2019-01-03,19.46
19,3,1,3,164,2019-01-03,14.23
20,4,1,1,131,2019-01-03,21.48
21,25,1,6,210,2019-01-03,23.37
22,3,1,6,65,2019-01-03,14.46
23,7,1,2,72,2019-01-03,15.27
24,9,1,5,145,2019-01-03,14.24
25,7,1,5,191,2019-01-03,15.08
26,43,1,4,157,2019-01-03,10.31
27,2,1,1,182,2019-01-03,19.85
28,30,1,2,82,2019-01-03,33.93
29,25,1,4,72,2019-01-03,23.74
30,35,1,3,139,2019-01-03,20.01
31,40,1,3,114,2019-01-03,31.35
32,7,1,1,167,2019-01-03,15.99
33,30,1,2,145,2019-01-03,32.27
34,3,1,6,87,2019-01-03,15.26
35,26,2,6,86,2019-01-03,29.51
36,23,2,6,116,2019-01-03,26.69
37,28,2,5,74,2019-01-03,20.30
38,25,2,6,123,2019-01-03,24.10
39,9,2,2,94,2019-01-03,15.45
40,22,2,2,154,2019-01-03,25.33
41,37,2,3,165,2019-01-03,26.19
42,24,2,6,73,2019-01-03,32.16
43,26,2,4,164,2019-01-03,28.35
44,3,2,1,121,2019-01-03,15.13
45,11,2,5,91,2019-01-03,19.43
46,8,2,1,105,2019-01-03,18.02
47,4,2,1,121,2019-01-03,21.77
48,26,2,4,134,2019-01-03,27.58
49,20,2,3,141,2019-01-03,23.70
50,20,2,1,170,2019-01-03,23.46
51,34,2,2,100,2019-01-03,37.19
52,5,2,3,95,2019-01-03,17.46
53,30,2,5,163,2019-01-03,33.77
54,14,2,6,93,2019-01-03,31.71
55,43,2,6,111,2019-01-03,9.65
56,29,2,6,91,2019-01-03,14.49
57,7,2,2,115,2019-01-03,15.43
58,27,2,5,98,2019-01-03,17.76
59,1,2,1,90,2019-01-03,16.85
60,5,2,3,50,2019-01-03,17.46
61,2,2,1,102,2019-01-03,18.67
62,11,2,1,61,2019-01-03,19.23
63,13,2,6,82,2019-01-03,34.13
64,8,2,2,170,2019-01-03,18.02
65,2,2,6,104,2019-01-03,19.77
66,4,2,6,79,2019-01-03,23.06
67,33,2,4,149,2019-01-03,24.58
68,41,2,6,92,2019-01-03,12.45
69,20,2,2,122,2019-01-03,21.71
70,20,3,3,105,2019-01-03,21.45
71,5,3,3,71,2019-01-03,18.60
72,25,3,6,43,2019-01-03,23.87
73,9,3,2,139,2019-01-03,15.03
74,24,3,6,52,2019-01-03,29.98
75,31,3,6,115,2019-01-03,21.05
76,2,3,1,33,2019-01-03,19.15
77,27,3,6,131,2019-01-03,17.03
78,7,3,2,78,2019-01-03,15.64
79,12,3,6,109,2019-01-03,37.60
80,24,3,4,120,2019-01-03,30.11
81,6,3,1,61,2019-01-03,13.98
82,14,3,6,130,2019-01-03,30.19
83,10,3,1,141,2019-01-03,22.13
84,25,3,6,104,2019-01-03,24.91
85,42,3,4,110,2019-01-03,14.43
86,6,3,6,78,2019-01-03,13.29
87,29,3,2,114,2019-01-03,14.74
88,34,3,4,81,2019-01-03,34.38
89,5,3,6,46,2019-01-03,17.62
90,5,3,6,124,2019-01-03,18.33
91,17,4,4,71,2019-01-03,37.21
92,36,4,3,76,2019-01-03,30.50
93,13,4,4,30,2019-01-03,31.74
94,42,4,4,76,2019-01-03,13.76
95,18,4,1,57,2019-01-03,30.75
96,17,4,2,93,2019-01-03,36.61
97,20,4,3,65,2019-01-03,23.07
98,11,4,1,45,2019-01-03,21.18
99,1,4,1,29,2019-01-03,16.95
100,32,4,2,46,2019-01-03,29.79
101,28,4,2,104,2019-01-03,20.84
102,42,4,6,43,2019-01-03,14.40
103,25,4,6,95,2019-01-03,23.04
104,8,4,5,54,2019-01-03,18.00
105,2,4,1,77,2019-01-03,20.01
106,4,4,1,94,2019-01-03,21.65
107,35,4,4,67,2019-01-03,20.62
108,16,4,4,31,2019-01-03,51.48
109,15,4,6,35,2019-01-03,47.99
110,42,4,6,51,2019-01-03,13.81
111,18,5,3,61,2019-01-03,31.74
112,11,5,5,44,2019-01-03,19.16
113,16,5,6,26,2019-01-03,50.65
114,5,5,1,57,2019-01-03,18.28
115,15,5,2,41,2019-01-03,50.21
116,41,5,6,34,2019-01-03,11.92
117,34,5,4,63,2019-01-03,38.21
118,33,5,2,57,2019-01-03,25.05
119,5,5,6,41,2019-01-03,18.93
120,6,5,6,61,2019-01-03,14.74
121,6,5,3,72,2019-01-03,13.57
122,43,5,4,65,2019-01-03,9.36
123,43,5,4,55,2019-01-03,9.62
124,1,5,6,39,2019-01-03,17.50
125,25,5,6,45,2019-01-03,23.82
126,40,5,5,69,2019-01-03,32.70
127,28,1,5,124,2019-01-18,21.09
128,24,1,4,59,2019-01-18,30.57
129,9,1,2,73,2019-01-18,14.55
130,4,1,1,122,2019-01-18,21.54
131,43,1,6,206,2019-01-18,9.87
132,8,1,2,72,2019-01-18,17.97
133,3,1,3,63,2019-01-18,15.14
134,29,1,2,65,2019-01-18,15.09
135,28,1,2,102,2019-01-18,19.25
136,25,1,4,234,2019-01-18,24.75
137,30,1,6,182,2019-01-18,32.84
138,39,1,5,121,2019-01-18,28.20
139,9,1,5,164,2019-01-18,15.24
140,30,1,5,140,2019-01-18,31.56
141,6,1,1,141,2019-01-18,13.67
142,13,1,4,196,2019-01-18,33.29
143,6,1,1,110,2019-01-18,13.72
144,8,1,5,206,2019-01-18,19.65
145,2,1,6,145,2019-01-18,18.64
146,4,1,6,159,2019-01-18,20.97
147,30,1,6,117,2019-01-18,33.37
