sal_pay_ID,st_ID,pay_period,base_amount,bonus_amount,deduction_amount,payment_date
1,2,2019-01,4187.12,0.00,481.52,2019-01-25
2,5,2019-01,2548.76,0.00,293.10,2019-01-25
3,8,2019-01,2992.12,0.00,344.09,2019-01-25
4,9,2019-01,2351.04,0.00,270.37,2019-01-25
5,10,2019-01,2727.77,0.00,313.69,2019-01-25
6,12,2019-01,2090.46,0.00,240.40,2019-01-25
7,14,2019-01,3249.28,0.00,373.67,2019-01-25
8,15,2019-01,2128.01,0.00,244.72,2019-01-25
9,16,2019-01,3773.82,0.00,433.99,2019-01-25
10,17,2019-01,2970.63,0.00,341.62,2019-01-25
11,19,2019-01,2253.13,0.00,259.11,2019-01-25
12,20,2019-01,2325.73,0.00,267.46,2019-01-25
13,21,2019-01,3003.05,0.00,345.36,2019-01-25
14,22,2019-01,1820.87,0.00,209.40,2019-01-25
15,23,2019-01,2440.17,265.08,280.62,2019-01-25
16,24,2019-01,2465.08,0.00,283.49,2019-01-25
17,25,2019-01,2086.97,0.00,240.00,2019-01-25
18,26,2019-01,2222.34,203.98,255.57,2019-01-25
19,30,2019-01,2366.89,246.99,272.19,2019-01-25
20,31,2019-01,2598.72,151.23,298.85,2019-01-25
21,36,2019-01,3059.05,365.11,351.80,2019-01-25
22,43,2019-01,4024.60,518.35,462.83,2019-01-25
23,48,2019-01,2049.68,0.00,235.71,2019-01-25
24,49,2019-01,5873.75,0.00,671.11,2019-01-25
25,54,2019-01,1869.50,0.00,215.00,2019-01-25
26,61,2019-01,2099.08,0.00,241.40,2019-01-25
27,64,2019-01,2457.05,0.00,282.57,2019-01-25
28,70,2019-01,2190.90,0.00,251.95,2019-01-25
29,78,2019-01,2817.44,0.00,324.01,2019-01-25
30,80,2019-01,2090.80,0.00,240.44,2019-01-25
31,90,2019-01,2818.89,0.00,324.17,2019-01-25
32,2,2019-02,4199.35,0.00,482.93,2019-02-25
33,4,2019-02,2131.02,0.00,245.07,2019-02-25
34,5,2019-02,2555.65,0.00,293.90,2019-02-25
35,8,2019-02,3000.85,98.81,345.09,2019-02-25
36,9,2019-02,2357.46,0.00,271.11,2019-02-25
37,10,2019-02,2735.73,149.95,314.61,2019-02-25
38,12,2019-02,2096.14,0.00,241.06,2019-02-25
39,14,2019-02,3258.13,375.95,374.68,2019-02-25
40,15,2019-02,2134.01,0.00,245.41,2019-02-25
41,16,2019-02,3784.46,0.00,435.21,2019-02-25
42,17,2019-02,2978.65,0.00,342.54,2019-02-25
43,19,2019-02,2259.66,73.25,259.86,2019-02-25
44,20,2019-02,2332.32,0.00,268.22,2019-02-25
45,21,2019-02,3011.25,0.00,346.30,2019-02-25
46,22,2019-02,1826.28,0.00,210.02,2019-02-25
47,23,2019-02,2447.00,0.00,281.40,2019-02-25
48,24,2019-02,2472.00,0.00,284.28,2019-02-25
49,25,2019-02,2092.97,0.00,240.69,2019-02-25
50,26,2019-02,2228.93,290.28,256.32,2019-02-25
51,30,2019-02,2373.87,0.00,273.00,2019-02-25
52,31,2019-02,2606.21,0.00,299.71,2019-02-25
53,36,2019-02,3067.93,169.61,352.81,2019-02-25
54,43,2019-02,4036.06,0.00,464.15,2019-02-25
55,48,2019-02,2055.65,0.00,236.40,2019-02-25
56,49,2019-02,5890.59,0.00,672.96,2019-02-25
57,51,2019-02,3950.19,0.00,454.27,2019-02-25
58,54,2019-02,1875.00,0.00,215.63,2019-02-25
59,61,2019-02,2105.02,0.00,242.08,2019-02-25
60,64,2019-02,2464.00,0.00,283.36,2019-02-25
61,70,2019-02,2197.20,0.00,252.68,2019-02-25
62,78,2019-02,2825.76,0.00,324.96,2019-02-25
63,79,2019-02,2402.07,0.00,276.24,2019-02-25
64,80,2019-02,2097.01,0.00,241.16,2019-02-25
65,90,2019-02,2827.15,292.67,325.13,2019-02-25
66,92,2019-02,2721.82,298.95,313.01,2019-02-25
67,2,2019-03,4210.41,252.50,484.20,2019-03-25
68,4,2019-03,2136.74,0.00,245.72,2019-03-25
69,5,2019-03,2561.88,0.00,294.62,2019-03-25
70,8,2019-03,3008.74,157.63,346.00,2019-03-25
71,9,2019-03,2363.26,0.00,271.78,2019-03-25
72,10,2019-03,2742.92,117.82,315.43,2019-03-25
73,12,2019-03,2101.26,0.00,241.65,2019-03-25
74,14,2019-03,3266.13,294.30,375.60,2019-03-25
75,15,2019-03,2139.43,0.00,246.04,2019-03-25
76,16,2019-03,3794.06,207.89,436.32,2019-03-25
77,17,2019-03,2985.89,286.85,343.38,2019-03-25
78,19,2019-03,2265.56,0.00,260.54,2019-03-25
79,20,2019-03,2338.28,0.00,268.90,2019-03-25
80,21,2019-03,3018.66,0.00,347.14,2019-03-25
81,22,2019-03,1831.16,0.00,210.59,2019-03-25
82,23,2019-03,2453.18,116.16,282.12,2019-03-25
83,24,2019-03,2478.25,0.00,285.00,2019-03-25
84,25,2019-03,2098.39,0.00,241.31,2019-03-25
85,26,2019-03,2234.89,0.00,257.01,2019-03-25
86,30,2019-03,2380.18,0.00,273.72,2019-03-25
87,31,2019-03,2612.97,0.00,300.49,2019-03-25
88,36,2019-03,3075.95,387.22,353.73,2019-03-25
89,43,2019-03,4046.42,329.23,465.34,2019-03-25
90,48,2019-03,2061.04,0.00,237.02,2019-03-25
91,49,2019-03,5905.80,0.00,674.64,2019-03-25
