order_det_ID,order_ID,product_ID,order_quantity,order_unit_price,order_discount,order_tax
349397,161471,38,1,58.00,0.00,3.48
349398,161471,3,2,29.00,0.00,3.48
349399,161471,34,1,85.00,0.00,5.10
349400,161471,10,1,45.00,0.00,2.70
349401,161472,29,1,34.00,1.02,1.98
349402,161473,1,1,32.00,0.00,1.92
349403,161474,35,1,42.00,0.00,2.52
349404,161475,41,1,22.00,0.00,1.32
349405,161475,22,1,55.00,0.00,3.30
349406,161476,39,2,62.00,6.20,7.07
349407,161476,24,1,62.00,3.10,3.53
349408,161476,9,3,30.00,4.50,5.13
349409,161476,39,1,62.00,3.10,3.53
349410,161476,6,1,27.00,1.35,1.54
349411,161477,6,1,27.00,1.89,1.51
349412,161478,35,2,42.00,5.88,4.69
349413,161479,42,3,25.00,2.25,4.37
349414,161479,12,3,98.00,8.82,17.11
349415,161480,11,1,40.00,1.20,2.33
349416,161480,39,1,62.00,1.86,3.61
349417,161480,17,1,85.00,2.55,4.95
349418,161481,17,1,85.00,0.00,5.10
349419,161481,32,1,68.00,0.00,4.08
349420,161481,36,1,65.00,0.00,3.90
349421,161482,2,2,38.00,5.32,4.24
349422,161482,36,3,65.00,13.65,10.88
349423,161482,1,1,32.00,2.24,1.79
349424,161483,1,1,32.00,2.24,1.79
349425,161484,10,1,45.00,0.00,2.70
349426,161484,7,2,32.00,0.00,3.84
349427,161484,25,1,48.00,0.00,2.88
349428,161485,2,1,38.00,1.14,2.21
349429,161485,42,1,25.00,0.75,1.45
349430,161485,31,1,48.00,1.44,2.79
349431,161486,13,1,75.00,2.25,4.37
349432,161487,9,2,30.00,0.00,3.60
349433,161487,41,2,22.00,0.00,2.64
349434,161487,30,3,82.00,0.00,14.76
349435,161487,5,1,35.00,0.00,2.10
349436,161488,35,2,42.00,2.52,4.89
349437,161488,35,1,42.00,1.26,2.44
349438,161489,23,1,62.00,0.00,3.72
349439,161489,22,1,55.00,0.00,3.30
349440,161489,8,1,38.00,0.00,2.28
349441,161490,5,1,35.00,0.00,2.10
349442,161491,18,1,65.00,4.55,3.63
349443,161492,36,1,65.00,0.00,3.90
349444,161493,41,1,22.00,1.54,1.23
349445,161493,33,1,58.00,4.06,3.24
349446,161494,6,2,27.00,0.00,3.24
349447,161495,26,3,58.00,5.22,10.13
349448,161496,28,2,45.00,2.70,5.24
349449,161497,3,3,29.00,0.00,5.22
349450,161497,9,1,30.00,0.00,1.80
349451,161498,2,2,38.00,0.00,4.56
349452,161498,29,2,34.00,0.00,4.08
349453,161499,32,1,68.00,2.04,3.96
349454,161499,2,2,38.00,2.28,4.42
349455,161500,39,1,62.00,0.00,3.72
349456,161501,9,1,30.00,0.00,1.80
349457,161501,3,1,29.00,0.00,1.74
349458,161501,28,1,45.00,0.00,2.70
349459,161501,41,1,22.00,0.00,1.32
349460,161502,29,1,34.00,0.00,2.04
349461,161503,15,2,125.00,0.00,15.00
349462,161503,38,2,58.00,0.00,6.96
349463,161503,23,2,62.00,0.00,7.44
349464,161503,1,2,32.00,0.00,3.84
349465,161504,8,1,38.00,4.56,2.01
349466,161504,19,1,78.00,9.36,4.12
349467,161504,40,3,72.00,25.92,11.40
349468,161505,41,3,22.00,1.98,3.84
349469,161506,6,2,27.00,3.78,3.01
349470,161507,17,1,85.00,5.95,4.74
349471,161507,9,1,30.00,2.10,1.67
349472,161507,22,1,55.00,3.85,3.07
349473,161508,14,1,68.00,8.16,3.59
349474,161508,27,1,38.00,4.56,2.01
349475,161509,41,1,22.00,1.76,1.21
349476,161509,42,1,25.00,2.00,1.38
349477,161509,41,1,22.00,1.76,1.21
