order_ID,cus_ID,br_ID,st_ID,order_date,order_status
161471,17740,2,42,2023-01-01,Completed
161472,20164,3,59,2023-01-01,Completed
161473,17752,2,30,2023-01-01,Completed
161474,10853,2,30,2023-01-01,Completed
161475,16448,2,29,2023-01-01,Completed
161476,8416,1,2,2023-01-01,Completed
161477,24690,5,83,2023-01-01,Completed
161478,21082,5,94,2023-01-01,Completed
161479,11281,1,1,2023-01-01,Cancelled
161480,5566,1,20,2023-01-01,Completed
161481,9340,2,40,2023-01-01,Completed
161482,12388,4,70,2023-01-01,Completed
161483,17392,5,87,2023-01-01,Completed
161484,8106,1,24,2023-01-01,Completed
161485,21656,3,65,2023-01-01,Completed
161486,19571,3,64,2023-01-01,Completed
161487,2723,1,12,2023-01-01,Completed
161488,6670,3,53,2023-01-01,Completed
161489,17916,1,15,2023-01-01,Completed
161490,18926,1,2,2023-01-01,Completed
161491,17594,3,66,2023-01-01,Completed
161492,24913,1,15,2023-01-01,Completed
161493,8993,2,40,2023-01-01,Completed
161494,23116,1,3,2023-01-01,Completed
161495,8656,3,64,2023-01-01,Completed
161496,11477,4,74,2023-01-01,Completed
161497,10116,1,15,2023-01-01,Completed
161498,10215,2,35,2023-01-01,Completed
161499,11863,3,57,2023-01-01,Completed
161500,23734,3,52,2023-01-01,Completed
161501,13918,1,15,2023-01-01,Completed
161502,13428,1,8,2023-01-01,Completed
161503,9629,2,35,2023-01-01,Completed
161504,19084,4,78,2023-01-01,Completed
161505,4178,4,73,2023-01-01,Completed
161506,17882,1,21,2023-01-01,Cancelled
161507,4988,4,74,2023-01-01,Completed
161508,9798,5,89,2023-01-01,Completed
161509,15980,1,12,2023-01-01,Completed
161510,6541,2,35,2023-01-01,Completed
161511,348,4,81,2023-01-01,Completed
161512,23477,2,42,2023-01-01,Completed
161513,4994,5,90,2023-01-01,Cancelled
161514,15421,1,19,2023-01-01,Completed
161515,19814,1,6,2023-01-01,Completed
161516,991,5,93,2023-01-01,Cancelled
161517,14104,2,39,2023-01-01,Completed
161518,8415,4,69,2023-01-01,Completed
161519,15173,3,54,2023-01-01,Completed
161520,6179,4,70,2023-01-01,Completed
161521,25373,3,51,2023-01-01,Completed
161522,13938,2,30,2023-01-01,Cancelled
161523,22782,4,67,2023-01-01,Completed
161524,19590,5,93,2023-01-01,Completed
161525,6990,1,25,2023-01-01,Completed
161526,23466,3,56,2023-01-01,Completed
161527,1853,2,44,2023-01-01,Completed
161528,6507,1,18,2023-01-01,Completed
161529,8987,4,67,2023-01-01,Completed
161530,15794,5,87,2023-01-01,Completed
161531,4331,1,21,2023-01-01,Completed
161532,19599,5,93,2023-01-01,Completed
161533,10166,3,60,2023-01-01,Completed
161534,2672,1,18,2023-01-01,Completed
161535,16245,3,52,2023-01-01,Completed
161536,19970,5,84,2023-01-01,Processing
161537,17499,5,90,2023-01-01,Processing
161538,14280,2,41,2023-01-01,Completed
161539,24811,1,18,2023-01-01,Completed
161540,12332,2,45,2023-01-01,Completed
161541,21573,3,53,2023-01-01,Completed
161542,17241,3,60,2023-01-01,Completed
161543,13963,3,53,2023-01-01,Completed
161544,14271,3,49,2023-01-01,Completed
161545,10734,5,93,2023-01-01,Processing
161546,24774,5,93,2023-01-01,Completed
161547,12152,2,31,2023-01-01,Completed
161548,22111,1,15,2023-01-01,Completed
161549,20704,1,21,2023-01-01,Completed
161550,10052,2,29,2023-01-01,Completed
161551,13610,1,9,2023-01-01,Completed
161552,15144,2,32,2023-01-01,Completed
161553,19971,3,62,2023-01-01,Completed
161554,8876,4,72,2023-01-01,Completed
161555,22638,2,30,2023-01-01,Completed
161556,8387,4,72,2023-01-01,Completed
161557,15806,1,22,2023-01-01,Completed
161558,19741,2,47,2023-01-01,Cancelled
161559,20176,3,52,2023-01-01,Completed
161560,6815,3,51,2023-01-01,Completed
161561,5395,5,92,2023-01-01,Completed
161562,16563,3,59,2023-01-01,Completed
161563,14168,3,54,2023-01-01,Completed
161564,25402,1,3,2023-01-01,Completed
161565,10992,5,84,2023-01-01,Completed
161566,7315,1,21,2023-01-01,Cancelled
161567,11884,4,73,2023-01-01,Completed
161568,5635,2,35,2023-01-01,Completed
161569,12258,3,59,2023-01-01,Completed
161570,1523,1,11,2023-01-01,Completed
161571,24415,1,25,2023-01-01,Completed
161572,4705,1,21,2023-01-01,Completed
161573,25570,5,90,2023-01-01,Completed
161574,6030,2,39,2023-01-01,Completed
161575,17582,4,70,2023-01-01,Completed
161576,2461,3,58,2023-01-01,Completed
161577,10167,3,55,2023-01-01,Completed
161578,9544,2,47,2023-01-01,Completed
161579,24778,1,9,2023-01-01,Completed
161580,5528,1,9,2023-01-01,Completed
161581,13922,1,12,2023-01-01,Completed
161582,20325,1,11,2023-01-01,Completed
161583,17010,3,55,2023-01-01,Completed
161584,6395,5,92,2023-01-01,Cancelled
161585,1090,5,96,2023-01-01,Completed
161586,20705,1,7,2023-01-01,Completed
161587,605,2,27,2023-01-01,Completed
161588,3875,3,52,2023-01-01,Completed
161589,9671,3,51,2023-01-01,Completed
161590,10082,4,73,2023-01-01,Completed
161591,18672,1,3,2023-01-01,Completed
161592,12159,3,57,2023-01-01,Cancelled
161593,5680,4,74,2023-01-01,Completed
161594,18045,2,29,2023-01-01,Completed
161595,13367,3,62,2023-01-01,Completed
161596,22143,1,8,2023-01-01,Completed
161597,3204,1,18,2023-01-01,Completed
161598,19522,1,8,2023-01-01,Completed
161599,13909,2,34,2023-01-01,Completed
161600,17472,1,10,2023-01-01,Completed
161601,13992,5,86,2023-01-01,Completed
161602,5074,4,73,2023-01-01,Completed
161603,22528,1,6,2023-01-01,Completed
161604,13945,2,40,2023-01-01,Completed
161605,2061,3,58,2023-01-01,Completed
161606,671,3,51,2023-01-01,Completed
161607,24227,1,10,2023-01-01,Completed
161608,16325,1,14,2023-01-01,Completed
161609,20784,1,21,2023-01-01,Completed
161610,14783,4,82,2023-01-01,Completed
161611,6804,1,11,2023-01-01,Completed
161612,8306,1,24,2023-01-01,Completed
161613,11961,1,22,2023-01-01,Completed
161614,8087,4,76,2023-01-01,Completed
161615,8399,3,65,2023-01-01,Completed
161616,7475,2,29,2023-01-01,Completed
161617,9506,1,12,2023-01-01,Completed
161618,12738,2,39,2023-01-01,Completed
161619,22674,3,65,2023-01-01,Completed
161620,14439,2,31,2023-01-01,Completed
161621,10884,4,69,2023-01-01,Completed
161622,11084,4,78,2023-01-01,Completed
161623,4041,2,27,2023-01-01,Completed
161624,9240,2,29,2023-01-01,Processing
161625,21309,1,14,2023-01-01,Completed
161626,9657,3,50,2023-01-01,Completed
161627,5151,2,43,2023-01-01,Completed
161628,14724,1,1,2023-01-01,Completed
161629,15330,2,44,2023-01-01,Completed
161630,12052,2,45,2023-01-01,Completed
161631,3550,2,31,2023-01-01,Completed
161632,6528,1,11,2023-01-02,Completed
161633,24486,4,70,2023-01-02,Completed
161634,9647,2,35,2023-01-02,Completed
161635,25968,1,19,2023-01-02,Completed
161636,11973,3,54,2023-01-02,Completed
161637,23856,2,37,2023-01-02,Completed
161638,22534,2,36,2023-01-02,Completed
161639,23388,5,91,2023-01-02,Completed
161640,19476,2,29,2023-01-02,Completed
161641,13119,1,6,2023-01-02,Completed
161642,23589,4,70,2023-01-02,Completed
161643,15036,2,39,2023-01-02,Completed
161644,19964,3,64,2023-01-02,Completed
161645,5210,1,2,2023-01-02,Completed
161646,17026,1,10,2023-01-02,Completed
161647,9876,3,62,2023-01-02,Completed
161648,1144,2,29,2023-01-02,Completed
161649,25171,1,10,2023-01-02,Completed
161650,1518,3,53,2023-01-02,Completed
161651,9229,1,5,2023-01-02,Completed
161652,18578,1,24,2023-01-02,Completed
161653,4749,2,32,2023-01-02,Completed
161654,20387,4,71,2023-01-02,Completed
161655,22389,5,86,2023-01-02,Completed
161656,15535,2,29,2023-01-02,Completed
161657,9968,3,61,2023-01-02,Completed
161658,6879,4,70,2023-01-02,Completed
161659,24831,1,25,2023-01-02,Completed
161660,11102,1,23,2023-01-02,Completed
161661,3611,1,14,2023-01-02,Completed
161662,22309,1,3,2023-01-02,Completed
161663,8858,1,15,2023-01-02,Completed
161664,11201,1,22,2023-01-02,Completed
161665,22145,1,24,2023-01-02,Completed
161666,4523,1,11,2023-01-02,Completed
