res_ID,cus_ID,br_ID,booking_date,res_status
65111,21146,2,2023-01-01,Completed
65112,19533,2,2023-01-01,Completed
65113,19299,1,2023-01-01,Completed
65114,17276,4,2023-01-01,Cancelled
65115,3870,3,2023-01-01,Completed
65116,13480,4,2023-01-01,Completed
65117,18415,1,2023-01-01,Completed
65118,20957,1,2023-01-01,No-Show
65119,9516,1,2023-01-01,Completed
65120,10120,1,2023-01-01,Completed
65121,10707,1,2023-01-01,Completed
65122,10913,1,2023-01-01,Completed
65123,3354,3,2023-01-01,Completed
65124,4013,1,2023-01-01,Completed
65125,2152,5,2023-01-01,Completed
65126,15764,2,2023-01-01,Completed
65127,9406,1,2023-01-01,Completed
65128,14447,2,2023-01-01,Completed
65129,24314,1,2023-01-01,Completed
65130,7293,5,2023-01-01,Completed
65131,5553,2,2023-01-01,Completed
65132,16666,3,2023-01-01,Completed
65133,12256,2,2023-01-01,Completed
65134,16341,2,2023-01-01,Completed
65135,21425,1,2023-01-01,Completed
65136,798,5,2023-01-01,Completed
65137,7880,4,2023-01-01,Completed
65138,635,2,2023-01-01,Completed
65139,22116,1,2023-01-01,No-Show
65140,8181,4,2023-01-01,Completed
65141,14341,2,2023-01-01,Completed
65142,2820,1,2023-01-01,Completed
65143,16798,5,2023-01-01,Completed
65144,9381,4,2023-01-01,Completed
65145,21476,4,2023-01-01,Completed
65146,4646,2,2023-01-01,Cancelled
65147,18506,1,2023-01-01,Completed
65148,7746,2,2023-01-01,Completed
65149,15414,1,2023-01-01,Completed
65150,24603,1,2023-01-01,Completed
65151,18027,1,2023-01-01,Completed
65152,21542,2,2023-01-01,Completed
65153,4385,5,2023-01-01,Cancelled
65154,23423,1,2023-01-01,Completed
65155,5931,2,2023-01-01,Completed
65156,15015,1,2023-01-01,Completed
65157,19669,3,2023-01-01,Completed
65158,3341,2,2023-01-01,Completed
65159,18366,3,2023-01-01,Completed
65160,3600,1,2023-01-01,Completed
65161,3738,2,2023-01-01,Cancelled
65162,8594,5,2023-01-01,Completed
65163,12788,4,2023-01-01,Completed
65164,25442,2,2023-01-01,Completed
65165,9444,2,2023-01-01,Completed
65166,25207,1,2023-01-01,Completed
65167,24352,1,2023-01-01,Completed
65168,9297,2,2023-01-01,Completed
65169,3176,4,2023-01-01,Completed
65170,5508,1,2023-01-01,Completed
65171,12747,3,2023-01-01,Cancelled
65172,21373,3,2023-01-01,Completed
65173,2302,1,2023-01-01,Completed
65174,22761,3,2023-01-01,Completed
65175,7431,2,2023-01-01,Completed
65176,2510,1,2023-01-01,Completed
65177,14156,3,2023-01-01,Completed
65178,22818,1,2023-01-01,Completed
65179,18602,1,2023-01-01,Completed
65180,3530,2,2023-01-01,Completed
65181,17209,1,2023-01-01,Completed
65182,5103,1,2023-01-01,Completed
65183,5421,1,2023-01-01,Completed
65184,1508,2,2023-01-01,Completed
65185,1027,1,2023-01-01,Completed
65186,18298,5,2023-01-01,Completed
65187,14258,3,2023-01-01,Completed
65188,3813,1,2023-01-01,Completed
65189,3155,3,2023-01-02,Completed
65190,21032,2,2023-01-02,Completed
65191,25668,3,2023-01-02,Completed
65192,13663,3,2023-01-02,Completed
65193,20002,1,2023-01-02,Completed
65194,15759,3,2023-01-02,Completed
65195,13063,3,2023-01-02,Completed
65196,4956,4,2023-01-02,Completed
65197,16127,1,2023-01-02,Completed
65198,11435,2,2023-01-02,Completed
65199,15173,3,2023-01-02,Completed
65200,13194,5,2023-01-02,Completed
65201,9693,1,2023-01-02,Confirmed
65202,918,1,2023-01-02,Completed
65203,21671,3,2023-01-02,Completed
65204,2099,5,2023-01-02,Completed
65205,22677,4,2023-01-02,Completed
65206,18964,3,2023-01-02,Completed
65207,432,2,2023-01-02,Completed
65208,2817,1,2023-01-02,Completed
65209,2723,1,2023-01-02,Completed
65210,24733,5,2023-01-02,Completed
65211,15666,3,2023-01-02,No-Show
65212,17865,2,2023-01-02,Completed
65213,519,3,2023-01-02,Completed
65214,16699,5,2023-01-02,Completed
65215,3833,3,2023-01-02,Completed
65216,1162,3,2023-01-02,Completed
65217,25621,1,2023-01-02,Completed
65218,11284,4,2023-01-02,Completed
65219,6344,1,2023-01-02,Completed
65220,13986,2,2023-01-02,Completed
65221,9399,5,2023-01-02,Completed
65222,14363,3,2023-01-02,Completed
65223,17046,2,2023-01-02,Completed
65224,22495,5,2023-01-02,Completed
