sal_pay_ID,st_ID,pay_period,base_amount,bonus_amount,deduction_amount,payment_date
3136,1,2023-01,6339.47,0.00,697.34,2023-01-25
3137,2,2023-01,3859.75,0.00,424.57,2023-01-25
3138,3,2023-01,3717.13,0.00,408.88,2023-01-25
3139,4,2023-01,4495.18,0.00,494.47,2023-01-25
3140,5,2023-01,5174.94,0.00,569.24,2023-01-25
3141,6,2023-01,5689.43,0.00,625.84,2023-01-25
3142,7,2023-01,5872.09,0.00,645.93,2023-01-25
3143,8,2023-01,5775.07,0.00,635.26,2023-01-25
3144,9,2023-01,2147.88,0.00,236.27,2023-01-25
3145,10,2023-01,4676.14,0.00,514.38,2023-01-25
3146,11,2023-01,6253.73,0.00,687.91,2023-01-25
3147,12,2023-01,2778.08,0.00,305.59,2023-01-25
3148,13,2023-01,4231.41,0.00,465.46,2023-01-25
3149,14,2023-01,6424.07,0.00,706.65,2023-01-25
3150,15,2023-01,4702.68,0.00,517.29,2023-01-25
3151,16,2023-01,2955.42,0.00,325.10,2023-01-25
3152,18,2023-01,3703.33,0.00,407.37,2023-01-25
3153,19,2023-01,5912.92,0.00,650.42,2023-01-25
3154,20,2023-01,4476.86,0.00,492.45,2023-01-25
3155,21,2023-01,2442.49,0.00,268.67,2023-01-25
3156,22,2023-01,5700.91,0.00,627.10,2023-01-25
3157,23,2023-01,4799.64,0.00,527.96,2023-01-25
3158,24,2023-01,6653.11,0.00,731.84,2023-01-25
3159,25,2023-01,2860.98,0.00,314.71,2023-01-25
3160,26,2023-01,4352.98,0.00,478.83,2023-01-25
3161,27,2023-01,2885.34,0.00,317.39,2023-01-25
3162,28,2023-01,6043.90,0.00,664.83,2023-01-25
3163,29,2023-01,4862.20,0.00,534.84,2023-01-25
3164,30,2023-01,4636.40,0.00,510.00,2023-01-25
3165,31,2023-01,2905.84,0.00,319.64,2023-01-25
3166,32,2023-01,5589.61,0.00,614.86,2023-01-25
3167,33,2023-01,6052.98,0.00,665.83,2023-01-25
3168,34,2023-01,5900.91,0.00,649.10,2023-01-25
3169,35,2023-01,3811.89,0.00,419.31,2023-01-25
3170,36,2023-01,2193.24,0.00,241.26,2023-01-25
3171,37,2023-01,6137.78,0.00,675.16,2023-01-25
3172,38,2023-01,5746.39,0.00,632.10,2023-01-25
3173,39,2023-01,6239.66,0.00,686.36,2023-01-25
3174,40,2023-01,3052.63,0.00,335.79,2023-01-25
3175,41,2023-01,5879.11,0.00,646.70,2023-01-25
3176,42,2023-01,3377.46,0.00,371.52,2023-01-25
3177,43,2023-01,5245.56,0.00,577.01,2023-01-25
3178,44,2023-01,3321.02,0.00,365.31,2023-01-25
3179,45,2023-01,4737.86,0.00,521.16,2023-01-25
3180,46,2023-01,5701.02,0.00,627.11,2023-01-25
3181,47,2023-01,3967.65,0.00,436.44,2023-01-25
3182,49,2023-01,4107.03,0.00,451.77,2023-01-25
3183,50,2023-01,2344.34,0.00,257.88,2023-01-25
3184,51,2023-01,2809.15,0.00,309.01,2023-01-25
3185,52,2023-01,5335.72,0.00,586.93,2023-01-25
3186,53,2023-01,2419.35,0.00,266.13,2023-01-25
3187,54,2023-01,6574.53,0.00,723.20,2023-01-25
3188,55,2023-01,3376.47,0.00,371.41,2023-01-25
3189,56,2023-01,3290.90,0.00,362.00,2023-01-25
3190,57,2023-01,5293.74,0.00,582.31,2023-01-25
3191,58,2023-01,6556.48,0.00,721.21,2023-01-25
3192,59,2023-01,3043.49,0.00,334.78,2023-01-25
3193,60,2023-01,5655.21,0.00,622.07,2023-01-25
3194,61,2023-01,3626.02,0.00,398.86,2023-01-25
3195,62,2023-01,2835.76,0.00,311.93,2023-01-25
3196,63,2023-01,3816.63,0.00,419.83,2023-01-25
3197,64,2023-01,2989.64,0.00,328.86,2023-01-25
3198,65,2023-01,6453.82,0.00,709.92,2023-01-25
3199,66,2023-01,2455.58,0.00,270.11,2023-01-25
3200,67,2023-01,4840.91,0.00,532.50,2023-01-25
3201,68,2023-01,2572.90,0.00,283.02,2023-01-25
