br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
2293,1,1,2025-01,19610.00,2025-01-28
2294,1,2,2025-01,2375.82,2025-01-28
2295,1,3,2025-01,317.10,2025-01-28
2296,1,4,2025-01,221.54,2025-01-28
2297,1,5,2025-01,1585.29,2025-01-28
2298,1,6,2025-01,426.60,2025-01-28
2299,2,1,2025-01,15052.00,2025-01-28
2300,2,2,2025-01,1921.26,2025-01-28
2301,2,3,2025-01,285.20,2025-01-28
2302,2,4,2025-01,221.54,2025-01-28
2303,2,5,2025-01,1288.66,2025-01-28
2304,2,6,2025-01,341.10,2025-01-28
2305,3,1,2025-01,12508.00,2025-01-28
2306,3,2,2025-01,1637.81,2025-01-28
2307,3,3,2025-01,203.97,2025-01-28
2308,3,4,2025-01,221.54,2025-01-28
2309,3,5,2025-01,1007.48,2025-01-28
2310,3,6,2025-01,290.57,2025-01-28
2311,4,1,2025-01,10176.00,2025-01-28
2312,4,2,2025-01,1302.31,2025-01-28
2313,4,3,2025-01,176.21,2025-01-28
2314,4,4,2025-01,221.54,2025-01-28
2315,4,5,2025-01,1050.61,2025-01-28
2316,4,6,2025-01,235.55,2025-01-28
2317,5,1,2025-01,7844.00,2025-01-28
2318,5,2,2025-01,985.70,2025-01-28
2319,5,3,2025-01,129.62,2025-01-28
2320,5,4,2025-01,221.54,2025-01-28
2321,5,5,2025-01,561.92,2025-01-28
2322,5,6,2025-01,178.06,2025-01-28
2323,6,1,2025-01,9328.00,2025-01-28
2324,6,2,2025-01,1146.05,2025-01-28
2325,6,3,2025-01,165.12,2025-01-28
2326,6,4,2025-01,221.54,2025-01-28
2327,6,5,2025-01,926.31,2025-01-28
2328,6,6,2025-01,203.61,2025-01-28
2329,1,1,2025-02,19610.00,2025-02-28
2330,1,2,2025-02,2484.00,2025-02-28
2331,1,3,2025-02,375.17,2025-02-28
2332,1,4,2025-02,221.54,2025-02-28
2333,1,5,2025-02,2157.81,2025-02-28
2334,1,6,2025-02,437.40,2025-02-28
2335,2,1,2025-02,15052.00,2025-02-28
2336,2,2,2025-02,1835.78,2025-02-28
2337,2,3,2025-02,253.29,2025-02-28
2338,2,4,2025-02,221.54,2025-02-28
2339,2,5,2025-02,1200.31,2025-02-28
2340,2,6,2025-02,346.29,2025-02-28
2341,3,1,2025-02,12508.00,2025-02-28
2342,3,2,2025-02,1679.91,2025-02-28
2343,3,3,2025-02,234.98,2025-02-28
2344,3,4,2025-02,221.54,2025-02-28
2345,3,5,2025-02,1349.49,2025-02-28
2346,3,6,2025-02,269.12,2025-02-28
2347,4,1,2025-02,10176.00,2025-02-28
