purchase_ID,product_ID,br_ID,sup_ID,purchase_qty,purchase_date,purchase_unit_cost
16938,2,1,5,163,2025-01-01,17.77
16939,43,1,7,150,2025-01-01,8.69
16940,14,1,8,86,2025-01-01,33.60
16941,26,1,1,55,2025-01-01,31.10
16942,4,1,5,203,2025-01-01,25.32
16943,37,2,1,163,2025-01-01,29.25
16944,34,2,4,137,2025-01-01,43.84
16945,44,2,3,219,2025-01-01,32.79
16946,13,3,8,110,2025-01-01,42.50
16947,13,3,5,95,2025-01-01,43.67
16948,29,4,8,44,2025-01-01,15.44
16949,26,4,8,95,2025-01-01,27.24
16950,21,6,4,176,2025-01-01,55.25
16951,44,6,3,190,2025-01-01,36.43
16952,25,6,2,191,2025-01-01,24.29
16953,34,6,2,202,2025-01-01,40.37
16954,1,6,8,157,2025-01-01,16.85
16955,30,6,3,125,2025-01-01,39.25
16956,14,2,7,54,2025-01-02,30.66
16957,4,2,5,107,2025-01-02,29.35
16958,2,2,5,162,2025-01-02,18.05
16959,3,2,8,198,2025-01-02,13.07
16960,27,2,8,220,2025-01-02,18.20
16961,38,3,7,195,2025-01-02,26.83
16962,42,3,8,125,2025-01-02,13.04
16963,22,3,1,65,2025-01-02,25.09
16964,40,3,2,190,2025-01-02,38.06
16965,19,3,1,219,2025-01-02,43.57
16966,35,4,8,88,2025-01-02,19.68
16967,32,4,5,131,2025-01-02,37.12
16968,28,4,3,171,2025-01-02,22.99
16969,38,4,5,50,2025-01-02,27.06
16970,39,4,5,135,2025-01-02,31.58
16971,36,4,4,146,2025-01-02,34.38
16972,22,4,1,152,2025-01-03,25.08
16973,30,4,3,199,2025-01-03,44.37
16974,35,4,3,151,2025-01-03,20.51
16975,26,1,2,96,2025-01-06,29.24
16976,37,1,6,69,2025-01-06,27.05
16977,36,2,3,196,2025-01-06,37.45
16978,3,2,5,60,2025-01-06,14.26
16979,28,1,5,153,2025-01-07,24.75
16980,12,1,7,65,2025-01-07,47.78
16981,24,1,4,102,2025-01-07,34.69
16982,37,2,1,142,2025-01-07,30.09
16983,25,2,3,144,2025-01-07,22.37
16984,41,2,8,170,2025-01-07,10.00
16985,15,2,5,95,2025-01-07,62.82
16986,46,4,7,120,2025-01-07,39.88
16987,16,4,6,91,2025-01-07,70.27
16988,45,4,6,130,2025-01-07,54.31
16989,21,4,7,138,2025-01-07,57.82
16990,6,6,8,187,2025-01-07,14.20
16991,41,6,2,192,2025-01-07,10.12
16992,7,6,6,48,2025-01-07,17.08
16993,36,1,1,144,2025-01-08,39.37
16994,3,1,4,108,2025-01-08,15.53
16995,48,1,1,48,2025-01-08,44.34
16996,18,1,5,104,2025-01-08,29.99
16997,18,2,8,129,2025-01-08,30.73
16998,27,2,3,170,2025-01-08,20.85
16999,34,3,4,150,2025-01-08,38.96
17000,28,3,1,44,2025-01-08,22.55
17001,28,3,6,161,2025-01-08,25.00
17002,35,4,5,69,2025-01-08,20.26
17003,30,4,1,72,2025-01-08,44.11
17004,38,4,6,138,2025-01-08,26.35
17005,42,4,2,163,2025-01-08,11.44
17006,35,4,2,188,2025-01-08,22.66
17007,11,5,8,190,2025-01-08,19.04
17008,41,5,3,85,2025-01-08,11.56
17009,32,5,2,131,2025-01-08,31.26
17010,44,5,6,147,2025-01-08,33.06
17011,6,1,7,207,2025-01-09,14.60
17012,47,1,2,104,2025-01-09,26.75
17013,23,1,1,90,2025-01-09,28.73
17014,26,1,3,179,2025-01-09,27.63
17015,10,2,2,114,2025-01-09,22.92
17016,23,2,5,139,2025-01-09,29.70
17017,32,2,6,110,2025-01-09,33.21
17018,46,3,3,40,2025-01-09,43.85
17019,43,3,3,104,2025-01-09,8.82
17020,32,3,4,182,2025-01-09,32.39
17021,34,3,3,150,2025-01-09,44.98
17022,8,3,2,132,2025-01-09,17.77
17023,15,6,5,160,2025-01-09,63.80
17024,17,6,2,210,2025-01-09,41.34
17025,26,6,3,112,2025-01-09,29.15
17026,12,6,3,211,2025-01-09,44.80
17027,23,1,6,60,2025-01-10,29.55
17028,6,1,7,202,2025-01-10,13.39
17029,10,1,5,127,2025-01-10,23.14
17030,26,1,5,80,2025-01-10,27.90
17031,8,1,5,190,2025-01-10,18.41
17032,43,1,8,132,2025-01-10,8.35
17033,37,4,2,197,2025-01-10,28.61
17034,33,4,4,170,2025-01-10,28.02
17035,6,1,3,136,2025-01-13,12.76
17036,5,1,3,159,2025-01-13,18.19
17037,8,1,7,133,2025-01-13,19.86
17038,48,1,3,112,2025-01-13,40.33
17039,22,1,1,147,2025-01-13,27.95
17040,29,1,4,80,2025-01-13,15.50
17041,1,5,3,203,2025-01-13,16.29
17042,34,5,7,50,2025-01-13,39.05
17043,41,5,2,79,2025-01-13,11.77
17044,20,5,2,218,2025-01-13,24.79
17045,16,5,8,97,2025-01-13,79.57
17046,34,2,8,92,2025-01-14,42.88
17047,22,2,3,180,2025-01-14,25.82
17048,46,2,7,74,2025-01-14,42.94
17049,32,2,8,173,2025-01-14,37.06
17050,33,2,3,126,2025-01-14,28.91
17051,38,2,4,217,2025-01-14,27.15
17052,1,4,3,54,2025-01-14,17.16
17053,8,4,5,205,2025-01-14,17.48
17054,2,1,7,72,2025-01-15,17.59
17055,16,1,2,55,2025-01-15,71.39
17056,37,3,5,206,2025-01-15,28.26
17057,24,3,7,219,2025-01-15,34.78
17058,41,3,7,187,2025-01-15,11.10
17059,22,1,7,200,2025-01-16,28.11
17060,1,1,5,89,2025-01-16,17.20
17061,25,1,3,169,2025-01-16,25.36
17062,23,1,8,117,2025-01-16,33.72
17063,1,1,4,101,2025-01-16,14.95
17064,30,1,4,77,2025-01-16,41.48
17065,43,2,8,116,2025-01-16,8.79
17066,35,2,4,56,2025-01-16,20.32
17067,22,2,3,110,2025-01-16,28.37
17068,7,1,6,203,2025-01-17,15.96
17069,41,1,6,55,2025-01-17,10.15
17070,47,1,8,152,2025-01-17,25.80
17071,47,1,2,78,2025-01-17,25.40
17072,36,3,1,201,2025-01-17,34.92
17073,19,3,1,157,2025-01-17,42.26
17074,45,6,2,119,2025-01-17,53.24
17075,24,6,2,50,2025-01-17,35.67
17076,19,6,7,68,2025-01-17,44.84
17077,12,1,3,163,2025-01-20,44.72
17078,16,1,2,193,2025-01-20,80.36
17079,18,1,3,82,2025-01-21,30.02
17080,7,1,2,143,2025-01-21,14.58
17081,2,1,6,170,2025-01-21,18.25
17082,11,1,2,59,2025-01-21,19.85
17083,37,4,1,212,2025-01-21,27.01
17084,48,4,2,80,2025-01-21,46.29
17085,14,4,5,220,2025-01-21,36.67
17086,2,1,5,104,2025-01-22,17.26
17087,9,1,1,63,2025-01-22,13.53
17088,45,1,3,108,2025-01-22,47.89
17089,15,1,7,98,2025-01-22,63.66
17090,24,3,4,69,2025-01-22,32.41
17091,47,3,2,198,2025-01-22,24.60
17092,29,3,7,100,2025-01-22,18.27
17093,23,3,2,48,2025-01-22,33.96
17094,21,3,6,156,2025-01-22,59.16
17095,12,4,6,185,2025-01-22,46.45
17096,4,4,2,110,2025-01-22,27.62
17097,16,3,7,111,2025-01-23,70.86
17098,36,3,2,92,2025-01-23,38.76
17099,47,3,4,85,2025-01-23,23.68
17100,43,1,8,111,2025-01-24,9.88
17101,37,1,8,177,2025-01-24,28.11
17102,22,1,8,180,2025-01-24,25.58
17103,35,1,2,170,2025-01-24,22.36
17104,45,1,7,99,2025-01-24,54.75
17105,29,2,1,85,2025-01-24,16.42
17106,12,2,1,67,2025-01-24,45.81
17107,38,2,7,47,2025-01-24,30.98
17108,33,2,6,147,2025-01-24,31.17
17109,15,3,4,98,2025-01-24,62.75
17110,15,3,1,116,2025-01-24,63.69
17111,10,4,6,84,2025-01-24,23.76
17112,41,4,3,143,2025-01-24,10.12
17113,23,4,8,175,2025-01-24,33.96
17114,3,4,3,195,2025-01-24,15.89
17115,12,4,8,119,2025-01-24,48.50
17116,17,1,1,92,2025-01-27,40.04
17117,3,1,5,182,2025-01-27,13.65
17118,15,1,6,170,2025-01-27,68.30
17119,36,3,7,210,2025-01-27,35.29
17120,3,3,8,124,2025-01-27,15.05
17121,27,4,4,103,2025-01-27,20.65
17122,47,4,3,129,2025-01-27,27.62
17123,26,1,8,55,2025-01-28,30.18
17124,25,1,3,51,2025-01-28,22.06
17125,7,1,1,89,2025-01-28,16.03
17126,24,1,5,103,2025-01-28,31.96
17127,31,1,2,104,2025-01-28,26.17
17128,32,1,8,158,2025-01-28,35.76
17129,6,3,6,64,2025-01-28,12.70
