order_det_ID,order_ID,product_ID,order_quantity,order_unit_price,order_discount,order_tax
1,1,26,2,58.00,0.00,6.96
2,2,30,1,72.00,2.16,4.19
3,2,41,1,22.00,0.66,1.28
4,2,43,1,18.00,0.54,1.05
5,2,1,4,32.00,3.84,7.45
6,2,8,1,38.00,3.04,2.10
7,3,34,1,85.00,0.00,5.10
8,3,24,1,62.00,0.00,3.72
9,4,41,1,22.00,0.00,1.32
10,4,11,1,40.00,0.00,2.40
11,4,10,3,45.00,0.00,8.10
12,4,15,2,110.00,0.00,13.20
13,5,8,2,38.00,2.28,4.42
14,6,5,1,35.00,0.00,2.10
15,6,9,1,30.00,1.50,1.71
16,6,28,2,45.00,0.00,5.40
17,6,36,2,65.00,0.00,7.80
18,6,18,2,65.00,0.00,7.80
19,7,5,1,35.00,0.00,2.10
20,7,17,1,85.00,0.00,5.10
21,8,13,1,75.00,5.25,4.18
22,8,5,2,35.00,4.90,3.91
23,9,20,1,48.00,1.44,2.79
24,9,19,1,78.00,2.34,4.54
25,9,27,1,38.00,1.14,2.21
26,10,19,1,78.00,2.34,4.54
27,10,24,1,62.00,1.86,3.61
28,11,26,1,58.00,1.74,3.38
29,12,22,1,55.00,6.60,2.90
30,12,27,3,38.00,13.68,6.02
31,13,29,2,34.00,2.04,3.96
32,13,6,1,27.00,0.81,1.57
33,13,3,2,29.00,4.64,3.20
34,14,37,1,55.00,9.35,2.74
35,14,23,2,55.00,13.20,5.81
36,14,9,3,30.00,10.80,4.75
37,14,29,1,34.00,4.08,1.80
38,15,39,1,62.00,1.86,3.61
39,15,29,1,34.00,1.02,1.98
40,16,10,1,45.00,1.35,2.62
41,17,1,1,32.00,3.84,1.69
42,17,41,2,22.00,5.28,2.32
43,18,1,1,32.00,0.00,1.92
44,19,24,1,62.00,0.00,3.72
45,19,7,1,32.00,0.00,1.92
46,19,20,1,48.00,0.00,2.88
47,19,29,1,34.00,1.70,1.94
48,20,10,1,45.00,0.00,2.70
49,21,13,1,75.00,0.00,4.50
50,22,2,2,38.00,0.00,4.56
51,23,22,1,55.00,2.75,3.13
52,23,30,2,72.00,0.00,8.64
53,23,15,1,110.00,0.00,6.60
54,24,21,1,95.00,0.00,5.70
55,24,20,1,48.00,0.00,2.88
56,25,29,1,34.00,2.38,1.90
57,26,40,1,72.00,0.00,4.32
58,26,3,1,29.00,0.00,1.74
59,27,14,2,68.00,4.08,7.92
60,27,29,1,34.00,2.72,1.88
61,27,7,1,32.00,0.96,1.86
62,28,23,1,55.00,1.65,3.20
63,29,12,4,89.00,0.00,21.36
64,29,11,2,40.00,0.00,4.80
65,30,43,1,18.00,0.00,1.08
66,30,20,3,48.00,7.20,8.21
67,31,5,4,35.00,7.00,7.98
68,32,14,1,68.00,2.04,3.96
69,33,43,1,18.00,0.00,1.08
70,33,8,1,38.00,0.00,2.28
71,34,20,1,48.00,0.00,2.88
72,34,7,1,32.00,0.00,1.92
73,35,1,2,32.00,0.00,3.84
74,36,14,2,68.00,4.08,7.92
75,36,39,1,62.00,1.86,3.61
76,36,38,1,58.00,1.74,3.38
77,37,22,1,55.00,3.85,3.07
78,37,24,1,62.00,4.34,3.46
79,38,3,1,29.00,2.32,1.60
80,38,23,1,55.00,1.65,3.20
81,38,34,1,85.00,2.55,4.95
82,38,37,2,55.00,8.80,6.07
83,38,29,1,34.00,1.02,1.98
84,39,2,1,38.00,1.14,2.21
85,39,37,1,55.00,4.40,3.04
86,40,43,2,18.00,2.52,2.01
87,40,5,1,35.00,2.45,1.95
88,41,41,1,22.00,0.00,1.32
89,42,36,1,65.00,0.00,3.90
90,43,26,2,58.00,0.00,6.96
91,44,40,2,72.00,0.00,8.64
92,45,26,1,58.00,0.00,3.48
93,46,18,1,65.00,5.20,3.59
94,47,40,1,72.00,5.76,3.97
95,47,23,1,55.00,1.65,3.20
96,47,28,1,45.00,1.35,2.62
97,48,9,1,30.00,2.40,1.66
98,48,7,3,32.00,2.88,5.59
99,48,24,1,62.00,1.86,3.61
100,48,29,1,34.00,1.02,1.98
101,49,28,1,45.00,1.35,2.62
102,50,34,1,85.00,2.55,4.95
103,50,4,1,42.00,1.26,2.44
104,50,35,1,42.00,1.26,2.44
105,50,1,3,32.00,2.88,5.59
106,50,3,1,29.00,0.87,1.69
107,51,1,1,32.00,0.00,1.92
108,51,30,4,72.00,0.00,17.28
109,52,27,1,38.00,0.00,2.28
110,52,43,1,18.00,0.00,1.08
111,52,36,1,65.00,0.00,3.90
112,52,22,3,55.00,0.00,9.90
113,52,38,1,58.00,0.00,3.48
114,52,23,1,55.00,0.00,3.30
115,53,24,1,62.00,4.34,3.46
116,54,30,1,72.00,3.60,4.10
117,54,3,1,29.00,1.45,1.65
118,55,31,1,48.00,2.40,2.74
119,55,41,1,22.00,0.00,1.32
120,56,5,2,35.00,2.10,4.07
121,56,21,1,95.00,2.85,5.53
122,56,4,3,42.00,3.78,7.33
123,57,29,1,34.00,1.02,1.98
124,57,13,1,75.00,2.25,4.37
125,57,5,4,35.00,4.20,8.15
126,58,3,1,29.00,0.87,1.69
127,58,37,1,55.00,1.65,3.20
128,58,1,2,32.00,1.92,3.72
129,58,36,1,65.00,1.95,3.78
130,59,6,1,27.00,0.00,1.62
131,59,5,1,35.00,0.00,2.10
132,60,5,1,35.00,2.45,1.95
133,60,11,2,40.00,5.60,4.46
134,61,28,2,45.00,0.00,5.40
135,62,3,1,29.00,0.00,1.74
136,63,30,1,72.00,0.00,4.32
137,63,12,2,89.00,0.00,10.68
138,63,25,2,48.00,4.80,5.47
139,63,26,2,58.00,0.00,6.96
140,63,20,2,48.00,0.00,5.76
141,63,29,2,34.00,0.00,4.08
142,63,11,1,40.00,0.00,2.40
143,64,25,1,48.00,0.00,2.88
144,65,39,2,62.00,9.92,6.84
145,66,1,1,32.00,0.00,1.92
146,67,11,1,40.00,0.00,2.40
147,67,6,1,27.00,0.00,1.62
148,67,26,2,58.00,0.00,6.96
149,67,19,1,78.00,0.00,4.68
150,67,43,2,18.00,0.00,2.16
151,67,25,1,48.00,0.00,2.88
152,67,23,1,55.00,0.00,3.30
153,68,26,1,58.00,0.00,3.48
154,68,34,1,85.00,0.00,5.10
155,68,2,1,38.00,0.00,2.28
156,69,12,1,89.00,4.45,5.07
157,69,24,1,62.00,0.00,3.72
158,69,1,1,32.00,0.00,1.92
159,70,14,1,68.00,0.00,4.08
160,70,35,1,42.00,0.00,2.52
161,71,37,1,55.00,0.00,3.30
162,72,20,2,48.00,6.72,5.36
163,72,39,1,62.00,4.34,3.46
164,72,27,1,38.00,2.66,2.12
165,72,11,1,40.00,4.80,2.11
166,72,29,2,34.00,4.76,3.79
167,73,24,2,62.00,0.00,7.44
168,74,18,3,65.00,5.85,11.35
169,75,16,2,120.00,7.20,13.97
170,76,11,2,40.00,0.00,4.80
171,76,10,1,45.00,0.00,2.70
172,77,7,1,32.00,0.00,1.92
173,77,43,1,18.00,0.00,1.08
174,77,23,2,55.00,0.00,6.60
175,77,4,1,42.00,2.10,2.39
176,77,12,1,89.00,4.45,5.07
177,77,15,3,110.00,0.00,19.80
178,77,27,2,38.00,0.00,4.56
179,78,26,1,58.00,1.74,3.38
180,78,31,2,48.00,2.88,5.59
181,78,7,1,32.00,0.96,1.86
182,79,1,1,32.00,0.00,1.92
183,80,42,1,25.00,0.00,1.50
184,81,42,3,25.00,2.25,4.37
185,82,4,1,42.00,0.00,2.52
186,82,23,1,55.00,2.75,3.13
187,83,23,1,55.00,1.65,3.20
188,84,43,1,18.00,0.54,1.05
189,85,23,1,55.00,1.65,3.20
190,85,18,2,65.00,3.90,7.57
191,86,8,2,38.00,2.28,4.42
192,86,36,2,65.00,3.90,7.57
193,86,32,1,68.00,5.44,3.75
194,86,40,1,72.00,2.16,4.19
195,86,25,2,48.00,2.88,5.59
196,86,9,1,30.00,0.90,1.75
197,86,11,1,40.00,1.20,2.33
198,87,4,3,42.00,3.78,7.33
199,88,2,1,38.00,1.14,2.21
200,89,7,1,32.00,0.00,1.92
201,90,1,1,32.00,0.00,1.92
202,90,2,1,38.00,0.00,2.28
203,90,43,1,18.00,0.00,1.08
204,90,28,1,45.00,0.00,2.70
205,90,31,1,48.00,0.00,2.88
206,91,28,3,45.00,0.00,8.10
207,91,8,1,38.00,0.00,2.28
208,91,37,1,55.00,0.00,3.30
209,91,27,4,38.00,0.00,9.12
210,92,22,2,55.00,0.00,6.60
211,92,41,1,22.00,0.00,1.32
212,93,5,1,35.00,2.45,1.95
213,93,27,1,38.00,2.66,2.12
214,94,25,1,48.00,3.36,2.68
215,94,4,1,42.00,2.94,2.34
216,94,14,3,68.00,14.28,11.38
217,94,2,1,38.00,2.66,2.12
218,94,8,1,38.00,2.66,2.12
219,95,27,1,38.00,0.00,2.28
220,96,35,2,42.00,0.00,5.04
221,97,2,1,38.00,1.14,2.21
222,97,27,1,38.00,1.14,2.21
223,97,26,2,58.00,3.48,6.75
224,98,6,1,27.00,1.35,1.54
225,99,43,1,18.00,1.44,0.99
226,99,8,1,38.00,1.14,2.21
227,100,3,1,29.00,0.00,1.74
228,100,30,1,72.00,0.00,4.32
229,100,15,2,110.00,11.00,12.54
230,101,14,1,68.00,0.00,4.08
231,102,18,3,65.00,5.85,11.35
232,102,24,2,62.00,3.72,7.22
233,103,2,2,38.00,2.28,4.42
234,103,4,1,42.00,1.26,2.44
235,104,19,1,78.00,0.00,4.68
236,104,28,1,45.00,0.00,2.70
237,104,4,1,42.00,0.00,2.52
238,104,41,1,22.00,0.00,1.32
239,104,25,1,48.00,0.00,2.88
240,104,13,2,75.00,7.50,8.55
241,105,36,1,65.00,3.25,3.71
242,105,25,1,48.00,0.00,2.88
243,105,27,1,38.00,0.00,2.28
244,105,41,1,22.00,0.00,1.32
245,106,9,3,30.00,6.30,5.02
246,107,24,1,62.00,4.34,3.46
247,107,29,1,34.00,2.38,1.90
248,108,11,2,40.00,9.60,4.22
249,108,43,1,18.00,2.16,0.95
250,108,29,2,34.00,8.16,3.59
251,108,24,1,62.00,7.44,3.27
252,108,31,4,48.00,23.04,10.14
253,109,39,2,62.00,6.20,7.07
254,109,27,1,38.00,0.00,2.28
255,110,20,2,48.00,0.00,5.76
256,110,24,1,62.00,0.00,3.72
257,110,31,2,48.00,0.00,5.76
258,111,11,1,40.00,2.80,2.23
259,111,6,1,27.00,1.89,1.51
260,111,10,3,45.00,9.45,7.53
261,112,17,1,85.00,0.00,5.10
262,113,42,3,25.00,2.25,4.37
263,113,14,3,68.00,6.12,11.87
264,113,6,3,27.00,6.48,4.47
265,113,41,1,22.00,0.66,1.28
266,114,41,1,22.00,1.76,1.21
267,114,10,4,45.00,5.40,10.48
268,114,29,3,34.00,3.06,5.94
269,115,8,1,38.00,0.00,2.28
270,115,15,1,110.00,0.00,6.60
271,116,2,1,38.00,2.66,2.12
272,116,27,1,38.00,2.66,2.12
273,117,31,2,48.00,11.52,5.07
274,117,2,2,38.00,9.12,4.01
275,118,1,1,32.00,2.24,1.79
276,118,36,1,65.00,4.55,3.63
277,118,31,4,48.00,13.44,10.71
278,119,8,1,38.00,0.00,2.28
279,119,42,2,25.00,2.50,2.85
280,119,14,2,68.00,0.00,8.16
281,120,29,1,34.00,0.00,2.04
282,121,22,1,55.00,1.65,3.20
283,121,23,3,55.00,4.95,9.60
284,122,12,1,89.00,2.67,5.18
285,123,20,1,48.00,0.00,2.88
286,124,5,2,35.00,2.10,4.07
287,124,7,1,32.00,0.96,1.86
288,124,6,1,27.00,0.81,1.57
