order_ID,cus_ID,br_ID,st_ID,order_date,order_status
1,18901,2,48,2019-01-01,Completed
2,2899,1,23,2019-01-01,Completed
3,16302,3,61,2019-01-01,Completed
4,23058,3,61,2019-01-01,Completed
5,1,3,61,2019-01-01,Completed
6,924,3,54,2019-01-01,Completed
7,7068,3,54,2019-01-01,Completed
8,20444,1,19,2019-01-01,Completed
9,19907,3,61,2019-01-01,Completed
10,7813,2,48,2019-01-01,Completed
11,10165,3,61,2019-01-01,Cancelled
12,148,1,5,2019-01-01,Completed
13,24180,3,54,2019-01-01,Processing
14,14447,1,25,2019-01-01,Completed
15,8150,2,48,2019-01-01,Completed
16,23013,2,48,2019-01-01,Completed
17,6309,3,54,2019-01-01,Completed
18,5703,2,48,2019-01-01,Completed
19,13029,4,70,2019-01-01,Completed
20,25928,5,90,2019-01-01,Completed
21,12190,2,48,2019-01-01,Completed
22,22622,1,23,2019-01-01,Completed
23,2259,1,25,2019-01-01,Completed
24,9797,2,48,2019-01-01,Completed
25,2991,4,70,2019-01-01,Completed
26,22958,4,70,2019-01-01,Completed
27,20582,1,9,2019-01-01,Completed
28,1,1,20,2019-01-01,Completed
29,18335,4,70,2019-01-01,Completed
30,18967,1,15,2019-01-01,Completed
31,1015,5,90,2019-01-01,Completed
32,21879,5,90,2019-01-01,Completed
33,13777,5,90,2019-01-01,Completed
34,11010,1,19,2019-01-01,Completed
35,2348,1,5,2019-01-01,Completed
36,5862,2,48,2019-01-01,Completed
37,25842,2,48,2019-01-01,Completed
38,1,1,12,2019-01-01,Completed
39,5107,1,23,2019-01-01,Completed
40,19619,3,61,2019-01-01,Completed
41,11625,1,9,2019-01-01,Completed
42,8923,5,90,2019-01-01,Completed
43,5052,1,24,2019-01-01,Completed
44,8004,1,12,2019-01-01,Completed
45,2940,1,19,2019-01-01,Completed
46,130,1,19,2019-01-01,Completed
47,23467,1,20,2019-01-01,Completed
48,8119,4,70,2019-01-01,Completed
49,17093,4,70,2019-01-01,Completed
50,10633,2,48,2019-01-01,Completed
51,20520,3,61,2019-01-01,Completed
52,21973,1,15,2019-01-01,Completed
53,4486,2,48,2019-01-01,Completed
54,22363,1,5,2019-01-01,Completed
55,1645,3,61,2019-01-01,Completed
56,12856,1,9,2019-01-01,Completed
57,19658,1,19,2019-01-01,Completed
58,10740,1,9,2019-01-01,Completed
59,6259,1,12,2019-01-01,Completed
60,23789,5,90,2019-01-01,Completed
61,24975,3,54,2019-01-01,Completed
62,2388,2,48,2019-01-01,Completed
63,7185,5,90,2019-01-01,Completed
64,20683,1,20,2019-01-01,Completed
65,4801,2,48,2019-01-01,Completed
66,19233,2,48,2019-01-01,Completed
67,8377,1,20,2019-01-01,Completed
68,20662,3,54,2019-01-01,Completed
69,6777,1,25,2019-01-01,Completed
70,7291,5,90,2019-01-01,Completed
71,5333,1,20,2019-01-01,Completed
72,8753,1,9,2019-01-01,Completed
73,23639,1,15,2019-01-01,Completed
74,6673,2,48,2019-01-01,Completed
75,18278,2,48,2019-01-01,Completed
76,1999,1,23,2019-01-01,Completed
77,10761,1,24,2019-01-01,Completed
78,1,3,54,2019-01-01,Completed
79,7727,4,70,2019-01-01,Completed
80,24618,1,9,2019-01-01,Completed
81,14456,1,5,2019-01-01,Completed
82,23995,2,48,2019-01-01,Completed
83,2366,5,90,2019-01-01,Completed
84,3878,1,15,2019-01-01,Completed
85,1,3,54,2019-01-01,Completed
86,18616,2,48,2019-01-02,Completed
87,1,1,9,2019-01-02,Completed
88,5408,1,25,2019-01-02,Cancelled
