res_ID,cus_ID,br_ID,booking_date,res_status
1,7710,2,2019-01-01,Completed
2,9445,4,2019-01-01,Completed
3,19054,2,2019-01-01,Completed
4,20920,1,2019-01-01,Completed
5,16902,2,2019-01-01,Cancelled
6,25234,2,2019-01-01,Completed
7,8057,3,2019-01-01,Completed
8,26000,5,2019-01-01,Completed
9,17155,3,2019-01-01,Completed
10,1155,2,2019-01-01,Completed
11,15931,2,2019-01-01,Completed
12,12399,4,2019-01-01,Completed
13,1511,4,2019-01-01,Completed
14,21737,1,2019-01-01,Completed
15,23907,5,2019-01-01,Completed
16,25311,2,2019-01-01,Completed
17,15903,1,2019-01-01,Completed
18,20760,2,2019-01-01,Completed
19,6860,1,2019-01-01,Cancelled
20,11802,1,2019-01-01,Completed
21,21678,4,2019-01-01,Completed
22,13409,2,2019-01-01,Completed
23,20693,1,2019-01-01,Completed
24,3607,1,2019-01-01,Completed
25,21356,3,2019-01-01,Completed
26,22313,5,2019-01-01,Completed
27,21921,2,2019-01-01,Completed
28,18731,1,2019-01-01,Completed
29,23260,1,2019-01-01,Completed
30,5275,4,2019-01-01,Completed
31,24963,1,2019-01-01,Completed
32,11167,1,2019-01-01,Completed
33,3209,2,2019-01-01,Completed
34,16408,5,2019-01-01,Completed
35,13633,2,2019-01-01,Completed
36,21576,5,2019-01-01,Completed
37,14588,1,2019-01-01,Completed
38,6198,4,2019-01-01,Completed
39,22772,2,2019-01-01,Completed
40,14673,5,2019-01-01,Completed
41,1,1,2019-01-01,Completed
42,3399,3,2019-01-01,Completed
43,4424,5,2019-01-01,Completed
44,5600,2,2019-01-01,Completed
45,20289,1,2019-01-02,Completed
46,20072,1,2019-01-02,Completed
47,6704,4,2019-01-02,Completed
48,1949,2,2019-01-02,Completed
49,5644,2,2019-01-02,Completed
50,25970,5,2019-01-02,Completed
51,512,2,2019-01-02,Completed
52,17209,4,2019-01-02,Cancelled
53,8004,1,2019-01-02,Cancelled
54,15590,1,2019-01-02,Completed
55,3532,2,2019-01-02,Cancelled
56,10451,4,2019-01-02,Completed
57,11942,1,2019-01-02,Cancelled
58,15885,3,2019-01-02,Completed
59,23680,1,2019-01-02,Completed
60,601,1,2019-01-02,Completed
61,16621,3,2019-01-02,Completed
62,8639,4,2019-01-02,Completed
63,20640,2,2019-01-02,Completed
64,4593,1,2019-01-02,Completed
65,12063,5,2019-01-02,Completed
66,20704,2,2019-01-02,Completed
67,6649,2,2019-01-02,Completed
68,24700,2,2019-01-02,Completed
69,24064,1,2019-01-02,Completed
70,11651,4,2019-01-02,Completed
71,13541,4,2019-01-02,Completed
72,8415,1,2019-01-02,Confirmed
73,22438,3,2019-01-02,No-Show
74,15179,2,2019-01-02,Completed
75,17851,3,2019-01-02,Completed
76,12039,2,2019-01-02,Completed
77,14968,2,2019-01-02,Completed
78,9864,2,2019-01-02,Completed
79,11933,4,2019-01-02,Completed
80,1089,4,2019-01-02,Completed
81,9736,3,2019-01-02,Completed
82,19885,2,2019-01-02,Completed
83,6225,1,2019-01-02,Completed
84,9452,4,2019-01-02,Completed
85,17031,4,2019-01-02,Completed
86,18055,4,2019-01-02,Completed
87,25928,2,2019-01-02,Completed
88,21294,1,2019-01-02,Completed
89,1,4,2019-01-02,Completed
90,20073,2,2019-01-03,Completed
91,12060,4,2019-01-03,Completed
92,5878,1,2019-01-03,Completed
93,23140,2,2019-01-03,Completed
94,7385,1,2019-01-03,Completed
95,1854,1,2019-01-03,Completed
96,10204,2,2019-01-03,Completed
97,1479,1,2019-01-03,Completed
98,10482,2,2019-01-03,Completed
99,7203,3,2019-01-03,Completed
100,1,2,2019-01-03,Completed
101,19287,2,2019-01-03,Completed
102,9629,2,2019-01-03,Completed
103,16364,5,2019-01-03,Completed
104,24618,4,2019-01-03,Completed
105,12389,2,2019-01-03,Completed
106,15681,2,2019-01-03,Completed
107,9558,5,2019-01-03,Completed
108,17058,3,2019-01-03,No-Show
109,13947,3,2019-01-03,Completed
110,18740,5,2019-01-03,Completed
111,6050,2,2019-01-03,Completed
112,1215,5,2019-01-03,Completed
113,21361,1,2019-01-03,Completed
114,24556,1,2019-01-03,Completed
115,12975,2,2019-01-03,Completed
116,7291,1,2019-01-03,Completed
117,1,1,2019-01-03,Completed
118,21767,1,2019-01-03,Cancelled
119,11827,2,2019-01-03,Completed
120,11049,4,2019-01-03,Completed
121,759,2,2019-01-03,No-Show
122,12362,3,2019-01-03,Completed
123,15418,5,2019-01-03,Completed
124,4680,2,2019-01-03,Completed
125,7387,3,2019-01-03,Completed
126,23713,1,2019-01-03,Completed
127,23211,1,2019-01-03,Completed
128,11983,3,2019-01-03,Completed
129,1731,1,2019-01-03,Completed
130,13997,3,2019-01-03,Completed
131,17443,1,2019-01-03,Completed
132,13443,5,2019-01-03,Completed
133,21294,1,2019-01-03,Completed
134,9614,1,2019-01-04,Completed
135,15403,2,2019-01-04,Completed
136,2923,4,2019-01-04,Completed
137,20558,1,2019-01-04,Completed
138,20911,2,2019-01-04,Completed
139,6229,1,2019-01-04,Completed
140,1,5,2019-01-04,Completed
141,15134,4,2019-01-04,Completed
142,18278,3,2019-01-04,Completed
143,3748,1,2019-01-04,Completed
144,14210,2,2019-01-04,Completed
145,22047,1,2019-01-04,Completed
146,2673,4,2019-01-04,Completed
147,11891,4,2019-01-04,Completed
148,13907,1,2019-01-04,Completed
149,11942,1,2019-01-04,Completed
150,1,5,2019-01-04,Completed
151,19021,4,2019-01-04,Completed
152,5017,1,2019-01-04,Completed
153,17013,2,2019-01-04,Completed
154,6259,2,2019-01-04,Completed
155,9241,3,2019-01-04,Completed
156,22323,3,2019-01-04,Completed
157,19317,4,2019-01-04,Completed
158,18532,1,2019-01-04,Completed
159,3215,2,2019-01-04,Completed
160,9542,2,2019-01-04,Completed
161,4354,2,2019-01-04,Cancelled
162,596,5,2019-01-04,Completed
163,18776,3,2019-01-04,Completed
164,20330,1,2019-01-04,Completed
165,20594,1,2019-01-04,Completed
166,19563,1,2019-01-04,Completed
167,23220,4,2019-01-04,Completed
168,4598,3,2019-01-04,Completed
169,1,4,2019-01-04,Completed
170,18526,1,2019-01-04,Completed
171,9913,2,2019-01-04,Completed
172,24489,1,2019-01-04,Completed
173,7625,5,2019-01-04,Completed
174,8411,1,2019-01-04,Completed
175,5449,1,2019-01-04,Completed
176,7765,2,2019-01-04,Cancelled
177,6705,3,2019-01-04,No-Show
178,6068,4,2019-01-04,Completed
179,10155,4,2019-01-04,Completed
180,8220,4,2019-01-05,Completed
181,20401,2,2019-01-05,Completed
182,21714,4,2019-01-05,Completed
