res_det_ID,res_ID,st_ID,serv_ID,start_time,end_time,serv_discount,serv_tax
1,1,43,9,2019-01-01 14:00:00,2019-01-01 15:15:00,12.50,14.25
2,2,78,6,2019-01-01 19:30:00,2019-01-01 20:30:00,28.05,8.22
3,3,43,7,2019-01-01 10:00:00,2019-01-01 11:30:00,33.60,14.78
4,4,14,2,2019-01-01 13:45:00,2019-01-01 14:15:00,3.00,3.42
5,4,17,15,2019-01-01 14:15:00,2019-01-01 14:35:00,2.75,3.13
6,5,43,12,2019-01-01 17:15:00,2019-01-01 18:15:00,6.50,7.41
7,5,31,15,2019-01-01 18:15:00,2019-01-01 18:35:00,2.75,3.13
8,6,30,3,2019-01-01 10:15:00,2019-01-01 11:15:00,13.20,5.81
9,6,31,14,2019-01-01 11:15:00,2019-01-01 11:30:00,4.20,1.85
10,7,64,6,2019-01-01 13:15:00,2019-01-01 14:15:00,8.25,9.40
11,8,90,6,2019-01-01 17:00:00,2019-01-01 18:00:00,8.25,9.40
12,8,90,15,2019-01-01 18:00:00,2019-01-01 18:20:00,2.75,3.13
13,9,64,10,2019-01-01 11:30:00,2019-01-01 12:30:00,12.00,8.28
14,10,31,3,2019-01-01 12:15:00,2019-01-01 13:15:00,5.50,6.27
15,10,31,15,2019-01-01 13:15:00,2019-01-01 13:35:00,2.75,3.13
16,11,30,3,2019-01-01 13:45:00,2019-01-01 14:45:00,18.70,5.48
17,12,78,13,2019-01-01 12:45:00,2019-01-01 13:45:00,8.00,9.12
18,13,78,7,2019-01-01 18:00:00,2019-01-01 19:30:00,22.40,15.46
19,13,78,14,2019-01-01 19:30:00,2019-01-01 19:45:00,2.80,1.93
20,14,10,6,2019-01-01 19:15:00,2019-01-01 20:15:00,8.25,9.40
21,15,90,11,2019-01-01 12:30:00,2019-01-01 13:30:00,14.40,9.94
22,16,31,4,2019-01-01 11:15:00,2019-01-01 12:15:00,7.60,5.24
23,17,2,3,2019-01-01 14:45:00,2019-01-01 15:45:00,8.80,6.07
24,18,36,4,2019-01-01 14:15:00,2019-01-01 15:15:00,16.15,4.73
25,19,21,1,2019-01-01 17:45:00,2019-01-01 18:30:00,6.00,4.14
26,20,16,11,2019-01-01 17:00:00,2019-01-01 18:00:00,14.40,9.94
27,21,78,12,2019-01-01 13:15:00,2019-01-01 14:15:00,6.50,7.41
28,21,78,14,2019-01-01 14:15:00,2019-01-01 14:30:00,1.75,1.99
29,22,43,11,2019-01-01 17:45:00,2019-01-01 18:45:00,9.00,10.26
30,23,2,8,2019-01-01 13:00:00,2019-01-01 14:30:00,16.00,18.24
31,23,14,16,2019-01-01 14:30:00,2019-01-01 14:45:00,2.00,2.28
32,23,2,15,2019-01-01 14:45:00,2019-01-01 15:05:00,2.75,3.13
33,24,21,2,2019-01-01 17:45:00,2019-01-01 18:15:00,3.00,3.42
34,24,10,16,2019-01-01 18:15:00,2019-01-01 18:30:00,2.00,2.28
35,25,64,2,2019-01-01 17:45:00,2019-01-01 18:15:00,4.80,3.31
36,26,90,6,2019-01-01 13:45:00,2019-01-01 14:45:00,19.80,8.71
37,27,31,1,2019-01-01 17:30:00,2019-01-01 18:15:00,3.75,4.27
38,28,21,1,2019-01-01 16:45:00,2019-01-01 17:30:00,6.00,4.14
39,29,21,5,2019-01-01 14:30:00,2019-01-01 15:45:00,17.60,12.14
40,29,21,16,2019-01-01 15:45:00,2019-01-01 16:00:00,3.20,2.21
41,30,78,11,2019-01-01 12:00:00,2019-01-01 13:00:00,21.60,9.50
42,30,78,15,2019-01-01 13:00:00,2019-01-01 13:20:00,6.60,2.90
43,31,10,1,2019-01-01 19:30:00,2019-01-01 20:15:00,3.75,4.27
44,32,8,6,2019-01-01 19:00:00,2019-01-01 20:00:00,19.80,8.71
45,32,16,16,2019-01-01 20:00:00,2019-01-01 20:15:00,4.80,2.11
46,33,31,8,2019-01-01 10:00:00,2019-01-01 11:30:00,16.00,18.24
47,34,90,5,2019-01-01 10:00:00,2019-01-01 11:15:00,11.00,12.54
48,35,43,1,2019-01-01 12:00:00,2019-01-01 12:45:00,3.75,4.27
49,35,43,14,2019-01-01 12:45:00,2019-01-01 13:00:00,1.75,1.99
50,36,90,5,2019-01-01 12:00:00,2019-01-01 13:15:00,11.00,12.54
51,36,90,14,2019-01-01 13:15:00,2019-01-01 13:30:00,1.75,1.99
52,37,16,1,2019-01-01 12:00:00,2019-01-01 12:45:00,6.00,4.14
53,37,2,16,2019-01-01 12:45:00,2019-01-01 13:00:00,3.20,2.21
54,37,10,15,2019-01-01 13:00:00,2019-01-01 13:20:00,4.40,3.04
55,38,78,12,2019-01-01 16:30:00,2019-01-01 17:30:00,6.50,7.41
56,39,36,12,2019-01-01 18:30:00,2019-01-01 19:30:00,10.40,7.18
57,40,90,5,2019-01-01 10:30:00,2019-01-01 11:45:00,11.00,12.54
58,40,90,15,2019-01-01 11:45:00,2019-01-01 12:05:00,2.75,3.13
59,41,17,8,2019-01-01 15:30:00,2019-01-01 17:00:00,25.60,17.66
60,42,64,2,2019-01-01 12:30:00,2019-01-01 13:00:00,3.00,3.42
