br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
1441,1,1,2023-01,18500.00,2023-01-28
1442,1,2,2023-01,2372.11,2023-01-28
1443,1,3,2023-01,311.46,2023-01-28
1444,1,4,2023-01,209.00,2023-01-28
1445,1,5,2023-01,1861.50,2023-01-28
1446,1,6,2023-01,420.45,2023-01-28
1447,2,1,2023-01,14200.00,2023-01-28
1448,2,2,2023-01,1785.07,2023-01-28
1449,2,3,2023-01,244.40,2023-01-28
1450,2,4,2023-01,209.00,2023-01-28
1451,2,5,2023-01,990.93,2023-01-28
1452,2,6,2023-01,311.84,2023-01-28
1453,3,1,2023-01,11800.00,2023-01-28
1454,3,2,2023-01,1524.40,2023-01-28
1455,3,3,2023-01,223.40,2023-01-28
1456,3,4,2023-01,209.00,2023-01-28
1457,3,5,2023-01,1330.85,2023-01-28
1458,3,6,2023-01,267.48,2023-01-28
1459,4,1,2023-01,9600.00,2023-01-28
1460,4,2,2023-01,1316.76,2023-01-28
1461,4,3,2023-01,179.90,2023-01-28
1462,4,4,2023-01,209.00,2023-01-28
1463,4,5,2023-01,809.53,2023-01-28
1464,4,6,2023-01,206.00,2023-01-28
1465,5,1,2023-01,7400.00,2023-01-28
1466,5,2,2023-01,1024.67,2023-01-28
1467,5,3,2023-01,134.73,2023-01-28
1468,5,4,2023-01,209.00,2023-01-28
1469,5,5,2023-01,634.72,2023-01-28
1470,5,6,2023-01,171.52,2023-01-28
1471,1,1,2023-02,18500.00,2023-02-28
1472,1,2,2023-02,2407.25,2023-02-28
1473,1,3,2023-02,358.89,2023-02-28
1474,1,4,2023-02,209.00,2023-02-28
1475,1,5,2023-02,1447.44,2023-02-28
1476,1,6,2023-02,405.97,2023-02-28
1477,2,1,2023-02,14200.00,2023-02-28
1478,2,2,2023-02,1839.51,2023-02-28
1479,2,3,2023-02,257.15,2023-02-28
1480,2,4,2023-02,209.00,2023-02-28
1481,2,5,2023-02,1540.46,2023-02-28
1482,2,6,2023-02,304.12,2023-02-28
1483,3,1,2023-02,11800.00,2023-02-28
1484,3,2,2023-02,1580.46,2023-02-28
1485,3,3,2023-02,195.73,2023-02-28
1486,3,4,2023-02,209.00,2023-02-28
1487,3,5,2023-02,1007.29,2023-02-28
1488,3,6,2023-02,249.05,2023-02-28
1489,4,1,2023-02,9600.00,2023-02-28
1490,4,2,2023-02,1271.73,2023-02-28
1491,4,3,2023-02,180.96,2023-02-28
1492,4,4,2023-02,209.00,2023-02-28
1493,4,5,2023-02,1058.40,2023-02-28
1494,4,6,2023-02,209.90,2023-02-28
1495,5,1,2023-02,7400.00,2023-02-28
1496,5,2,2023-02,1003.65,2023-02-28
1497,5,3,2023-02,142.17,2023-02-28
1498,5,4,2023-02,209.00,2023-02-28
1499,5,5,2023-02,767.83,2023-02-28
1500,5,6,2023-02,165.13,2023-02-28
1501,1,1,2023-03,18500.00,2023-03-28
1502,1,2,2023-03,2717.76,2023-03-28
1503,1,3,2023-03,348.26,2023-03-28
1504,1,4,2023-03,209.00,2023-03-28
1505,1,5,2023-03,1591.89,2023-03-28
1506,1,6,2023-03,393.40,2023-03-28
1507,2,1,2023-03,14200.00,2023-03-28
1508,2,2,2023-03,2204.33,2023-03-28
1509,2,3,2023-03,250.23,2023-03-28
1510,2,4,2023-03,209.00,2023-03-28
1511,2,5,2023-03,1481.06,2023-03-28
1512,2,6,2023-03,312.07,2023-03-28
1513,3,1,2023-03,11800.00,2023-03-28
1514,3,2,2023-03,1835.24,2023-03-28
1515,3,3,2023-03,213.84,2023-03-28
1516,3,4,2023-03,209.00,2023-03-28
1517,3,5,2023-03,1143.71,2023-03-28
1518,3,6,2023-03,269.75,2023-03-28
1519,4,1,2023-03,9600.00,2023-03-28
1520,4,2,2023-03,1336.36,2023-03-28
1521,4,3,2023-03,160.09,2023-03-28
1522,4,4,2023-03,209.00,2023-03-28
1523,4,5,2023-03,824.91,2023-03-28
1524,4,6,2023-03,203.86,2023-03-28
1525,5,1,2023-03,7400.00,2023-03-28
1526,5,2,2023-03,1137.20,2023-03-28
1527,5,3,2023-03,139.45,2023-03-28
1528,5,4,2023-03,209.00,2023-03-28
1529,5,5,2023-03,529.43,2023-03-28
1530,5,6,2023-03,168.85,2023-03-28
1531,6,1,2023-03,8800.00,2023-03-28
1532,6,2,2023-03,1340.57,2023-03-28
1533,6,3,2023-03,156.59,2023-03-28
1534,6,4,2023-03,209.00,2023-03-28
1535,6,5,2023-03,985.05,2023-03-28
1536,6,6,2023-03,200.66,2023-03-28
1537,1,1,2023-04,18500.00,2023-04-28
1538,1,2,2023-04,2565.80,2023-04-28
1539,1,3,2023-04,341.68,2023-04-28
1540,1,4,2023-04,209.00,2023-04-28
1541,1,5,2023-04,1678.36,2023-04-28
1542,1,6,2023-04,396.68,2023-04-28
1543,2,1,2023-04,14200.00,2023-04-28
1544,2,2,2023-04,2207.25,2023-04-28
1545,2,3,2023-04,261.81,2023-04-28
1546,2,4,2023-04,209.00,2023-04-28
1547,2,5,2023-04,1004.67,2023-04-28
1548,2,6,2023-04,325.19,2023-04-28
1549,3,1,2023-04,11800.00,2023-04-28
