res_det_ID,res_ID,st_ID,serv_ID,start_time,end_time,serv_discount,serv_tax
88791,65111,43,13,2023-01-01 16:45:00,2023-01-01 18:00:00,0.00,9.60
88792,65113,23,3,2023-01-01 11:00:00,2023-01-01 12:15:00,13.20,5.81
88793,65114,80,4,2023-01-01 17:15:00,2023-01-01 18:15:00,2.85,5.53
88794,65115,49,4,2023-01-01 15:45:00,2023-01-01 16:45:00,2.85,5.53
88795,65116,75,9,2023-01-01 12:30:00,2023-01-01 13:45:00,7.50,14.55
88796,65116,80,14,2023-01-01 13:45:00,2023-01-01 14:00:00,1.05,2.04
88797,65117,21,5,2023-01-01 11:45:00,2023-01-01 13:00:00,0.00,13.20
88798,65118,14,12,2023-01-01 12:00:00,2023-01-01 13:00:00,3.90,7.57
88799,65121,18,9,2023-01-01 16:15:00,2023-01-01 17:30:00,0.00,15.00
88800,65122,1,1,2023-01-01 17:15:00,2023-01-01 18:15:00,0.00,4.50
88801,65123,55,1,2023-01-01 10:15:00,2023-01-01 11:15:00,0.00,4.50
88802,65123,57,16,2023-01-01 11:15:00,2023-01-01 11:45:00,0.00,2.40
88803,65124,19,12,2023-01-01 15:45:00,2023-01-01 16:45:00,0.00,7.80
88804,65125,92,2,2023-01-01 18:00:00,2023-01-01 18:45:00,0.00,3.60
88805,65125,92,14,2023-01-01 18:45:00,2023-01-01 19:00:00,0.00,2.10
88806,65126,34,1,2023-01-01 16:00:00,2023-01-01 17:00:00,2.25,4.37
88807,65127,5,8,2023-01-01 15:15:00,2023-01-01 16:45:00,0.00,19.20
88808,65128,35,4,2023-01-01 16:15:00,2023-01-01 17:15:00,0.00,5.70
88809,65129,10,12,2023-01-01 15:00:00,2023-01-01 16:00:00,0.00,7.80
88810,65129,22,14,2023-01-01 16:00:00,2023-01-01 16:15:00,0.00,2.10
88811,65130,93,6,2023-01-01 12:00:00,2023-01-01 13:15:00,11.55,9.21
88812,65131,46,2,2023-01-01 16:45:00,2023-01-01 17:30:00,0.00,3.60
88813,65132,49,5,2023-01-01 17:30:00,2023-01-01 18:45:00,6.60,12.80
88814,65133,34,7,2023-01-01 10:15:00,2023-01-01 11:45:00,8.40,16.30
88815,65135,11,4,2023-01-01 17:15:00,2023-01-01 18:15:00,0.00,5.70
88816,65136,86,10,2023-01-01 14:00:00,2023-01-01 15:00:00,18.00,7.92
88817,65136,88,15,2023-01-01 15:00:00,2023-01-01 15:30:00,6.60,2.90
88818,65137,73,2,2023-01-01 15:15:00,2023-01-01 16:00:00,1.80,3.49
88819,65138,33,7,2023-01-01 16:30:00,2023-01-01 18:00:00,0.00,16.80
88820,65139,22,13,2023-01-01 16:45:00,2023-01-01 18:00:00,0.00,9.60
88821,65140,69,10,2023-01-01 11:45:00,2023-01-01 12:45:00,4.50,8.73
88822,65140,81,15,2023-01-01 12:45:00,2023-01-01 13:15:00,1.65,3.20
88823,65141,46,9,2023-01-01 16:30:00,2023-01-01 17:45:00,0.00,15.00
88824,65141,41,15,2023-01-01 17:45:00,2023-01-01 18:15:00,0.00,3.30
88825,65142,19,6,2023-01-01 18:30:00,2023-01-01 19:45:00,0.00,9.90
88826,65142,26,14,2023-01-01 19:45:00,2023-01-01 20:00:00,0.00,2.10
88827,65143,85,7,2023-01-01 15:45:00,2023-01-01 17:15:00,33.60,14.78
88828,65143,96,16,2023-01-01 17:15:00,2023-01-01 17:45:00,4.80,2.11
88829,65144,73,10,2023-01-01 11:00:00,2023-01-01 12:00:00,4.50,8.73
88830,65144,71,15,2023-01-01 12:00:00,2023-01-01 12:30:00,1.65,3.20
88831,65145,72,7,2023-01-01 17:00:00,2023-01-01 18:30:00,8.40,16.30
88832,65145,73,15,2023-01-01 18:30:00,2023-01-01 19:00:00,1.65,3.20
88833,65146,30,7,2023-01-01 16:30:00,2023-01-01 18:00:00,0.00,16.80
88834,65147,20,3,2023-01-01 17:45:00,2023-01-01 19:00:00,0.00,6.60
88835,65148,41,9,2023-01-01 17:15:00,2023-01-01 18:30:00,0.00,15.00
88836,65149,15,5,2023-01-01 11:30:00,2023-01-01 12:45:00,0.00,13.20
88837,65150,26,6,2023-01-01 12:45:00,2023-01-01 14:00:00,0.00,9.90
88838,65151,26,13,2023-01-01 18:00:00,2023-01-01 19:15:00,0.00,9.60
88839,65152,29,11,2023-01-01 15:00:00,2023-01-01 16:15:00,0.00,10.80
88840,65153,93,1,2023-01-01 16:00:00,2023-01-01 17:00:00,5.25,4.18
88841,65154,19,13,2023-01-01 12:00:00,2023-01-01 13:15:00,0.00,9.60
88842,65155,44,1,2023-01-01 16:15:00,2023-01-01 17:15:00,0.00,4.50
88843,65155,47,14,2023-01-01 17:15:00,2023-01-01 17:30:00,0.00,2.10
88844,65157,54,11,2023-01-01 17:00:00,2023-01-01 18:15:00,5.40,10.48
88845,65158,28,11,2023-01-01 11:45:00,2023-01-01 13:00:00,0.00,10.80
88846,65158,38,14,2023-01-01 13:00:00,2023-01-01 13:15:00,0.00,2.10
88847,65159,51,4,2023-01-01 12:15:00,2023-01-01 13:15:00,2.85,5.53
88848,65160,5,8,2023-01-01 14:00:00,2023-01-01 15:30:00,0.00,19.20
88849,65160,2,16,2023-01-01 15:30:00,2023-01-01 16:00:00,0.00,2.40
88850,65162,90,2,2023-01-01 11:30:00,2023-01-01 12:15:00,4.20,3.35
88851,65162,84,15,2023-01-01 12:15:00,2023-01-01 12:45:00,3.85,3.07
88852,65163,68,3,2023-01-01 13:30:00,2023-01-01 14:45:00,7.70,6.14
88853,65163,71,16,2023-01-01 14:45:00,2023-01-01 15:15:00,2.80,2.23
88854,65164,37,3,2023-01-01 16:00:00,2023-01-01 17:15:00,0.00,6.60
88855,65165,43,2,2023-01-01 16:30:00,2023-01-01 17:15:00,0.00,3.60
88856,65166,14,1,2023-01-01 18:15:00,2023-01-01 19:15:00,0.00,4.50
88857,65167,3,9,2023-01-01 16:30:00,2023-01-01 17:45:00,0.00,15.00
88858,65169,70,6,2023-01-01 17:15:00,2023-01-01 18:30:00,4.95,9.60
88859,65170,13,5,2023-01-01 11:30:00,2023-01-01 12:45:00,0.00,13.20
88860,65170,19,15,2023-01-01 12:45:00,2023-01-01 13:15:00,0.00,3.30
88861,65171,63,5,2023-01-01 18:00:00,2023-01-01 19:15:00,0.00,13.20
88862,65172,51,4,2023-01-01 18:30:00,2023-01-01 19:30:00,2.85,5.53
88863,65174,52,12,2023-01-01 11:45:00,2023-01-01 12:45:00,3.90,7.57
88864,65175,35,4,2023-01-01 13:15:00,2023-01-01 14:15:00,0.00,5.70
88865,65176,18,11,2023-01-01 15:30:00,2023-01-01 16:45:00,0.00,10.80
88866,65177,50,2,2023-01-01 16:00:00,2023-01-01 16:45:00,1.80,3.49
88867,65178,14,9,2023-01-01 15:45:00,2023-01-01 17:00:00,0.00,15.00
88868,65179,21,3,2023-01-01 15:45:00,2023-01-01 17:00:00,0.00,6.60
88869,65179,15,16,2023-01-01 17:00:00,2023-01-01 17:30:00,0.00,2.40
88870,65180,29,4,2023-01-01 18:00:00,2023-01-01 19:00:00,0.00,5.70
88871,65181,14,9,2023-01-01 13:00:00,2023-01-01 14:15:00,0.00,15.00
