res_ID,cus_ID,br_ID,booking_date,res_status
119664,29199,6,2025-01-01,Completed
119665,17081,4,2025-01-01,Completed
119666,31161,1,2025-01-01,Completed
119667,15148,4,2025-01-01,Completed
119668,18890,2,2025-01-01,Completed
119669,15138,2,2025-01-01,Completed
119670,1852,3,2025-01-01,Completed
119671,18315,1,2025-01-01,Completed
119672,21687,5,2025-01-01,Completed
119673,15564,6,2025-01-01,Completed
119674,29448,1,2025-01-01,Completed
119675,13562,3,2025-01-01,Completed
119676,23643,2,2025-01-01,Cancelled
119677,6579,4,2025-01-01,Completed
119678,30303,4,2025-01-01,Completed
119679,20301,1,2025-01-01,Completed
119680,25596,1,2025-01-01,Completed
119681,28030,2,2025-01-01,Completed
119682,17102,1,2025-01-01,Completed
119683,4309,1,2025-01-01,Completed
119684,29948,2,2025-01-01,Completed
119685,18678,4,2025-01-01,Completed
119686,204,1,2025-01-01,Completed
119687,13772,1,2025-01-01,Completed
119688,31435,2,2025-01-01,Completed
119689,28157,3,2025-01-01,Completed
119690,13918,1,2025-01-01,Completed
119691,27399,6,2025-01-01,Completed
119692,10042,6,2025-01-01,Completed
119693,18491,5,2025-01-01,Completed
119694,5062,3,2025-01-01,Completed
119695,4069,4,2025-01-01,Completed
119696,11448,2,2025-01-01,Completed
119697,30618,1,2025-01-01,Completed
119698,2640,2,2025-01-01,Completed
119699,6783,5,2025-01-01,Completed
119700,13282,2,2025-01-01,Completed
119701,3393,6,2025-01-01,Completed
119702,18489,5,2025-01-01,Completed
119703,10222,1,2025-01-01,Completed
119704,6347,5,2025-01-01,Completed
119705,25768,3,2025-01-01,Completed
119706,12613,1,2025-01-01,Completed
119707,1709,1,2025-01-01,Completed
119708,11268,3,2025-01-01,Completed
119709,26617,2,2025-01-01,Completed
119710,31265,3,2025-01-01,Completed
119711,2145,2,2025-01-01,Completed
119712,23819,1,2025-01-01,Completed
119713,28522,1,2025-01-01,Completed
119714,14028,5,2025-01-01,Completed
119715,9533,1,2025-01-01,Completed
119716,16668,6,2025-01-01,Completed
119717,4892,3,2025-01-01,Completed
119718,21596,6,2025-01-01,Completed
119719,2517,1,2025-01-01,Completed
119720,16666,3,2025-01-01,Completed
119721,24184,2,2025-01-01,Completed
119722,3007,6,2025-01-01,Completed
119723,17831,2,2025-01-01,Completed
119724,19178,4,2025-01-01,Cancelled
119725,9794,6,2025-01-01,Completed
119726,9171,4,2025-01-01,Completed
119727,2240,2,2025-01-01,Completed
119728,29570,1,2025-01-01,Completed
119729,9094,6,2025-01-01,Completed
119730,31410,1,2025-01-01,Completed
119731,28722,1,2025-01-01,Completed
119732,1337,2,2025-01-01,No-Show
119733,9054,3,2025-01-01,Completed
119734,22892,5,2025-01-01,Completed
119735,5870,1,2025-01-01,Completed
119736,17766,3,2025-01-02,Completed
119737,12186,5,2025-01-02,Completed
119738,15387,5,2025-01-02,Completed
119739,12278,4,2025-01-02,Completed
119740,23836,2,2025-01-02,Completed
119741,14799,6,2025-01-02,Completed
119742,20315,1,2025-01-02,Completed
119743,29222,1,2025-01-02,Completed
119744,13027,1,2025-01-02,Completed
119745,1559,3,2025-01-02,Completed
119746,23142,2,2025-01-02,Completed
119747,26820,1,2025-01-02,Completed
119748,24654,1,2025-01-02,Completed
