res_det_ID,res_ID,st_ID,serv_ID,start_time,end_time,serv_discount,serv_tax
57063,43103,5,9,2022-01-01 18:45:00,2022-01-01 20:00:00,17.50,13.95
57064,43104,15,3,2022-01-01 16:15:00,2022-01-01 17:30:00,13.20,5.81
57065,43104,15,14,2022-01-01 17:30:00,2022-01-01 17:45:00,4.20,1.85
57066,43105,12,9,2022-01-01 11:30:00,2022-01-01 12:45:00,17.50,13.95
57067,43106,11,2,2022-01-01 17:15:00,2022-01-01 18:00:00,4.20,3.35
57068,43106,11,15,2022-01-01 18:00:00,2022-01-01 18:30:00,3.85,3.07
57069,43107,18,7,2022-01-01 10:45:00,2022-01-01 12:15:00,0.00,16.80
57070,43107,18,16,2022-01-01 12:15:00,2022-01-01 12:45:00,0.00,2.40
57071,43108,44,6,2022-01-01 14:15:00,2022-01-01 15:30:00,11.55,9.21
57072,43108,44,14,2022-01-01 15:30:00,2022-01-01 15:45:00,2.45,1.95
57073,43109,33,12,2022-01-01 14:45:00,2022-01-01 15:45:00,9.10,7.25
57074,43110,32,6,2022-01-01 14:45:00,2022-01-01 16:00:00,4.95,9.60
57075,43111,57,3,2022-01-01 11:15:00,2022-01-01 12:30:00,3.30,6.40
57076,43111,57,14,2022-01-01 12:30:00,2022-01-01 12:45:00,1.05,2.04
57077,43112,53,11,2022-01-01 16:45:00,2022-01-01 18:00:00,0.00,10.80
57078,43112,53,14,2022-01-01 18:00:00,2022-01-01 18:15:00,0.00,2.10
57079,43113,50,12,2022-01-01 15:30:00,2022-01-01 16:30:00,3.90,7.57
57080,43114,62,12,2022-01-01 10:30:00,2022-01-01 11:30:00,0.00,7.80
57081,43115,56,1,2022-01-01 19:00:00,2022-01-01 20:00:00,0.00,4.50
57082,43116,55,6,2022-01-01 17:15:00,2022-01-01 18:30:00,4.95,9.60
57083,43116,55,16,2022-01-01 18:30:00,2022-01-01 19:00:00,1.20,2.33
57084,43117,53,10,2022-01-01 15:30:00,2022-01-01 16:30:00,0.00,9.00
57085,43117,53,14,2022-01-01 16:30:00,2022-01-01 16:45:00,0.00,2.10
57086,43118,60,3,2022-01-01 12:15:00,2022-01-01 13:30:00,0.00,6.60
57087,43119,77,1,2022-01-01 10:00:00,2022-01-01 11:00:00,0.00,4.50
57088,43119,77,14,2022-01-01 11:00:00,2022-01-01 11:15:00,0.00,2.10
57089,43120,72,4,2022-01-01 15:30:00,2022-01-01 16:30:00,2.85,5.53
57090,43121,87,11,2022-01-01 16:15:00,2022-01-01 17:30:00,0.00,10.80
57091,43122,88,1,2022-01-01 19:00:00,2022-01-01 20:00:00,2.25,4.37
57092,43123,91,6,2022-01-01 17:15:00,2022-01-01 18:30:00,19.80,8.71
57093,43123,91,16,2022-01-01 18:30:00,2022-01-01 19:00:00,4.80,2.11
57094,43124,95,2,2022-01-01 18:30:00,2022-01-01 19:15:00,4.20,3.35
57095,43125,111,9,2022-01-01 16:00:00,2022-01-01 17:15:00,0.00,15.00
57096,43126,114,4,2022-01-01 16:00:00,2022-01-01 17:00:00,2.85,5.53
57097,43127,113,13,2022-01-01 13:00:00,2022-01-01 14:15:00,0.00,9.60
57098,43128,101,4,2022-01-01 15:00:00,2022-01-01 16:00:00,0.00,5.70
57099,43129,114,2,2022-01-01 12:45:00,2022-01-01 13:30:00,4.20,3.35
57100,43130,118,1,2022-01-01 15:15:00,2022-01-01 16:15:00,2.25,4.37
57101,43130,118,15,2022-01-01 16:15:00,2022-01-01 16:45:00,1.65,3.20
57102,43131,121,1,2022-01-01 18:45:00,2022-01-01 19:45:00,2.25,4.37
57103,43132,118,1,2022-01-01 16:45:00,2022-01-01 17:45:00,0.00,4.50
57104,43132,118,14,2022-01-01 17:45:00,2022-01-01 18:00:00,0.00,2.10
57105,43133,117,5,2022-01-01 16:45:00,2022-01-01 18:00:00,6.60,12.80
57106,43133,117,15,2022-01-01 18:00:00,2022-01-01 18:30:00,1.65,3.20
57107,43134,125,10,2022-01-01 11:00:00,2022-01-01 12:00:00,0.00,9.00
57108,43135,133,2,2022-01-01 17:00:00,2022-01-01 17:45:00,0.00,3.60
57109,43135,133,16,2022-01-01 17:45:00,2022-01-01 18:15:00,0.00,2.40
57110,43136,135,11,2022-01-01 18:45:00,2022-01-01 20:00:00,21.60,9.50
57111,43137,144,9,2022-01-01 15:45:00,2022-01-01 17:00:00,7.50,14.55
57112,43137,144,14,2022-01-01 17:00:00,2022-01-01 17:15:00,1.05,2.04
57113,43138,147,8,2022-01-01 11:45:00,2022-01-01 13:15:00,9.60,18.62
57114,43139,135,12,2022-01-01 11:00:00,2022-01-01 12:00:00,0.00,7.80
57115,43140,141,13,2022-01-01 18:00:00,2022-01-01 19:15:00,4.80,9.31
57116,43140,141,15,2022-01-01 19:15:00,2022-01-01 19:45:00,1.65,3.20
57117,43141,146,10,2022-01-01 13:30:00,2022-01-01 14:30:00,10.50,8.37
57118,43142,154,2,2022-01-01 11:15:00,2022-01-01 12:00:00,0.00,3.60
57119,43142,154,14,2022-01-01 12:00:00,2022-01-01 12:15:00,0.00,2.10
57120,43143,152,6,2022-01-01 11:30:00,2022-01-01 12:45:00,11.55,9.21
57121,43143,152,16,2022-01-01 12:45:00,2022-01-01 13:15:00,2.80,2.23
57122,43144,170,8,2022-01-01 16:00:00,2022-01-01 17:30:00,0.00,19.20
57123,43145,190,12,2022-01-01 19:00:00,2022-01-01 20:00:00,9.10,7.25
57124,43146,190,4,2022-01-01 11:45:00,2022-01-01 12:45:00,2.85,5.53
57125,43147,199,9,2022-01-01 14:45:00,2022-01-01 16:00:00,30.00,13.20
57126,43148,199,8,2022-01-01 16:15:00,2022-01-01 17:45:00,9.60,18.62
57127,43148,199,15,2022-01-01 17:45:00,2022-01-01 18:15:00,1.65,3.20
57128,43149,12,6,2022-01-02 14:15:00,2022-01-02 15:30:00,0.00,9.90
57129,43150,4,12,2022-01-02 17:00:00,2022-01-02 18:00:00,9.10,7.25
57130,43151,15,13,2022-01-02 18:45:00,2022-01-02 20:00:00,0.00,9.60
57131,43152,16,9,2022-01-02 18:45:00,2022-01-02 20:00:00,0.00,15.00
57132,43153,12,9,2022-01-02 17:00:00,2022-01-02 18:15:00,17.50,13.95
57133,43154,32,1,2022-01-02 16:30:00,2022-01-02 17:30:00,5.25,4.18
57134,43155,37,5,2022-01-02 10:45:00,2022-01-02 12:00:00,6.60,12.80
57135,43156,26,3,2022-01-02 16:45:00,2022-01-02 18:00:00,0.00,6.60
57136,43157,44,9,2022-01-02 18:30:00,2022-01-02 19:45:00,0.00,15.00
57137,43158,26,4,2022-01-02 14:15:00,2022-01-02 15:15:00,2.85,5.53
57138,43158,26,16,2022-01-02 15:15:00,2022-01-02 15:45:00,1.20,2.33
57139,43159,60,2,2022-01-02 12:15:00,2022-01-02 13:00:00,4.20,3.35
57140,43160,55,2,2022-01-02 18:45:00,2022-01-02 19:30:00,1.80,3.49
57141,43161,63,13,2022-01-02 18:15:00,2022-01-02 19:30:00,0.00,9.60
57142,43161,63,15,2022-01-02 19:30:00,2022-01-02 20:00:00,0.00,3.30
57143,43162,61,4,2022-01-02 11:00:00,2022-01-02 12:00:00,0.00,5.70
57144,43163,53,9,2022-01-02 18:45:00,2022-01-02 20:00:00,0.00,15.00
57145,43164,69,12,2022-01-02 18:30:00,2022-01-02 19:30:00,3.90,7.57
57146,43165,75,1,2022-01-02 12:15:00,2022-01-02 13:15:00,0.00,4.50
57147,43166,72,10,2022-01-02 17:45:00,2022-01-02 18:45:00,18.00,7.92
57148,43167,70,9,2022-01-02 12:15:00,2022-01-02 13:30:00,0.00,15.00
57149,43167,70,15,2022-01-02 13:30:00,2022-01-02 14:00:00,0.00,3.30
57150,43168,93,2,2022-01-02 12:30:00,2022-01-02 13:15:00,0.00,3.60
57151,43168,93,15,2022-01-02 13:15:00,2022-01-02 13:45:00,0.00,3.30
57152,43169,95,1,2022-01-02 14:15:00,2022-01-02 15:15:00,9.00,3.96
57153,43170,99,5,2022-01-02 14:15:00,2022-01-02 15:30:00,6.60,12.80
57154,43170,99,15,2022-01-02 15:30:00,2022-01-02 16:00:00,1.65,3.20
57155,43171,114,3,2022-01-02 11:45:00,2022-01-02 13:00:00,0.00,6.60
57156,43172,112,1,2022-01-02 18:15:00,2022-01-02 19:15:00,0.00,4.50
57157,43172,112,16,2022-01-02 19:15:00,2022-01-02 19:45:00,0.00,2.40
57158,43173,135,2,2022-01-02 13:30:00,2022-01-02 14:15:00,7.20,3.17
57159,43174,138,2,2022-01-02 18:30:00,2022-01-02 19:15:00,1.80,3.49
57160,43175,144,12,2022-01-02 19:00:00,2022-01-02 20:00:00,0.00,7.80
57161,43176,133,5,2022-01-02 11:45:00,2022-01-02 13:00:00,6.60,12.80
57162,43177,159,4,2022-01-02 14:00:00,2022-01-02 15:00:00,0.00,5.70
57163,43178,153,13,2022-01-02 10:45:00,2022-01-02 12:00:00,4.80,9.31
57164,43179,167,1,2022-01-02 18:30:00,2022-01-02 19:30:00,2.25,4.37
57165,43179,167,16,2022-01-02 19:30:00,2022-01-02 20:00:00,1.20,2.33
57166,43180,170,2,2022-01-02 18:00:00,2022-01-02 18:45:00,1.80,3.49
57167,43181,181,9,2022-01-02 18:15:00,2022-01-02 19:30:00,7.50,14.55
57168,43182,180,6,2022-01-02 13:45:00,2022-01-02 15:00:00,0.00,9.90
57169,43183,182,13,2022-01-02 17:00:00,2022-01-02 18:15:00,0.00,9.60
57170,43184,190,1,2022-01-02 16:00:00,2022-01-02 17:00:00,9.00,3.96
57171,43184,190,16,2022-01-02 17:00:00,2022-01-02 17:30:00,4.80,2.11
57172,43185,188,12,2022-01-02 17:30:00,2022-01-02 18:30:00,9.10,7.25
57173,43186,196,12,2022-01-02 14:00:00,2022-01-02 15:00:00,0.00,7.80
57174,43187,11,13,2022-01-03 16:00:00,2022-01-03 17:15:00,4.80,9.31
57175,43188,5,5,2022-01-03 18:15:00,2022-01-03 19:30:00,26.40,11.62
57176,43188,5,15,2022-01-03 19:30:00,2022-01-03 20:00:00,6.60,2.90
57177,43189,18,4,2022-01-03 15:45:00,2022-01-03 16:45:00,0.00,5.70
57178,43190,13,5,2022-01-03 11:30:00,2022-01-03 12:45:00,26.40,11.62
57179,43191,28,12,2022-01-03 16:45:00,2022-01-03 17:45:00,0.00,7.80
57180,43192,38,2,2022-01-03 15:45:00,2022-01-03 16:30:00,0.00,3.60
57181,43193,39,2,2022-01-03 17:30:00,2022-01-03 18:15:00,4.20,3.35
57182,43194,55,5,2022-01-03 12:30:00,2022-01-03 13:45:00,17.60,12.14
57183,43195,63,8,2022-01-03 12:15:00,2022-01-03 13:45:00,16.00,18.24
57184,43196,72,5,2022-01-03 15:00:00,2022-01-03 16:15:00,0.00,13.20
57185,43197,75,4,2022-01-03 16:15:00,2022-01-03 17:15:00,2.85,5.53
57186,43198,75,4,2022-01-03 19:00:00,2022-01-03 20:00:00,0.00,5.70
57187,43199,90,9,2022-01-03 14:45:00,2022-01-03 16:00:00,20.00,13.80
57188,43200,113,5,2022-01-03 14:30:00,2022-01-03 15:45:00,26.40,11.62
57189,43201,112,9,2022-01-03 18:45:00,2022-01-03 20:00:00,17.50,13.95
57190,43202,126,2,2022-01-03 19:15:00,2022-01-03 20:00:00,0.00,3.60
57191,43203,146,3,2022-01-03 18:30:00,2022-01-03 19:45:00,3.30,6.40
57192,43204,138,6,2022-01-03 17:30:00,2022-01-03 18:45:00,11.55,9.21
57193,43205,152,8,2022-01-03 15:30:00,2022-01-03 17:00:00,0.00,19.20
57194,43206,163,6,2022-01-03 16:30:00,2022-01-03 17:45:00,11.55,9.21
57195,43207,172,10,2022-01-03 18:15:00,2022-01-03 19:15:00,10.50,8.37
57196,43208,168,10,2022-01-03 12:15:00,2022-01-03 13:15:00,7.50,8.55
57197,43209,168,2,2022-01-03 17:00:00,2022-01-03 17:45:00,1.80,3.49
57198,43209,168,16,2022-01-03 17:45:00,2022-01-03 18:15:00,1.20,2.33
57199,43210,180,2,2022-01-03 15:00:00,2022-01-03 15:45:00,4.20,3.35
57200,43211,181,12,2022-01-03 18:15:00,2022-01-03 19:15:00,0.00,7.80
57201,43211,181,14,2022-01-03 19:15:00,2022-01-03 19:30:00,0.00,2.10
57202,43212,196,8,2022-01-03 16:15:00,2022-01-03 17:45:00,22.40,17.86
57203,43213,195,5,2022-01-03 12:30:00,2022-01-03 13:45:00,37.40,10.96
57204,43214,18,10,2022-01-04 11:30:00,2022-01-04 12:30:00,18.00,7.92
57205,43214,18,15,2022-01-04 12:30:00,2022-01-04 13:00:00,6.60,2.90
57206,43215,13,1,2022-01-04 17:30:00,2022-01-04 18:30:00,0.00,4.50
57207,43215,13,16,2022-01-04 18:30:00,2022-01-04 19:00:00,0.00,2.40
57208,43216,16,12,2022-01-04 18:00:00,2022-01-04 19:00:00,3.90,7.57
57209,43216,16,15,2022-01-04 19:00:00,2022-01-04 19:30:00,1.65,3.20
57210,43217,32,3,2022-01-04 15:30:00,2022-01-04 16:45:00,3.30,6.40
57211,43218,25,10,2022-01-04 18:00:00,2022-01-04 19:00:00,10.50,8.37
57212,43219,31,2,2022-01-04 17:30:00,2022-01-04 18:15:00,1.80,3.49
57213,43219,31,14,2022-01-04 18:15:00,2022-01-04 18:30:00,1.05,2.04
57214,43220,51,8,2022-01-04 18:30:00,2022-01-04 20:00:00,0.00,19.20
57215,43221,63,4,2022-01-04 16:45:00,2022-01-04 17:45:00,11.40,5.02
57216,43222,60,2,2022-01-04 17:45:00,2022-01-04 18:30:00,0.00,3.60
57217,43223,78,7,2022-01-04 17:00:00,2022-01-04 18:30:00,8.40,16.30
57218,43223,78,16,2022-01-04 18:30:00,2022-01-04 19:00:00,1.20,2.33
57219,43224,88,5,2022-01-04 18:30:00,2022-01-04 19:45:00,26.40,11.62
57220,43225,94,8,2022-01-04 16:15:00,2022-01-04 17:45:00,0.00,19.20
57221,43226,88,10,2022-01-04 12:30:00,2022-01-04 13:30:00,12.00,8.28
57222,43227,101,3,2022-01-04 10:15:00,2022-01-04 11:30:00,18.70,5.48
57223,43227,101,14,2022-01-04 11:30:00,2022-01-04 11:45:00,5.95,1.74
57224,43228,99,13,2022-01-04 15:15:00,2022-01-04 16:30:00,0.00,9.60
57225,43229,101,12,2022-01-04 17:15:00,2022-01-04 18:15:00,3.90,7.57
57226,43230,114,11,2022-01-04 14:30:00,2022-01-04 15:45:00,30.60,8.96
57227,43230,114,16,2022-01-04 15:45:00,2022-01-04 16:15:00,6.80,1.99
57228,43231,121,11,2022-01-04 18:45:00,2022-01-04 20:00:00,0.00,10.80
57229,43232,126,8,2022-01-04 16:00:00,2022-01-04 17:30:00,22.40,17.86
57230,43233,124,2,2022-01-04 17:30:00,2022-01-04 18:15:00,1.80,3.49
57231,43234,135,10,2022-01-04 15:00:00,2022-01-04 16:00:00,0.00,9.00
57232,43234,135,15,2022-01-04 16:00:00,2022-01-04 16:30:00,0.00,3.30
57233,43235,138,9,2022-01-04 17:30:00,2022-01-04 18:45:00,7.50,14.55
57234,43236,160,3,2022-01-04 12:00:00,2022-01-04 13:15:00,5.50,6.27
57235,43237,154,2,2022-01-04 18:45:00,2022-01-04 19:30:00,0.00,3.60
57236,43238,170,6,2022-01-04 15:45:00,2022-01-04 17:00:00,0.00,9.90
57237,43239,162,1,2022-01-04 17:15:00,2022-01-04 18:15:00,0.00,4.50
57238,43240,189,11,2022-01-04 16:45:00,2022-01-04 18:00:00,5.40,10.48
57239,43240,189,14,2022-01-04 18:00:00,2022-01-04 18:15:00,1.05,2.04
57240,43241,190,3,2022-01-04 13:00:00,2022-01-04 14:15:00,5.50,6.27
57241,43242,195,6,2022-01-04 15:15:00,2022-01-04 16:30:00,4.95,9.60
57242,43243,197,10,2022-01-04 16:00:00,2022-01-04 17:00:00,4.50,8.73
57243,43244,14,1,2022-01-05 13:45:00,2022-01-05 14:45:00,9.00,3.96
57244,43244,14,14,2022-01-05 14:45:00,2022-01-05 15:00:00,4.20,1.85
57245,43245,14,9,2022-01-05 16:00:00,2022-01-05 17:15:00,0.00,15.00
57246,43245,14,14,2022-01-05 17:15:00,2022-01-05 17:30:00,0.00,2.10
57247,43246,4,13,2022-01-05 13:15:00,2022-01-05 14:30:00,19.20,8.45
57248,43247,25,3,2022-01-05 18:00:00,2022-01-05 19:15:00,3.30,6.40
57249,43248,30,9,2022-01-05 16:00:00,2022-01-05 17:15:00,0.00,15.00
57250,43248,30,16,2022-01-05 17:15:00,2022-01-05 17:45:00,0.00,2.40
57251,43249,26,3,2022-01-05 15:00:00,2022-01-05 16:15:00,0.00,6.60
57252,43250,39,11,2022-01-05 16:00:00,2022-01-05 17:15:00,12.60,10.04
57253,43250,39,16,2022-01-05 17:15:00,2022-01-05 17:45:00,2.80,2.23
57254,43251,31,3,2022-01-05 10:00:00,2022-01-05 11:15:00,13.20,5.81
57255,43251,31,14,2022-01-05 11:15:00,2022-01-05 11:30:00,4.20,1.85
57256,43252,53,12,2022-01-05 16:45:00,2022-01-05 17:45:00,0.00,7.80
57257,43253,62,12,2022-01-05 18:30:00,2022-01-05 19:30:00,15.60,6.86
57258,43253,62,15,2022-01-05 19:30:00,2022-01-05 20:00:00,6.60,2.90
57259,43254,73,4,2022-01-05 10:15:00,2022-01-05 11:15:00,7.60,5.24
57260,43255,69,3,2022-01-05 16:45:00,2022-01-05 18:00:00,3.30,6.40
57261,43256,72,9,2022-01-05 12:15:00,2022-01-05 13:30:00,42.50,12.45
57262,43257,72,10,2022-01-05 16:30:00,2022-01-05 17:30:00,0.00,9.00
57263,43258,94,10,2022-01-05 15:45:00,2022-01-05 16:45:00,4.50,8.73
57264,43259,111,10,2022-01-05 17:00:00,2022-01-05 18:00:00,18.00,7.92
57265,43259,111,16,2022-01-05 18:00:00,2022-01-05 18:30:00,4.80,2.11
57266,43260,99,9,2022-01-05 17:45:00,2022-01-05 19:00:00,7.50,14.55
