purchase_ID,product_ID,br_ID,sup_ID,purchase_qty,purchase_date,purchase_unit_cost
28776,2,1,6,43,2024-01-03,20.09
28777,4,1,6,69,2024-01-03,23.41
28778,6,1,6,59,2024-01-03,12.58
28779,8,1,2,43,2024-01-03,18.13
28780,10,1,2,59,2024-01-03,22.83
28781,12,1,2,41,2024-01-03,45.81
28782,14,1,4,52,2024-01-03,35.60
28783,16,1,2,55,2024-01-03,71.57
28784,18,1,2,43,2024-01-03,31.91
28785,20,1,6,35,2024-01-03,21.99
28786,22,1,6,39,2024-01-03,26.04
28787,24,1,5,52,2024-01-03,33.40
28788,26,1,3,42,2024-01-03,27.68
28789,28,1,6,67,2024-01-03,21.91
28790,30,1,1,47,2024-01-03,43.09
28791,32,1,2,38,2024-01-03,33.62
28792,34,1,4,46,2024-01-03,44.81
28793,36,1,3,33,2024-01-03,33.57
28794,38,1,3,48,2024-01-03,30.34
28795,40,1,3,57,2024-01-03,32.90
28796,42,1,4,48,2024-01-03,12.94
28797,44,1,5,46,2024-01-03,36.17
28798,46,1,2,64,2024-01-03,38.81
28799,48,1,6,53,2024-01-03,48.07
28800,2,2,6,61,2024-01-03,17.84
28801,4,2,6,71,2024-01-03,22.98
28802,6,2,1,52,2024-01-03,14.06
28803,8,2,6,63,2024-01-03,17.63
28804,10,2,6,58,2024-01-03,22.27
28805,12,2,2,40,2024-01-03,53.31
28806,14,2,4,45,2024-01-03,30.86
28807,16,2,2,34,2024-01-03,62.11
28808,18,2,6,28,2024-01-03,32.03
28809,20,2,6,49,2024-01-03,23.02
28810,22,2,2,49,2024-01-03,25.12
28811,24,2,5,47,2024-01-03,33.47
28812,26,2,5,43,2024-01-03,29.71
28813,28,2,1,56,2024-01-03,20.75
28814,30,2,1,45,2024-01-03,44.78
28815,32,2,4,57,2024-01-03,33.81
28816,34,2,2,34,2024-01-03,45.95
28817,36,2,3,48,2024-01-03,35.54
28818,38,2,3,33,2024-01-03,29.12
28819,40,2,5,46,2024-01-03,39.36
28820,42,2,6,42,2024-01-03,11.93
28821,44,2,3,50,2024-01-03,31.59
28822,46,2,2,54,2024-01-03,39.71
28823,48,2,6,68,2024-01-03,47.31
28824,2,3,1,43,2024-01-03,18.24
28825,4,3,6,44,2024-01-03,23.03
28826,6,3,1,40,2024-01-03,12.80
28827,8,3,2,27,2024-01-03,17.51
28828,10,3,6,31,2024-01-03,21.91
28829,12,3,2,23,2024-01-03,50.29
28830,14,3,2,31,2024-01-03,36.32
28831,16,3,4,31,2024-01-03,68.19
28832,18,3,2,33,2024-01-03,32.67
28833,20,3,2,41,2024-01-03,21.93
28834,22,3,2,37,2024-01-03,29.83
28835,24,3,3,44,2024-01-03,29.13
28836,26,3,3,43,2024-01-03,31.10
28837,28,3,6,53,2024-01-03,21.36
28838,30,3,6,41,2024-01-03,42.29
28839,32,3,2,40,2024-01-03,34.74
28840,34,3,4,45,2024-01-03,43.59
28841,36,3,3,42,2024-01-03,35.44
28842,38,3,5,30,2024-01-03,27.66
28843,40,3,3,47,2024-01-03,35.97
28844,42,3,6,49,2024-01-03,13.09
28845,44,3,3,40,2024-01-03,33.32
28846,46,3,6,47,2024-01-03,40.43
28847,48,3,1,35,2024-01-03,47.22
28848,2,4,1,25,2024-01-03,17.90
28849,4,4,6,32,2024-01-03,21.99
28850,6,4,1,34,2024-01-03,13.86
28851,8,4,6,35,2024-01-03,18.44
28852,12,4,2,27,2024-01-03,44.60
28853,14,4,2,24,2024-01-03,31.44
28854,16,4,2,27,2024-01-03,72.27
28855,18,4,6,32,2024-01-03,33.03
28856,22,4,2,45,2024-01-03,24.87
28857,24,4,3,38,2024-01-03,28.16
28858,26,4,3,21,2024-01-03,26.93
28859,28,4,1,28,2024-01-03,22.61
28860,30,4,6,27,2024-01-03,42.54
28861,32,4,4,25,2024-01-03,30.68
28862,34,4,2,21,2024-01-03,43.00
28863,36,4,3,39,2024-01-03,31.28
28864,38,4,3,47,2024-01-03,31.88
28865,40,4,5,32,2024-01-03,39.03
28866,42,4,4,35,2024-01-03,13.12
28867,44,4,3,34,2024-01-03,31.95
28868,46,4,2,33,2024-01-03,41.86
28869,48,4,1,44,2024-01-03,44.91
28870,2,5,6,26,2024-01-03,19.85
28871,4,5,1,33,2024-01-03,26.39
28872,6,5,6,48,2024-01-03,12.88
28873,8,5,2,33,2024-01-03,18.36
28874,10,5,2,34,2024-01-03,23.40
28875,14,5,2,29,2024-01-03,31.94
28876,22,5,6,30,2024-01-03,25.62
28877,24,5,3,37,2024-01-03,28.92
28878,26,5,3,32,2024-01-03,29.67
28879,30,5,6,21,2024-01-03,39.98
28880,32,5,2,35,2024-01-03,31.59
28881,34,5,2,30,2024-01-03,41.09
28882,40,5,5,39,2024-01-03,36.82
28883,42,5,4,27,2024-01-03,12.55
28884,46,5,6,34,2024-01-03,40.59
28885,48,5,6,36,2024-01-03,47.56
28886,2,6,6,38,2024-01-03,17.35
28887,4,6,6,49,2024-01-03,23.42
28888,6,6,1,45,2024-01-03,13.56
28889,8,6,2,33,2024-01-03,20.44
28890,10,6,6,37,2024-01-03,20.34
28891,12,6,4,41,2024-01-03,52.41
28892,14,6,4,29,2024-01-03,33.79
28893,16,6,4,22,2024-01-03,62.91
28894,18,6,2,22,2024-01-03,32.93
28895,20,6,6,30,2024-01-03,25.83
28896,22,6,6,49,2024-01-03,28.50
28897,24,6,5,24,2024-01-03,30.59
28898,26,6,5,26,2024-01-03,29.19
28899,28,6,1,44,2024-01-03,22.47
28900,30,6,1,41,2024-01-03,41.66
28901,32,6,4,39,2024-01-03,34.55
28902,34,6,2,31,2024-01-03,38.58
28903,36,6,3,35,2024-01-03,33.93
28904,38,6,3,38,2024-01-03,31.04
28905,40,6,3,34,2024-01-03,33.71
28906,42,6,6,38,2024-01-03,11.66
28907,44,6,5,49,2024-01-03,35.15
28908,46,6,2,37,2024-01-03,40.39
28909,2,7,6,29,2024-01-03,17.63
28910,4,7,1,47,2024-01-03,22.76
28911,6,7,6,50,2024-01-03,14.34
28912,8,7,2,49,2024-01-03,18.22
28913,10,7,2,30,2024-01-03,23.55
28914,12,7,4,26,2024-01-03,52.89
28915,14,7,2,27,2024-01-03,33.41
28916,16,7,2,34,2024-01-03,69.81
28917,18,7,6,32,2024-01-03,31.45
28918,20,7,2,44,2024-01-03,23.90
