order_ID,cus_ID,br_ID,st_ID,order_date,order_status
116068,8799,1,6,2022-01-01,Completed
116069,12777,1,20,2022-01-01,Completed
116070,8534,1,20,2022-01-01,Completed
116071,12180,1,20,2022-01-01,Completed
116072,7996,1,1,2022-01-01,Completed
116073,1369,1,22,2022-01-01,Completed
116074,1230,1,1,2022-01-01,Completed
116075,14232,1,1,2022-01-01,Completed
116076,13279,1,6,2022-01-01,Completed
116077,11985,1,6,2022-01-01,Completed
116078,1964,1,3,2022-01-01,Completed
116079,4234,1,20,2022-01-01,Completed
116080,4034,1,1,2022-01-01,Completed
116081,12675,1,3,2022-01-01,Completed
116082,8601,1,6,2022-01-01,Completed
116083,4234,1,8,2022-01-01,Processing
116084,2301,1,3,2022-01-01,Completed
116085,5558,1,8,2022-01-01,Completed
116086,755,1,6,2022-01-01,Completed
116087,5350,1,1,2022-01-01,Completed
116088,5546,2,35,2022-01-01,Completed
116089,13847,2,36,2022-01-01,Completed
116090,11310,2,48,2022-01-01,Completed
116091,10698,2,48,2022-01-01,Completed
116092,4397,2,29,2022-01-01,Completed
116093,11703,2,35,2022-01-01,Completed
116094,7832,2,29,2022-01-01,Completed
116095,2033,2,36,2022-01-01,Completed
116096,13839,2,29,2022-01-01,Completed
116097,10391,2,41,2022-01-01,Completed
116098,12329,2,29,2022-01-01,Completed
116099,4895,2,48,2022-01-01,Completed
116100,747,2,41,2022-01-01,Completed
116101,14223,2,43,2022-01-01,Cancelled
116102,2058,2,45,2022-01-01,Completed
116103,10593,2,46,2022-01-01,Completed
116104,9979,2,35,2022-01-01,Completed
116105,5049,2,29,2022-01-01,Completed
116106,10720,2,48,2022-01-01,Completed
116107,3281,3,52,2022-01-01,Completed
116108,10633,3,66,2022-01-01,Completed
116109,11651,3,66,2022-01-01,Completed
116110,8579,3,52,2022-01-01,Completed
116111,5291,3,59,2022-01-01,Pending
116112,6317,3,52,2022-01-01,Completed
116113,11425,3,64,2022-01-01,Completed
116114,12280,3,49,2022-01-01,Processing
116115,3670,3,66,2022-01-01,Completed
116116,5165,3,52,2022-01-01,Completed
116117,3292,3,52,2022-01-01,Completed
116118,9892,4,81,2022-01-01,Completed
116119,13748,4,81,2022-01-01,Completed
116120,8668,4,80,2022-01-01,Completed
116121,5618,4,80,2022-01-01,Completed
116122,4489,4,82,2022-01-01,Completed
116123,10461,4,81,2022-01-01,Completed
116124,12048,4,83,2022-01-01,Completed
116125,10514,4,71,2022-01-01,Completed
116126,12465,5,96,2022-01-01,Completed
116127,12250,5,92,2022-01-01,Completed
116128,1299,5,96,2022-01-01,Completed
116129,10943,5,92,2022-01-01,Completed
116130,6085,5,86,2022-01-01,Completed
116131,13765,5,96,2022-01-01,Completed
116132,13836,5,84,2022-01-01,Completed
116133,4936,5,96,2022-01-01,Completed
116134,14565,5,96,2022-01-01,Completed
116135,6343,5,92,2022-01-01,Completed
116136,13647,6,97,2022-01-01,Completed
116137,5505,6,110,2022-01-01,Completed
116138,2576,6,110,2022-01-01,Completed
116139,5020,6,110,2022-01-01,Completed
116140,12376,6,100,2022-01-01,Completed
116141,8982,6,100,2022-01-01,Completed
116142,1500,6,110,2022-01-01,Completed
116143,547,6,100,2022-01-01,Completed
116144,13030,6,100,2022-01-01,Completed
116145,3003,6,107,2022-01-01,Completed
116146,12792,6,100,2022-01-01,Completed
116147,12920,6,97,2022-01-01,Completed
116148,8031,7,116,2022-01-01,Completed
116149,5995,7,131,2022-01-01,Completed
116150,13907,7,131,2022-01-01,Completed
116151,4022,7,119,2022-01-01,Completed
116152,4492,7,122,2022-01-01,Completed
116153,12440,7,129,2022-01-01,Completed
116154,14022,7,119,2022-01-01,Completed
116155,13553,7,123,2022-01-01,Completed
116156,11353,7,119,2022-01-01,Completed
116157,3591,8,140,2022-01-01,Pending
116158,13198,8,139,2022-01-01,Completed
116159,4426,8,139,2022-01-01,Completed
116160,11976,8,132,2022-01-01,Completed
116161,12059,8,145,2022-01-01,Completed
116162,8661,8,145,2022-01-01,Completed
116163,10212,9,151,2022-01-01,Completed
116164,14184,9,149,2022-01-01,Completed
116165,11995,9,157,2022-01-01,Completed
116166,13099,9,151,2022-01-01,Completed
116167,6511,9,150,2022-01-01,Completed
116168,12717,9,149,2022-01-01,Completed
116169,4998,9,151,2022-01-01,Completed
116170,1651,9,149,2022-01-01,Completed
116171,3031,9,151,2022-01-01,Completed
116172,5162,9,149,2022-01-01,Completed
116173,12510,10,174,2022-01-01,Completed
116174,9689,10,174,2022-01-01,Completed
116175,7430,10,161,2022-01-01,Cancelled
116176,3482,10,176,2022-01-01,Completed
116177,10525,10,161,2022-01-01,Completed
116178,13483,10,176,2022-01-01,Completed
116179,768,10,173,2022-01-01,Completed
116180,13322,10,166,2022-01-01,Completed
116181,10247,10,173,2022-01-01,Completed
116182,536,10,173,2022-01-01,Completed
116183,3297,10,175,2022-01-01,Completed
116184,13631,10,174,2022-01-01,Completed
116185,13284,10,173,2022-01-01,Completed
116186,12991,11,184,2022-01-01,Completed
116187,11474,11,185,2022-01-01,Completed
116188,1409,11,184,2022-01-01,Completed
116189,13986,11,184,2022-01-01,Completed
116190,2494,11,179,2022-01-01,Completed
116191,6893,11,177,2022-01-01,Completed
116192,14100,11,179,2022-01-01,Completed
116193,5260,11,185,2022-01-01,Completed
116194,4314,11,177,2022-01-01,Completed
116195,2660,11,179,2022-01-01,Completed
116196,7698,11,185,2022-01-01,Completed
116197,10776,11,177,2022-01-01,Completed
116198,12344,11,185,2022-01-01,Completed
116199,13161,11,184,2022-01-01,Completed
116200,1191,11,184,2022-01-01,Cancelled
116201,13842,12,202,2022-01-01,Completed
116202,1397,12,201,2022-01-01,Completed
116203,12404,12,202,2022-01-01,Completed
116204,10749,12,201,2022-01-01,Completed
116205,14221,12,192,2022-01-01,Completed
116206,10697,12,192,2022-01-01,Completed
116207,12942,12,201,2022-01-01,Completed
116208,2459,12,202,2022-01-01,Completed
116209,3218,12,202,2022-01-01,Completed
116210,12410,12,192,2022-01-01,Completed
116211,9532,1,10,2022-01-02,Completed
116212,7448,1,6,2022-01-02,Completed
116213,11375,1,8,2022-01-02,Completed
116214,12685,1,17,2022-01-02,Completed
116215,6082,1,1,2022-01-02,Completed
116216,13514,1,6,2022-01-02,Completed
116217,11352,1,20,2022-01-02,Completed
116218,7882,1,10,2022-01-02,Completed
116219,12984,1,3,2022-01-02,Completed
116220,6977,1,22,2022-01-02,Completed
116221,11401,1,20,2022-01-02,Completed
116222,11318,1,8,2022-01-02,Completed
116223,9268,1,10,2022-01-02,Completed
116224,14054,1,8,2022-01-02,Completed
116225,5811,1,20,2022-01-02,Completed
116226,13673,1,8,2022-01-02,Completed
116227,10108,1,6,2022-01-02,Completed
116228,9914,1,22,2022-01-02,Completed
116229,1614,1,22,2022-01-02,Cancelled
116230,6115,2,45,2022-01-02,Completed
116231,5450,2,29,2022-01-02,Completed
116232,8250,2,41,2022-01-02,Completed
116233,902,2,24,2022-01-02,Completed
116234,3552,2,35,2022-01-02,Completed
116235,11430,2,36,2022-01-02,Completed
116236,13497,2,45,2022-01-02,Completed
116237,1474,2,46,2022-01-02,Completed
116238,1807,2,29,2022-01-02,Completed
116239,11868,2,48,2022-01-02,Completed
116240,12986,2,48,2022-01-02,Completed
