sal_pay_ID,st_ID,pay_period,base_amount,bonus_amount,deduction_amount,payment_date
8946,1,2022-01,4913.53,0.00,442.22,2022-01-25
8947,3,2022-01,1850.04,0.00,166.50,2022-01-25
8948,4,2022-01,1631.96,0.00,146.88,2022-01-25
8949,5,2022-01,2451.92,0.00,220.67,2022-01-25
8950,6,2022-01,1865.60,0.00,167.90,2022-01-25
8951,8,2022-01,1680.77,0.00,151.27,2022-01-25
8952,10,2022-01,1785.23,0.00,160.67,2022-01-25
8953,11,2022-01,2994.23,0.00,269.48,2022-01-25
8954,12,2022-01,2404.03,0.00,216.36,2022-01-25
8955,13,2022-01,3183.29,0.00,286.50,2022-01-25
8956,14,2022-01,3024.14,0.00,272.17,2022-01-25
8957,15,2022-01,1937.88,0.00,174.41,2022-01-25
8958,16,2022-01,2417.12,0.00,217.54,2022-01-25
8959,17,2022-01,1659.44,0.00,149.35,2022-01-25
8960,18,2022-01,1885.11,0.00,169.66,2022-01-25
8961,19,2022-01,1889.63,0.00,170.07,2022-01-25
8962,20,2022-01,1741.50,0.00,156.73,2022-01-25
8963,22,2022-01,1800.12,0.00,162.01,2022-01-25
8964,24,2022-01,4916.96,0.00,442.53,2022-01-25
8965,25,2022-01,3191.62,0.00,287.25,2022-01-25
8966,26,2022-01,2232.10,0.00,200.89,2022-01-25
8967,28,2022-01,3177.10,0.00,285.94,2022-01-25
8968,29,2022-01,1700.52,0.00,153.05,2022-01-25
8969,30,2022-01,2310.40,0.00,207.94,2022-01-25
8970,31,2022-01,1725.15,0.00,155.26,2022-01-25
8971,32,2022-01,1816.38,0.00,163.47,2022-01-25
8972,33,2022-01,2298.03,0.00,206.82,2022-01-25
8973,35,2022-01,1997.52,0.00,179.78,2022-01-25
8974,36,2022-01,1950.48,0.00,175.54,2022-01-25
8975,37,2022-01,2345.43,0.00,211.09,2022-01-25
8976,38,2022-01,3167.70,0.00,285.09,2022-01-25
8977,39,2022-01,1892.37,0.00,170.31,2022-01-25
8978,41,2022-01,1982.04,0.00,178.38,2022-01-25
8979,43,2022-01,1849.36,0.00,166.44,2022-01-25
8980,44,2022-01,1961.45,0.00,176.53,2022-01-25
8981,45,2022-01,1623.13,0.00,146.08,2022-01-25
8982,46,2022-01,1889.70,0.00,170.07,2022-01-25
8983,48,2022-01,1802.75,0.00,162.25,2022-01-25
8984,49,2022-01,5214.34,0.00,469.29,2022-01-25
8985,50,2022-01,2244.64,0.00,202.02,2022-01-25
8986,51,2022-01,1693.25,0.00,152.39,2022-01-25
8987,52,2022-01,1904.25,0.00,171.38,2022-01-25
8988,53,2022-01,2150.58,0.00,193.55,2022-01-25
8989,55,2022-01,1680.06,0.00,151.21,2022-01-25
8990,56,2022-01,2871.29,0.00,258.42,2022-01-25
8991,57,2022-01,1749.28,0.00,157.44,2022-01-25
8992,59,2022-01,1944.75,0.00,175.03,2022-01-25
8993,60,2022-01,2291.43,0.00,206.23,2022-01-25
8994,61,2022-01,2954.36,0.00,265.89,2022-01-25
8995,62,2022-01,2365.80,0.00,212.92,2022-01-25
8996,63,2022-01,1716.31,0.00,154.47,2022-01-25
8997,64,2022-01,1726.23,0.00,155.36,2022-01-25
8998,66,2022-01,1661.71,0.00,149.55,2022-01-25
8999,68,2022-01,4782.98,0.00,430.47,2022-01-25
9000,69,2022-01,2913.00,0.00,262.17,2022-01-25
9001,70,2022-01,1790.79,0.00,161.17,2022-01-25
9002,71,2022-01,1870.50,0.00,168.34,2022-01-25
9003,72,2022-01,2856.32,0.00,257.07,2022-01-25
9004,73,2022-01,2281.35,0.00,205.32,2022-01-25
