br_exp_ID,br_ID,br_utils_ID,billing_period,payment_amount,payment_date
5203,1,1,2024-01,15462.98,2024-01-28
5204,1,2,2024-01,1895.07,2024-01-28
5205,1,3,2024-01,284.02,2024-01-28
5206,1,4,2024-01,249.56,2024-01-28
5207,1,5,2024-01,1777.90,2024-01-28
5208,1,6,2024-01,330.56,2024-01-28
5209,2,1,2024-01,11880.82,2024-01-28
5210,2,2,2024-01,1556.31,2024-01-28
5211,2,3,2024-01,209.72,2024-01-28
5212,2,4,2024-01,249.56,2024-01-28
5213,2,5,2024-01,1050.86,2024-01-28
5214,2,6,2024-01,254.05,2024-01-28
5215,3,1,2024-01,9850.93,2024-01-28
5216,3,2,2024-01,1303.46,2024-01-28
5217,3,3,2024-01,188.62,2024-01-28
5218,3,4,2024-01,249.56,2024-01-28
5219,3,5,2024-01,1051.86,2024-01-28
5220,3,6,2024-01,207.60,2024-01-28
5221,4,1,2024-01,8000.15,2024-01-28
5222,4,2,2024-01,993.96,2024-01-28
5223,4,3,2024-01,139.02,2024-01-28
5224,4,4,2024-01,249.56,2024-01-28
5225,4,5,2024-01,564.86,2024-01-28
5226,4,6,2024-01,180.10,2024-01-28
5227,5,1,2024-01,6209.07,2024-01-28
5228,5,2,2024-01,812.65,2024-01-28
5229,5,3,2024-01,101.73,2024-01-28
5230,5,4,2024-01,249.56,2024-01-28
5231,5,5,2024-01,543.95,2024-01-28
5232,5,6,2024-01,136.79,2024-01-28
5233,6,1,2024-01,8179.26,2024-01-28
5234,6,2,2024-01,1099.88,2024-01-28
5235,6,3,2024-01,135.86,2024-01-28
5236,6,4,2024-01,249.56,2024-01-28
5237,6,5,2024-01,810.00,2024-01-28
5238,6,6,2024-01,177.40,2024-01-28
5239,7,1,2024-01,7044.91,2024-01-28
5240,7,2,2024-01,846.05,2024-01-28
5241,7,3,2024-01,137.26,2024-01-28
5242,7,4,2024-01,249.56,2024-01-28
5243,7,5,2024-01,634.80,2024-01-28
5244,7,6,2024-01,150.22,2024-01-28
5245,8,1,2024-01,7701.64,2024-01-28
5246,8,2,2024-01,943.27,2024-01-28
5247,8,3,2024-01,149.68,2024-01-28
5248,8,4,2024-01,249.56,2024-01-28
5249,8,5,2024-01,625.85,2024-01-28
5250,8,6,2024-01,174.96,2024-01-28
5251,9,1,2024-01,6029.96,2024-01-28
5252,9,2,2024-01,753.74,2024-01-28
5253,9,3,2024-01,104.01,2024-01-28
