br_exp_ID,br_ID,util_name,billing_period,payment_amount,payment_date
1,1,Rent,2019-01,12950.00,2019-01-28
2,1,Electricity,2019-01,1582.81,2019-01-28
3,1,Water,2019-01,244.75,2019-01-28
4,1,Internet,2019-01,209.00,2019-01-28
5,1,Maintenance,2019-01,1367.53,2019-01-28
6,1,Waste Management,2019-01,300.46,2019-01-28
7,2,Rent,2019-01,9950.00,2019-01-28
8,2,Electricity,2019-01,1328.16,2019-01-28
9,2,Water,2019-01,162.84,2019-01-28
10,2,Internet,2019-01,209.00,2019-01-28
11,2,Maintenance,2019-01,1005.44,2019-01-28
12,2,Waste Management,2019-01,225.26,2019-01-28
13,3,Rent,2019-01,8250.00,2019-01-28
14,3,Electricity,2019-01,1058.30,2019-01-28
15,3,Water,2019-01,160.01,2019-01-28
16,3,Internet,2019-01,209.00,2019-01-28
17,3,Maintenance,2019-01,822.83,2019-01-28
18,3,Waste Management,2019-01,186.86,2019-01-28
19,4,Rent,2019-01,6700.00,2019-01-28
20,4,Electricity,2019-01,827.29,2019-01-28
21,4,Water,2019-01,112.95,2019-01-28
22,4,Internet,2019-01,209.00,2019-01-28
23,4,Maintenance,2019-01,515.81,2019-01-28
24,4,Waste Management,2019-01,154.67,2019-01-28
25,5,Rent,2019-01,5200.00,2019-01-28
26,5,Electricity,2019-01,685.71,2019-01-28
27,5,Water,2019-01,94.23,2019-01-28
28,5,Internet,2019-01,209.00,2019-01-28
29,5,Maintenance,2019-01,598.29,2019-01-28
30,5,Waste Management,2019-01,117.38,2019-01-28
31,6,Rent,2019-01,6850.00,2019-01-28
32,6,Electricity,2019-01,818.85,2019-01-28
33,6,Water,2019-01,132.20,2019-01-28
34,6,Internet,2019-01,209.00,2019-01-28
35,6,Maintenance,2019-01,567.92,2019-01-28
36,6,Waste Management,2019-01,153.32,2019-01-28
37,7,Rent,2019-01,5900.00,2019-01-28
38,7,Electricity,2019-01,810.93,2019-01-28
39,7,Water,2019-01,109.26,2019-01-28
40,7,Internet,2019-01,209.00,2019-01-28
41,7,Maintenance,2019-01,613.66,2019-01-28
42,7,Waste Management,2019-01,128.34,2019-01-28
43,8,Rent,2019-01,6450.00,2019-01-28
44,8,Electricity,2019-01,818.48,2019-01-28
45,8,Water,2019-01,116.43,2019-01-28
46,8,Internet,2019-01,209.00,2019-01-28
47,8,Maintenance,2019-01,669.42,2019-01-28
48,8,Waste Management,2019-01,146.62,2019-01-28
49,9,Rent,2019-01,5050.00,2019-01-28
50,9,Electricity,2019-01,605.42,2019-01-28
51,9,Water,2019-01,98.58,2019-01-28
52,9,Internet,2019-01,209.00,2019-01-28
53,9,Maintenance,2019-01,378.16,2019-01-28
54,9,Waste Management,2019-01,113.27,2019-01-28
55,10,Rent,2019-01,6250.00,2019-01-28
56,10,Electricity,2019-01,767.25,2019-01-28
57,10,Water,2019-01,117.37,2019-01-28
58,10,Internet,2019-01,209.00,2019-01-28
59,10,Maintenance,2019-01,496.50,2019-01-28
60,10,Waste Management,2019-01,134.00,2019-01-28
61,11,Rent,2019-01,6000.00,2019-01-28
62,11,Electricity,2019-01,732.82,2019-01-28
63,11,Water,2019-01,97.96,2019-01-28
64,11,Internet,2019-01,209.00,2019-01-28
65,11,Maintenance,2019-01,555.59,2019-01-28
66,11,Waste Management,2019-01,127.84,2019-01-28
67,12,Rent,2019-01,4850.00,2019-01-28
68,12,Electricity,2019-01,643.49,2019-01-28
69,12,Water,2019-01,81.17,2019-01-28
70,12,Internet,2019-01,209.00,2019-01-28
71,12,Maintenance,2019-01,500.01,2019-01-28
72,12,Waste Management,2019-01,111.44,2019-01-28
73,13,Rent,2019-01,3300.00,2019-01-28
74,13,Electricity,2019-01,460.66,2019-01-28
75,13,Water,2019-01,63.30,2019-01-28
76,13,Internet,2019-01,209.00,2019-01-28
77,13,Maintenance,2019-01,320.11,2019-01-28
78,13,Waste Management,2019-01,71.89,2019-01-28
79,1,Rent,2019-02,12950.00,2019-02-28
80,1,Electricity,2019-02,1684.11,2019-02-28
81,1,Water,2019-02,245.07,2019-02-28
82,1,Internet,2019-02,209.00,2019-02-28
83,1,Maintenance,2019-02,1310.61,2019-02-28
84,1,Waste Management,2019-02,292.39,2019-02-28
85,2,Rent,2019-02,9950.00,2019-02-28
86,2,Electricity,2019-02,1240.52,2019-02-28
87,2,Water,2019-02,175.81,2019-02-28
88,2,Internet,2019-02,209.00,2019-02-28
89,2,Maintenance,2019-02,785.93,2019-02-28
90,2,Waste Management,2019-02,221.17,2019-02-28
91,3,Rent,2019-02,8250.00,2019-02-28
92,3,Electricity,2019-02,1076.67,2019-02-28
93,3,Water,2019-02,146.77,2019-02-28
94,3,Internet,2019-02,209.00,2019-02-28
95,3,Maintenance,2019-02,590.85,2019-02-28
96,3,Waste Management,2019-02,186.42,2019-02-28
97,4,Rent,2019-02,6700.00,2019-02-28
98,4,Electricity,2019-02,931.77,2019-02-28
99,4,Water,2019-02,125.89,2019-02-28
100,4,Internet,2019-02,209.00,2019-02-28
101,4,Maintenance,2019-02,475.46,2019-02-28
102,4,Waste Management,2019-02,145.85,2019-02-28
103,5,Rent,2019-02,5200.00,2019-02-28
104,5,Electricity,2019-02,624.82,2019-02-28
105,5,Water,2019-02,93.47,2019-02-28
106,5,Internet,2019-02,209.00,2019-02-28
107,5,Maintenance,2019-02,572.91,2019-02-28
108,5,Waste Management,2019-02,118.19,2019-02-28
109,6,Rent,2019-02,6850.00,2019-02-28
110,6,Electricity,2019-02,916.47,2019-02-28
111,6,Water,2019-02,116.94,2019-02-28
112,6,Internet,2019-02,209.00,2019-02-28
113,6,Maintenance,2019-02,620.26,2019-02-28
114,6,Waste Management,2019-02,154.33,2019-02-28
115,7,Rent,2019-02,5900.00,2019-02-28
116,7,Electricity,2019-02,742.43,2019-02-28
117,7,Water,2019-02,114.91,2019-02-28
118,7,Internet,2019-02,209.00,2019-02-28
119,7,Maintenance,2019-02,402.16,2019-02-28
120,7,Waste Management,2019-02,132.91,2019-02-28
121,8,Rent,2019-02,6450.00,2019-02-28
122,8,Electricity,2019-02,826.88,2019-02-28
123,8,Water,2019-02,105.05,2019-02-28
124,8,Internet,2019-02,209.00,2019-02-28
125,8,Maintenance,2019-02,567.92,2019-02-28
126,8,Waste Management,2019-02,137.42,2019-02-28
127,9,Rent,2019-02,5050.00,2019-02-28
128,9,Electricity,2019-02,612.86,2019-02-28
129,9,Water,2019-02,92.72,2019-02-28
130,9,Internet,2019-02,209.00,2019-02-28
131,9,Maintenance,2019-02,355.38,2019-02-28
