order_det_ID,order_ID,product_ID,order_qty,order_discount,order_tax
1,1,34,1,0.00,2.16
2,2,9,1,1.20,2.33
3,3,29,2,3.12,6.05
4,4,42,1,0.00,1.68
5,4,14,2,0.00,8.16
6,5,3,3,10.44,4.59
7,6,28,1,0.00,3.48
8,6,7,2,0.00,3.84
9,6,6,1,0.00,2.40
10,7,20,3,16.38,13.06
11,8,20,2,0.00,9.36
12,8,2,4,0.00,9.12
13,9,35,1,1.74,3.38
14,9,19,2,3.90,7.57
15,10,42,3,0.00,5.04
16,11,9,1,1.20,2.33
17,12,28,2,3.48,6.75
18,12,44,1,2.16,4.19
19,13,6,2,6.40,4.42
20,13,7,2,5.12,3.53
21,13,47,2,6.72,4.64
22,14,35,3,5.22,10.13
23,14,5,1,1.05,2.04
24,14,48,2,3.72,7.22
25,15,4,1,1.26,2.44
26,15,11,1,1.44,2.79
27,16,39,5,0.00,27.60
28,16,40,1,0.00,1.08
29,17,15,3,23.10,18.41
30,17,15,2,15.40,12.28
31,17,47,1,2.94,2.34
32,18,2,1,2.66,2.12
33,18,11,2,6.72,5.36
34,18,9,2,5.60,4.46
35,19,12,5,0.00,26.70
36,19,48,2,0.00,7.44
37,19,46,1,0.00,2.28
38,19,4,1,0.00,2.52
39,19,36,1,0.00,4.08
40,20,29,2,8.32,5.74
41,21,30,1,4.56,2.01
42,21,37,1,6.96,3.06
43,21,39,3,33.12,14.57
44,21,6,2,9.60,4.22
45,22,44,3,15.12,12.05
46,22,8,4,10.64,8.48
47,23,48,1,4.34,3.46
48,23,48,3,13.02,10.38
49,23,12,2,12.46,9.93
50,23,35,1,4.06,3.24
51,23,33,1,3.36,2.68
52,24,23,3,4.95,9.60
53,24,7,1,0.96,1.86
54,25,35,5,0.00,17.40
55,25,25,2,0.00,6.60
56,26,12,1,6.23,4.97
57,27,40,3,3.78,3.01
58,27,11,1,3.36,2.68
59,28,7,2,1.92,3.72
60,29,22,3,0.00,17.10
61,29,29,5,0.00,15.60
62,30,38,3,0.00,15.30
63,30,43,3,0.00,9.36
64,30,43,4,0.00,12.48
65,31,28,2,0.00,6.96
66,31,20,2,0.00,9.36
67,32,28,1,1.74,3.38
68,32,34,4,4.32,8.38
69,33,38,3,0.00,15.30
70,34,35,5,0.00,17.40
71,35,35,1,0.00,3.48
72,36,23,2,3.30,6.40
73,37,42,1,0.84,1.63
74,37,40,2,1.08,2.10
75,38,2,3,7.98,6.36
76,38,48,3,13.02,10.38
77,39,9,4,4.80,9.31
78,40,20,2,10.92,8.70
79,40,33,2,6.72,5.36
80,40,28,1,4.06,3.24
81,40,34,3,7.56,6.03
82,41,6,2,2.40,4.66
83,41,18,2,9.00,17.46
84,42,10,2,0.00,5.40
85,43,9,4,4.80,9.31
86,43,12,3,8.01,15.54
87,44,1,1,3.84,1.69
88,45,18,1,0.00,9.00
89,45,29,1,0.00,3.12
90,45,18,4,0.00,36.00
91,46,2,2,2.28,4.42
92,47,27,2,11.52,5.07
93,48,3,1,0.87,1.69
94,49,11,5,16.80,13.39
95,50,29,3,4.68,9.08
96,51,35,1,1.74,3.38
97,52,40,5,10.80,4.75
98,52,36,3,24.48,10.77
99,53,44,1,2.16,4.19
100,53,7,3,2.88,5.59
101,53,45,2,3.48,6.75
102,53,9,2,2.40,4.66
103,54,19,1,4.55,3.63
104,54,7,2,4.48,3.57
105,55,14,3,14.28,11.38
106,56,48,1,4.34,3.46
107,57,45,4,6.96,13.50
108,57,36,4,8.16,15.83
109,57,14,1,2.04,3.96
110,58,40,1,1.44,0.99
111,59,19,3,23.40,10.30
112,59,37,2,13.92,6.12
113,60,40,3,0.00,3.24
114,60,3,2,0.00,3.48
115,61,10,3,0.00,8.10
116,61,47,1,0.00,2.52
117,61,40,2,0.00,2.16
118,62,21,2,2.88,5.59
119,62,1,1,0.96,1.86
120,62,43,2,3.12,6.05
121,62,5,2,2.10,4.07
122,62,35,2,3.48,6.75
123,63,46,3,3.42,6.63
124,63,24,2,5.28,10.24
125,63,3,4,3.48,6.75
126,63,40,2,1.08,2.10
127,64,26,5,0.00,18.60
128,64,4,1,0.00,2.52
129,65,28,2,0.00,6.96
130,65,23,2,0.00,6.60
131,66,26,3,13.02,10.38
132,66,12,2,12.46,9.93
133,66,19,5,22.75,18.13
134,67,27,2,0.00,5.76
135,68,40,2,2.52,2.01
136,68,24,3,18.48,14.73
137,68,27,2,6.72,5.36
138,69,31,2,0.00,5.40
139,69,27,2,0.00,5.76
140,70,8,3,13.68,6.02
141,70,40,2,4.32,1.90
142,70,30,4,18.24,8.03
143,70,12,4,42.72,18.80
144,70,42,1,3.36,1.48
145,71,34,2,5.04,4.02
146,71,7,2,4.48,3.57
147,71,31,2,6.30,5.02
148,71,9,3,8.40,6.70
149,72,16,2,0.00,14.40
150,72,16,2,0.00,14.40
151,72,45,4,0.00,13.92
152,73,33,4,13.44,10.71
153,74,19,1,1.95,3.78
154,75,12,3,18.69,14.90
155,75,25,2,7.70,6.14
156,75,28,2,8.12,6.47
157,76,44,1,8.64,3.80
158,77,24,1,2.64,5.12
159,78,7,1,2.24,1.79
160,78,10,3,9.45,7.53
161,79,32,2,7.20,8.21
162,79,11,5,12.00,13.68
163,80,8,1,0.00,2.28
164,81,37,1,0.00,3.48
165,82,27,2,2.88,5.59
166,82,19,1,1.95,3.78
167,83,1,1,2.24,1.79
168,83,17,5,33.25,26.50
169,84,43,3,4.68,9.08
170,84,45,2,3.48,6.75
171,84,11,1,1.44,2.79
172,84,11,4,5.76,11.17
173,85,22,3,0.00,17.10
174,85,1,4,0.00,7.68
175,85,7,1,0.00,1.92
176,86,46,5,0.00,11.40
177,86,8,2,0.00,4.56
178,87,14,1,0.00,4.08
179,88,37,3,0.00,10.44
180,89,5,2,0.00,4.20
181,89,13,2,0.00,9.00
182,90,33,2,11.52,5.07
183,90,29,3,18.72,8.24
184,91,7,2,4.48,3.57
185,92,35,2,0.00,6.96
186,93,42,2,0.00,3.36
187,93,2,3,0.00,6.84
188,94,1,1,0.96,1.86
189,94,42,1,0.84,1.63
190,95,31,2,0.00,5.40
191,96,36,1,2.04,3.96
192,97,29,2,7.28,5.80
193,98,14,2,9.52,7.59
194,98,34,2,5.04,4.02
195,99,15,1,0.00,6.60
196,99,40,2,0.00,2.16
197,99,36,1,0.00,4.08
198,99,9,3,0.00,7.20
199,100,41,2,1.50,2.91
200,100,22,1,2.85,5.53
201,101,31,2,10.80,4.75
202,101,33,3,17.28,7.60
203,101,40,3,6.48,2.85
204,101,33,2,11.52,5.07
205,101,9,2,9.60,4.22
206,102,36,2,10.88,7.51
207,102,37,3,13.92,9.60
208,103,22,1,11.40,5.02
209,103,42,1,3.36,1.48
210,103,31,2,10.80,4.75
211,103,10,3,16.20,7.13
212,104,27,2,2.88,5.59
213,105,44,3,0.00,12.96
214,105,1,1,0.00,1.92
215,106,29,2,0.00,6.24
216,106,38,4,0.00,20.40
217,106,33,3,0.00,8.64
218,106,3,3,0.00,5.22
219,107,7,2,7.68,3.38
220,108,4,1,0.00,2.52
221,108,34,1,0.00,2.16
222,108,35,1,0.00,3.48
223,108,31,4,0.00,10.80
224,108,20,2,0.00,9.36
225,109,33,3,10.08,8.04
226,109,7,3,6.72,5.36
227,109,3,2,4.06,3.24
228,110,4,3,0.00,7.56
229,110,41,3,0.00,4.50
230,111,17,2,5.70,11.06
231,112,31,1,5.40,2.38
232,112,42,1,3.36,1.48
233,113,29,2,0.00,6.24
234,113,39,2,0.00,11.04
235,114,46,1,0.00,2.28
236,115,14,4,8.16,15.83
237,116,30,5,9.50,10.83
238,116,29,2,5.20,5.93
239,116,25,1,2.75,3.13
240,117,31,3,9.45,7.53
241,117,10,1,3.15,2.51
242,118,27,1,1.44,2.79
243,119,16,3,10.80,20.95
244,119,32,2,4.32,8.38
245,119,40,2,1.08,2.10
246,120,34,2,3.60,4.10
247,120,46,1,1.90,2.17
248,120,1,2,3.20,3.65
249,121,40,1,1.26,1.00
250,121,41,2,3.50,2.79
251,122,22,3,34.20,15.05
252,122,25,2,13.20,5.81
253,123,41,1,1.75,1.40
254,124,48,3,22.32,9.82
255,125,29,2,3.12,6.05
256,125,13,2,4.50,8.73
257,126,21,4,0.00,11.52
258,126,20,4,0.00,18.72
259,127,34,2,8.64,3.80
260,127,42,4,13.44,5.91
261,127,11,1,5.76,2.53
262,127,8,2,9.12,4.01
263,128,32,2,4.32,8.38
264,128,29,5,7.80,15.13
265,129,7,3,0.00,5.76
266,130,1,2,1.92,3.72
267,130,29,2,3.12,6.05
268,130,27,4,5.76,11.17
269,131,3,2,6.96,3.06
270,132,40,3,1.62,3.14
271,133,40,2,1.80,2.05
272,133,21,2,4.80,5.47
273,134,28,2,0.00,6.96
274,135,14,2,4.08,7.92
275,135,9,1,1.20,2.33
276,135,18,3,13.50,26.19
277,136,4,3,3.78,7.33
278,136,46,1,1.14,2.21
279,137,41,2,0.00,3.00
280,138,5,2,0.00,4.20
281,139,7,4,8.96,7.14
282,140,24,2,5.28,10.24
283,140,42,1,0.84,1.63
284,141,39,1,0.00,5.52
285,141,39,4,0.00,22.08
286,141,9,3,0.00,7.20
287,141,31,2,0.00,5.40
288,142,25,3,0.00,9.90
289,143,30,3,0.00,6.84
290,144,46,2,9.12,4.01
291,144,5,1,4.20,1.85
292,144,10,2,10.80,4.75
293,145,30,5,0.00,11.40
294,146,10,1,5.40,2.38
295,146,35,2,13.92,6.12
296,146,41,3,9.00,3.96
297,146,9,5,24.00,10.56
298,147,3,1,0.00,1.74
299,147,17,1,0.00,5.70
300,148,23,1,6.60,2.90
301,148,23,1,6.60,2.90
302,149,13,2,0.00,9.00
303,150,32,5,43.20,19.01
304,150,2,1,4.56,2.01
305,150,30,3,13.68,6.02
306,150,40,3,6.48,2.85
307,151,9,4,11.20,8.93
308,152,40,2,0.00,2.16
309,152,46,1,0.00,2.28
310,153,36,4,32.64,14.36
311,154,42,1,0.84,1.63
312,154,23,2,3.30,6.40
313,155,33,1,0.00,2.88
314,155,48,2,0.00,7.44
315,156,46,1,0.00,2.28
316,157,35,3,8.70,9.92
317,158,3,3,2.61,5.06
318,159,4,1,3.36,2.32
319,160,44,2,0.00,8.64
320,160,19,2,0.00,7.80
321,160,25,4,0.00,13.20
322,161,13,4,0.00,18.00
323,161,30,3,0.00,6.84
324,162,41,2,1.50,2.91
325,163,18,1,10.50,8.37
326,164,21,2,4.80,5.47
327,164,40,3,2.70,3.08
328,165,42,1,0.00,1.68
329,165,20,3,0.00,14.04
330,166,45,3,12.18,9.71
331,167,48,3,0.00,11.16
332,167,6,4,0.00,9.60
333,167,43,2,0.00,6.24
334,168,47,2,0.00,5.04
335,169,45,3,5.22,10.13
336,169,29,3,4.68,9.08
337,170,9,2,2.40,4.66
338,171,35,3,5.22,10.13
339,171,16,3,10.80,20.95
340,171,13,2,4.50,8.73
341,172,9,1,2.80,2.23
342,173,39,1,6.44,5.13
343,173,23,2,7.70,6.14
344,174,7,2,7.68,3.38
345,174,42,1,3.36,1.48
346,175,35,2,3.48,6.75
347,176,15,2,6.60,12.80
348,176,10,5,6.75,13.09
349,177,2,2,5.32,4.24
350,178,13,2,0.00,9.00
351,179,40,2,1.08,2.10
352,180,26,1,3.10,3.53
353,180,27,2,4.80,5.47
354,180,10,3,6.75,7.69
355,180,20,1,3.90,4.45
356,181,42,1,1.40,1.60
357,182,12,2,5.34,10.36
358,182,5,3,3.15,6.11
359,182,2,3,3.42,6.63
360,182,41,2,1.50,2.91
361,182,27,2,2.88,5.59
