res_ID,cus_ID,br_ID,booking_date,reservation_date,res_status
1,375,2,2018-12-31,2019-01-01,Completed
2,3308,3,2018-12-18,2019-01-01,Completed
3,4683,3,2018-12-25,2019-01-01,Completed
4,3915,3,2018-12-25,2019-01-01,Completed
5,5749,4,2018-12-31,2019-01-01,Completed
6,4827,5,2018-12-29,2019-01-01,Completed
7,844,6,2018-12-29,2019-01-01,Confirmed
8,5892,6,2019-01-01,2019-01-01,Completed
9,4916,7,2018-12-31,2019-01-01,Completed
10,4941,7,2018-12-31,2019-01-01,Completed
11,4952,7,2018-12-27,2019-01-01,Completed
12,4923,8,2018-12-31,2019-01-01,Completed
13,4849,8,2018-12-18,2019-01-01,Completed
14,5582,10,2018-12-29,2019-01-01,Completed
15,3143,10,2018-12-31,2019-01-01,Completed
16,1163,11,2018-12-31,2019-01-01,Completed
17,6213,11,2019-01-01,2019-01-01,No-Show
18,1452,11,2018-12-30,2019-01-01,Completed
19,3029,1,2018-12-30,2019-01-02,Confirmed
20,2730,1,2018-12-19,2019-01-02,Completed
21,1021,1,2018-12-19,2019-01-02,Completed
22,5282,1,2018-12-26,2019-01-02,Completed
23,3773,2,2019-01-02,2019-01-02,Completed
24,1698,2,2019-01-02,2019-01-02,Completed
25,4913,2,2019-01-02,2019-01-02,Completed
26,5745,2,2019-01-02,2019-01-02,Completed
27,4688,2,2019-01-01,2019-01-02,Completed
28,5396,2,2019-01-01,2019-01-02,Completed
29,5587,3,2018-12-23,2019-01-02,Completed
30,4559,3,2018-12-31,2019-01-02,Completed
31,4139,4,2019-01-01,2019-01-02,Completed
32,2718,4,2018-12-31,2019-01-02,Completed
33,491,5,2019-01-01,2019-01-02,Completed
34,4617,5,2018-12-19,2019-01-02,Completed
35,617,6,2019-01-02,2019-01-02,Completed
36,5739,6,2018-12-28,2019-01-02,Completed
37,1417,6,2018-12-31,2019-01-02,Completed
38,5882,6,2019-01-02,2019-01-02,Completed
39,2273,6,2019-01-01,2019-01-02,Completed
40,2304,6,2019-01-02,2019-01-02,Completed
41,2367,7,2018-12-19,2019-01-02,Completed
42,4404,7,2018-12-26,2019-01-02,Completed
43,2535,8,2018-12-28,2019-01-02,Completed
44,4054,8,2018-12-28,2019-01-02,Completed
45,1520,9,2019-01-02,2019-01-02,Completed
46,2065,9,2019-01-02,2019-01-02,Completed
47,5343,10,2018-12-19,2019-01-02,Completed
48,1842,11,2018-12-23,2019-01-02,Completed
49,2843,11,2018-12-30,2019-01-02,Completed
50,3883,11,2019-01-02,2019-01-02,Completed
51,2758,12,2019-01-02,2019-01-02,Completed
52,1803,12,2019-01-01,2019-01-02,Cancelled
53,2756,1,2019-01-02,2019-01-03,Completed
54,1043,1,2019-01-02,2019-01-03,Completed
55,5819,1,2018-12-29,2019-01-03,No-Show
56,456,1,2019-01-01,2019-01-03,Completed
57,2124,1,2018-12-27,2019-01-03,Completed
58,7,1,2019-01-03,2019-01-03,Completed
59,323,1,2018-12-29,2019-01-03,Completed
60,705,1,2019-01-02,2019-01-03,Completed
61,5762,2,2018-12-20,2019-01-03,Completed
62,321,2,2018-12-31,2019-01-03,No-Show
63,2690,2,2019-01-02,2019-01-03,Completed
64,6047,3,2018-12-24,2019-01-03,Completed
65,1377,3,2019-01-01,2019-01-03,Completed
66,4881,3,2019-01-02,2019-01-03,Completed
67,2977,3,2018-12-24,2019-01-03,Completed
68,3881,4,2019-01-03,2019-01-03,Completed
69,4806,5,2018-12-31,2019-01-03,Completed
70,2296,5,2019-01-01,2019-01-03,Completed
71,3685,6,2019-01-01,2019-01-03,Completed
72,3499,7,2018-12-27,2019-01-03,Completed
73,2331,7,2018-12-29,2019-01-03,Completed
74,3190,7,2019-01-02,2019-01-03,Completed
75,2811,7,2018-12-29,2019-01-03,Completed
76,4570,7,2019-01-02,2019-01-03,Completed
77,645,8,2019-01-03,2019-01-03,Completed
78,3431,9,2019-01-01,2019-01-03,Completed
79,1987,9,2019-01-02,2019-01-03,Completed
80,6183,9,2019-01-01,2019-01-03,Completed
81,3794,10,2019-01-02,2019-01-03,Completed
82,4007,10,2019-01-02,2019-01-03,Completed
83,1684,10,2019-01-03,2019-01-03,Cancelled
84,2973,10,2019-01-03,2019-01-03,Completed
85,3127,11,2018-12-27,2019-01-03,Cancelled
86,5559,11,2019-01-01,2019-01-03,Completed
87,1019,11,2019-01-01,2019-01-03,Completed
88,2381,11,2019-01-03,2019-01-03,Completed
89,3589,11,2019-01-03,2019-01-03,Completed
90,5951,12,2019-01-03,2019-01-03,Completed
91,5825,12,2019-01-01,2019-01-03,Completed
92,5280,12,2018-12-27,2019-01-03,Completed
93,2166,12,2019-01-01,2019-01-03,No-Show
94,2142,12,2018-12-29,2019-01-03,Completed
95,4506,12,2018-12-29,2019-01-03,Completed
96,1594,1,2019-01-03,2019-01-04,Completed
97,1186,1,2019-01-03,2019-01-04,Completed
98,979,1,2019-01-04,2019-01-04,Completed
99,5591,1,2019-01-03,2019-01-04,Completed
100,6127,1,2019-01-03,2019-01-04,Completed
101,430,2,2019-01-03,2019-01-04,Completed
102,2439,2,2018-12-28,2019-01-04,Completed
103,3040,2,2019-01-03,2019-01-04,Completed
104,2588,2,2019-01-04,2019-01-04,Completed
105,3404,3,2019-01-04,2019-01-04,Completed
106,5207,3,2018-12-30,2019-01-04,Cancelled
107,3965,3,2018-12-28,2019-01-04,Completed
108,6095,3,2018-12-30,2019-01-04,Completed
109,5943,3,2019-01-04,2019-01-04,Completed
110,5192,3,2019-01-04,2019-01-04,Completed
111,2717,3,2019-01-02,2019-01-04,Cancelled
112,2782,4,2019-01-04,2019-01-04,Completed
113,4919,5,2018-12-30,2019-01-04,Completed
114,6230,6,2019-01-04,2019-01-04,No-Show
115,3271,6,2019-01-03,2019-01-04,Completed
116,1321,7,2018-12-21,2019-01-04,Completed
117,4899,7,2018-12-25,2019-01-04,Completed
118,2867,7,2018-12-21,2019-01-04,Completed
119,5965,7,2019-01-04,2019-01-04,Completed
120,3317,7,2018-12-21,2019-01-04,Completed
121,5451,8,2019-01-04,2019-01-04,Completed
122,4930,8,2019-01-04,2019-01-04,Completed
123,3906,8,2019-01-01,2019-01-04,Completed
124,5776,8,2019-01-04,2019-01-04,Completed
125,4274,9,2018-12-28,2019-01-04,Completed
126,4108,9,2019-01-04,2019-01-04,Completed
127,369,10,2018-12-30,2019-01-04,Completed
128,2056,10,2019-01-02,2019-01-04,Completed
129,1544,11,2019-01-04,2019-01-04,Completed
130,1764,11,2019-01-03,2019-01-04,Completed
131,4090,11,2018-12-25,2019-01-04,Completed
132,2042,11,2019-01-03,2019-01-04,Completed
133,5951,12,2018-12-30,2019-01-04,Completed
134,2758,12,2019-01-03,2019-01-04,Completed
135,2274,1,2018-12-31,2019-01-05,Completed
136,19,1,2019-01-04,2019-01-05,Completed
137,4078,1,2018-12-26,2019-01-05,Completed
138,526,1,2019-01-03,2019-01-05,Completed
139,1355,2,2018-12-22,2019-01-05,Completed
140,3601,3,2019-01-02,2019-01-05,Completed
141,4500,3,2019-01-05,2019-01-05,Completed
142,5875,3,2019-01-05,2019-01-05,Completed
143,3111,3,2018-12-29,2019-01-05,Completed
144,4354,3,2019-01-04,2019-01-05,Completed
145,6060,3,2019-01-05,2019-01-05,Completed
146,3830,3,2018-12-31,2019-01-05,Completed
147,1334,3,2018-12-22,2019-01-05,Completed
148,5780,3,2018-12-31,2019-01-05,Completed
149,2324,3,2018-12-29,2019-01-05,Completed
150,2787,3,2019-01-03,2019-01-05,Completed
151,4814,3,2019-01-04,2019-01-05,Completed
152,5264,4,2018-12-31,2019-01-05,No-Show
153,4692,4,2019-01-04,2019-01-05,Completed
154,4297,5,2019-01-04,2019-01-05,Completed
155,3007,6,2018-12-26,2019-01-05,Completed
156,5211,6,2018-12-31,2019-01-05,Confirmed
157,5739,6,2018-12-31,2019-01-05,Completed
158,5211,6,2019-01-05,2019-01-05,Completed
159,4701,7,2019-01-05,2019-01-05,Completed
160,2655,7,2018-12-29,2019-01-05,Completed
161,3375,7,2019-01-05,2019-01-05,Completed
162,2425,7,2019-01-05,2019-01-05,Completed
163,2210,7,2019-01-04,2019-01-05,Cancelled
164,931,8,2019-01-04,2019-01-05,Completed
165,803,8,2018-12-29,2019-01-05,Completed
166,5442,9,2019-01-02,2019-01-05,Completed
167,5290,9,2019-01-04,2019-01-05,Completed
168,4088,9,2018-12-29,2019-01-05,Completed
169,3431,9,2019-01-05,2019-01-05,No-Show
170,1987,9,2019-01-04,2019-01-05,Completed
171,2120,10,2018-12-22,2019-01-05,Cancelled
172,2637,10,2019-01-04,2019-01-05,Completed
173,3126,10,2018-12-31,2019-01-05,Completed
174,785,10,2019-01-03,2019-01-05,Completed
175,369,11,2019-01-02,2019-01-05,No-Show
176,4947,11,2018-12-26,2019-01-05,Completed
177,4931,11,2019-01-04,2019-01-05,Completed
178,5551,11,2018-12-29,2019-01-05,Completed
179,2882,12,2019-01-04,2019-01-05,No-Show
180,2025,12,2018-12-26,2019-01-05,Completed
181,6200,12,2019-01-05,2019-01-05,Completed
182,4266,12,2018-12-26,2019-01-05,Completed
183,128,1,2018-12-30,2019-01-06,Completed
184,2462,1,2019-01-05,2019-01-06,Completed
185,4736,2,2019-01-01,2019-01-06,Completed
186,3323,2,2019-01-01,2019-01-06,Completed
187,4394,2,2019-01-06,2019-01-06,Completed
188,250,2,2019-01-06,2019-01-06,Completed
189,3929,2,2019-01-06,2019-01-06,Completed
190,3266,2,2018-12-23,2019-01-06,No-Show
191,981,2,2018-12-30,2019-01-06,Completed
192,1996,2,2019-01-05,2019-01-06,Completed
193,4701,2,2018-12-27,2019-01-06,Completed
194,5701,3,2019-01-05,2019-01-06,Completed
195,5565,3,2019-01-06,2019-01-06,Cancelled
196,2218,3,2019-01-04,2019-01-06,Completed
197,5525,3,2018-12-30,2019-01-06,Completed
