br_exp_ID,br_ID,util_name,billing_period,payment_amt,payment_date
4681,1,Rent,2024-01,15012.60,2024-01-28
4682,1,Electricity,2024-01,1999.88,2024-01-28
4683,1,Water,2024-01,277.01,2024-01-28
4684,1,Internet,2024-01,242.29,2024-01-28
4685,1,Maintenance,2024-01,1680.08,2024-01-28
4686,1,Waste Management,2024-01,332.65,2024-01-28
4687,2,Rent,2024-01,11534.78,2024-01-28
4688,2,Electricity,2024-01,1607.65,2024-01-28
4689,2,Water,2024-01,223.46,2024-01-28
4690,2,Internet,2024-01,242.29,2024-01-28
4691,2,Maintenance,2024-01,800.71,2024-01-28
4692,2,Waste Management,2024-01,261.32,2024-01-28
4693,3,Rent,2024-01,9564.01,2024-01-28
4694,3,Electricity,2024-01,1313.96,2024-01-28
4695,3,Water,2024-01,178.19,2024-01-28
4696,3,Internet,2024-01,242.29,2024-01-28
4697,3,Maintenance,2024-01,701.46,2024-01-28
4698,3,Waste Management,2024-01,217.14,2024-01-28
4699,4,Rent,2024-01,7767.14,2024-01-28
4700,4,Electricity,2024-01,1028.47,2024-01-28
4701,4,Water,2024-01,134.77,2024-01-28
4702,4,Internet,2024-01,242.29,2024-01-28
4703,4,Maintenance,2024-01,726.74,2024-01-28
4704,4,Waste Management,2024-01,179.84,2024-01-28
4705,5,Rent,2024-01,6028.23,2024-01-28
4706,5,Electricity,2024-01,794.62,2024-01-28
4707,5,Water,2024-01,101.60,2024-01-28
4708,5,Internet,2024-01,242.29,2024-01-28
4709,5,Maintenance,2024-01,542.98,2024-01-28
4710,5,Waste Management,2024-01,134.95,2024-01-28
4711,6,Rent,2024-01,7941.03,2024-01-28
4712,6,Electricity,2024-01,1069.84,2024-01-28
4713,6,Water,2024-01,143.86,2024-01-28
4714,6,Internet,2024-01,242.29,2024-01-28
4715,6,Maintenance,2024-01,780.85,2024-01-28
4716,6,Waste Management,2024-01,180.64,2024-01-28
4717,7,Rent,2024-01,6839.72,2024-01-28
4718,7,Electricity,2024-01,836.74,2024-01-28
4719,7,Water,2024-01,111.57,2024-01-28
4720,7,Internet,2024-01,242.29,2024-01-28
4721,7,Maintenance,2024-01,602.26,2024-01-28
4722,7,Waste Management,2024-01,145.91,2024-01-28
4723,8,Rent,2024-01,7477.32,2024-01-28
4724,8,Electricity,2024-01,999.05,2024-01-28
4725,8,Water,2024-01,139.59,2024-01-28
4726,8,Internet,2024-01,242.29,2024-01-28
4727,8,Maintenance,2024-01,768.72,2024-01-28
4728,8,Waste Management,2024-01,160.05,2024-01-28
4729,9,Rent,2024-01,5854.33,2024-01-28
4730,9,Electricity,2024-01,701.01,2024-01-28
4731,9,Water,2024-01,113.60,2024-01-28
4732,9,Internet,2024-01,242.29,2024-01-28
4733,9,Maintenance,2024-01,422.69,2024-01-28
4734,9,Waste Management,2024-01,133.89,2024-01-28
4735,10,Rent,2024-01,7245.46,2024-01-28
4736,10,Electricity,2024-01,916.65,2024-01-28
4737,10,Water,2024-01,129.06,2024-01-28
4738,10,Internet,2024-01,242.29,2024-01-28
4739,10,Maintenance,2024-01,576.09,2024-01-28
4740,10,Waste Management,2024-01,157.98,2024-01-28
4741,11,Rent,2024-01,6955.64,2024-01-28
4742,11,Electricity,2024-01,894.67,2024-01-28
4743,11,Water,2024-01,121.16,2024-01-28
4744,11,Internet,2024-01,242.29,2024-01-28
4745,11,Maintenance,2024-01,553.33,2024-01-28
4746,11,Waste Management,2024-01,158.77,2024-01-28
4747,12,Rent,2024-01,5622.48,2024-01-28
4748,12,Electricity,2024-01,725.20,2024-01-28
4749,12,Water,2024-01,107.51,2024-01-28
4750,12,Internet,2024-01,242.29,2024-01-28
4751,12,Maintenance,2024-01,539.45,2024-01-28
4752,12,Waste Management,2024-01,129.07,2024-01-28
4753,13,Rent,2024-01,3825.60,2024-01-28
4754,13,Electricity,2024-01,497.69,2024-01-28
4755,13,Water,2024-01,68.93,2024-01-28
4756,13,Internet,2024-01,242.29,2024-01-28
4757,13,Maintenance,2024-01,417.46,2024-01-28
4758,13,Waste Management,2024-01,87.28,2024-01-28
4759,14,Rent,2024-01,6260.08,2024-01-28
4760,14,Electricity,2024-01,812.34,2024-01-28
4761,14,Water,2024-01,101.04,2024-01-28
4762,14,Internet,2024-01,242.29,2024-01-28
4763,14,Maintenance,2024-01,653.81,2024-01-28
4764,14,Waste Management,2024-01,145.17,2024-01-28
4765,15,Rent,2024-01,5912.30,2024-01-28
4766,15,Electricity,2024-01,786.26,2024-01-28
4767,15,Water,2024-01,113.68,2024-01-28
