res_ID,cus_ID,br_ID,booking_date,reservation_date,res_status
73860,17159,1,2023-12-30,2024-01-01,Completed
73861,632,2,2023-12-30,2024-01-01,Completed
73862,23483,2,2023-12-27,2024-01-01,Completed
73863,14379,3,2023-12-31,2024-01-01,Completed
73864,25000,3,2023-12-31,2024-01-01,Completed
73865,22573,3,2023-12-27,2024-01-01,Completed
73866,17996,3,2023-12-31,2024-01-01,Completed
73867,22042,3,2024-01-01,2024-01-01,Completed
73868,6367,4,2023-12-27,2024-01-01,Completed
73869,5777,4,2023-12-25,2024-01-01,Completed
73870,22388,4,2023-12-29,2024-01-01,Completed
73871,1118,6,2024-01-01,2024-01-01,Completed
73872,8909,6,2023-12-22,2024-01-01,Completed
73873,23645,6,2024-01-01,2024-01-01,Completed
73874,23899,8,2023-12-27,2024-01-01,Completed
73875,8667,9,2023-12-31,2024-01-01,Completed
73876,10681,9,2023-12-31,2024-01-01,Completed
73877,8668,10,2023-12-29,2024-01-01,Completed
73878,11953,10,2023-12-27,2024-01-01,Completed
73879,20973,11,2023-12-31,2024-01-01,Completed
73880,20046,12,2024-01-01,2024-01-01,Completed
73881,19070,13,2023-12-27,2024-01-01,Completed
73882,25864,17,2023-12-31,2024-01-01,Cancelled
73883,21395,1,2023-12-28,2024-01-02,Completed
73884,5565,1,2023-12-19,2024-01-02,Completed
73885,6585,1,2023-12-31,2024-01-02,Completed
73886,9167,1,2023-12-28,2024-01-02,Completed
73887,10275,1,2023-12-30,2024-01-02,Completed
73888,8380,1,2023-12-23,2024-01-02,Completed
73889,12724,1,2023-12-19,2024-01-02,Completed
73890,18574,1,2024-01-02,2024-01-02,Completed
73891,21357,1,2024-01-02,2024-01-02,Completed
73892,16649,2,2023-12-28,2024-01-02,Completed
73893,22124,2,2023-12-31,2024-01-02,Completed
73894,25821,2,2023-12-30,2024-01-02,Completed
73895,15416,2,2024-01-01,2024-01-02,Completed
73896,3563,3,2024-01-01,2024-01-02,Completed
73897,12885,4,2023-12-28,2024-01-02,Completed
73898,23839,4,2023-12-30,2024-01-02,Completed
73899,11706,4,2023-12-23,2024-01-02,Completed
73900,18001,4,2023-12-28,2024-01-02,Completed
73901,13508,4,2023-12-28,2024-01-02,Completed
73902,22292,5,2023-12-30,2024-01-02,Completed
73903,24420,5,2023-12-31,2024-01-02,Cancelled
73904,25755,5,2024-01-02,2024-01-02,Completed
73905,18713,7,2023-12-28,2024-01-02,Completed
73906,19791,8,2023-12-30,2024-01-02,Completed
73907,6825,8,2024-01-01,2024-01-02,Completed
73908,25210,8,2024-01-01,2024-01-02,Cancelled
73909,12102,10,2024-01-02,2024-01-02,Cancelled
73910,18702,10,2024-01-02,2024-01-02,Completed
73911,10373,10,2023-12-30,2024-01-02,Completed
73912,6280,11,2024-01-02,2024-01-02,Completed
73913,21622,11,2023-12-30,2024-01-02,Confirmed
73914,13412,12,2024-01-02,2024-01-02,Completed
73915,17776,12,2023-12-30,2024-01-02,Completed
73916,25755,14,2024-01-01,2024-01-02,Completed
73917,25800,16,2024-01-02,2024-01-02,Completed
73918,25724,16,2023-12-28,2024-01-02,Completed
73919,25842,17,2023-12-31,2024-01-02,Cancelled
73920,25842,17,2023-12-31,2024-01-02,Completed
73921,20356,1,2023-12-27,2024-01-03,Completed
73922,11839,1,2023-12-29,2024-01-03,Completed
73923,25864,1,2023-12-31,2024-01-03,Completed
73924,16108,1,2023-12-24,2024-01-03,Completed
73925,13600,1,2023-12-29,2024-01-03,Completed
73926,17052,1,2023-12-29,2024-01-03,Completed
73927,17155,1,2023-12-27,2024-01-03,Completed
73928,12394,2,2023-12-29,2024-01-03,Confirmed
73929,17008,2,2024-01-03,2024-01-03,No-Show
73930,23494,2,2023-12-29,2024-01-03,Confirmed
73931,402,2,2024-01-02,2024-01-03,Completed
73932,9577,2,2024-01-02,2024-01-03,Completed
73933,10888,2,2023-12-31,2024-01-03,Cancelled
73934,23787,3,2024-01-03,2024-01-03,Completed
73935,4559,3,2024-01-02,2024-01-03,Cancelled
73936,11803,3,2024-01-01,2024-01-03,Completed
73937,9442,3,2024-01-02,2024-01-03,Completed
73938,17434,3,2023-12-20,2024-01-03,Completed
73939,2400,3,2023-12-29,2024-01-03,Completed
73940,24894,3,2023-12-31,2024-01-03,Completed
73941,19247,4,2023-12-20,2024-01-03,Completed
73942,8962,4,2024-01-01,2024-01-03,Completed
73943,14802,4,2023-12-31,2024-01-03,Completed
73944,682,5,2023-12-27,2024-01-03,Completed
73945,25800,6,2023-12-29,2024-01-03,Completed
73946,23080,6,2023-12-27,2024-01-03,Completed
73947,25473,6,2023-12-31,2024-01-03,Completed
73948,14478,6,2023-12-24,2024-01-03,Completed
73949,4607,6,2024-01-01,2024-01-03,Completed
73950,8166,6,2024-01-02,2024-01-03,Cancelled
73951,7025,7,2024-01-03,2024-01-03,Completed
73952,19770,7,2023-12-29,2024-01-03,Completed
73953,19482,7,2023-12-29,2024-01-03,Completed
73954,3823,8,2024-01-03,2024-01-03,Completed
73955,22157,8,2023-12-20,2024-01-03,Completed
73956,3109,8,2024-01-03,2024-01-03,Completed
73957,3949,8,2023-12-31,2024-01-03,Completed
73958,17867,9,2024-01-02,2024-01-03,No-Show
73959,20741,9,2023-12-29,2024-01-03,Completed
73960,25864,10,2024-01-02,2024-01-03,Completed
73961,9584,10,2024-01-03,2024-01-03,Completed
73962,7042,10,2024-01-01,2024-01-03,Completed
73963,23172,11,2023-12-31,2024-01-03,Completed
73964,3830,11,2023-12-20,2024-01-03,Completed
73965,22418,11,2023-12-31,2024-01-03,Completed
73966,4093,11,2024-01-02,2024-01-03,Confirmed
73967,18079,12,2024-01-02,2024-01-03,Completed
73968,20141,12,2024-01-01,2024-01-03,Completed
73969,25800,12,2024-01-03,2024-01-03,Completed
73970,5032,12,2024-01-03,2024-01-03,Completed
73971,1847,12,2023-12-29,2024-01-03,Completed
73972,24272,12,2023-12-27,2024-01-03,Cancelled
73973,20226,12,2024-01-03,2024-01-03,Completed
73974,14898,13,2024-01-02,2024-01-03,Completed
73975,24389,13,2023-12-31,2024-01-03,Completed
73976,16589,13,2023-12-29,2024-01-03,Completed
73977,25740,14,2023-12-27,2024-01-03,Completed
73978,8177,15,2024-01-02,2024-01-03,Completed
73979,25694,16,2024-01-03,2024-01-03,No-Show
73980,2527,16,2023-12-31,2024-01-03,Completed
73981,25800,16,2024-01-03,2024-01-03,Completed
73982,25800,16,2023-12-28,2024-01-03,Completed
73983,25663,17,2024-01-01,2024-01-03,Completed
73984,25842,17,2024-01-01,2024-01-03,Completed
73985,25866,1,2024-01-04,2024-01-04,Completed
73986,6645,1,2023-12-30,2024-01-04,Completed
73987,2490,1,2023-12-28,2024-01-04,Completed
73988,9206,1,2024-01-03,2024-01-04,Completed
73989,16785,1,2023-12-30,2024-01-04,Completed
73990,23492,2,2023-12-30,2024-01-04,Completed
73991,3507,2,2024-01-04,2024-01-04,Completed
73992,20877,2,2024-01-01,2024-01-04,Completed
73993,8133,2,2023-12-28,2024-01-04,Completed
73994,642,2,2024-01-02,2024-01-04,Completed
73995,4523,2,2023-12-30,2024-01-04,Completed
73996,4736,2,2024-01-03,2024-01-04,Completed
73997,817,2,2024-01-02,2024-01-04,Completed
73998,21860,2,2024-01-04,2024-01-04,Completed
73999,9090,2,2023-12-28,2024-01-04,Completed
74000,17334,2,2024-01-03,2024-01-04,Completed
74001,12789,3,2024-01-04,2024-01-04,Completed
74002,22676,3,2024-01-01,2024-01-04,Completed
74003,4458,3,2024-01-04,2024-01-04,Completed
74004,15003,3,2023-12-28,2024-01-04,Completed
74005,1972,3,2023-12-25,2024-01-04,Completed
74006,3940,3,2024-01-04,2024-01-04,Completed
74007,3903,4,2024-01-03,2024-01-04,Completed
74008,25799,4,2023-12-28,2024-01-04,No-Show
74009,25098,5,2024-01-04,2024-01-04,Cancelled
74010,19011,5,2023-12-25,2024-01-04,Completed
74011,603,6,2024-01-03,2024-01-04,Completed
74012,17185,6,2023-12-30,2024-01-04,Completed
74013,16834,6,2024-01-02,2024-01-04,Completed
74014,15302,6,2023-12-30,2024-01-04,Completed
74015,19452,6,2023-12-30,2024-01-04,Completed
74016,903,6,2023-12-25,2024-01-04,Cancelled
74017,18257,6,2024-01-02,2024-01-04,Completed
74018,22852,7,2024-01-01,2024-01-04,Cancelled
74019,15328,7,2024-01-02,2024-01-04,Completed
