br_exp_ID,br_ID,util_name,billing_period,payment_amount,payment_date
5905,1,Rent,2025-01,15462.98,2025-01-28
5906,1,Electricity,2025-01,1871.73,2025-01-28
5907,1,Water,2025-01,250.58,2025-01-28
5908,1,Internet,2025-01,249.56,2025-01-28
5909,1,Maintenance,2025-01,1171.18,2025-01-28
5910,1,Waste Management,2025-01,343.83,2025-01-28
5911,2,Rent,2025-01,11880.82,2025-01-28
5912,2,Electricity,2025-01,1418.35,2025-01-28
5913,2,Water,2025-01,229.90,2025-01-28
5914,2,Internet,2025-01,249.56,2025-01-28
5915,2,Maintenance,2025-01,1041.19,2025-01-28
5916,2,Waste Management,2025-01,256.71,2025-01-28
5917,3,Rent,2025-01,9850.93,2025-01-28
5918,3,Electricity,2025-01,1242.48,2025-01-28
5919,3,Water,2025-01,176.35,2025-01-28
5920,3,Internet,2025-01,249.56,2025-01-28
5921,3,Maintenance,2025-01,886.13,2025-01-28
5922,3,Waste Management,2025-01,222.38,2025-01-28
5923,4,Rent,2025-01,8000.15,2025-01-28
5924,4,Electricity,2025-01,1007.33,2025-01-28
5925,4,Water,2025-01,136.03,2025-01-28
5926,4,Internet,2025-01,249.56,2025-01-28
5927,4,Maintenance,2025-01,879.37,2025-01-28
5928,4,Waste Management,2025-01,172.21,2025-01-28
5929,5,Rent,2025-01,6209.07,2025-01-28
5930,5,Electricity,2025-01,831.59,2025-01-28
5931,5,Water,2025-01,104.42,2025-01-28
5932,5,Internet,2025-01,249.56,2025-01-28
5933,5,Maintenance,2025-01,518.08,2025-01-28
5934,5,Waste Management,2025-01,131.66,2025-01-28
5935,6,Rent,2025-01,8179.26,2025-01-28
5936,6,Electricity,2025-01,1128.60,2025-01-28
5937,6,Water,2025-01,156.55,2025-01-28
5938,6,Internet,2025-01,249.56,2025-01-28
5939,6,Maintenance,2025-01,676.90,2025-01-28
5940,6,Waste Management,2025-01,176.31,2025-01-28
5941,7,Rent,2025-01,7044.91,2025-01-28
5942,7,Electricity,2025-01,964.76,2025-01-28
5943,7,Water,2025-01,136.55,2025-01-28
5944,7,Internet,2025-01,249.56,2025-01-28
5945,7,Maintenance,2025-01,806.87,2025-01-28
5946,7,Waste Management,2025-01,154.69,2025-01-28
5947,8,Rent,2025-01,7701.64,2025-01-28
5948,8,Electricity,2025-01,924.58,2025-01-28
5949,8,Water,2025-01,138.80,2025-01-28
5950,8,Internet,2025-01,249.56,2025-01-28
5951,8,Maintenance,2025-01,727.50,2025-01-28
5952,8,Waste Management,2025-01,162.63,2025-01-28
5953,9,Rent,2025-01,6029.96,2025-01-28
5954,9,Electricity,2025-01,790.58,2025-01-28
5955,9,Water,2025-01,115.65,2025-01-28
5956,9,Internet,2025-01,249.56,2025-01-28
5957,9,Maintenance,2025-01,596.86,2025-01-28
5958,9,Waste Management,2025-01,131.86,2025-01-28
5959,10,Rent,2025-01,7462.83,2025-01-28
5960,10,Electricity,2025-01,942.24,2025-01-28
5961,10,Water,2025-01,125.78,2025-01-28
5962,10,Internet,2025-01,249.56,2025-01-28
5963,10,Maintenance,2025-01,803.63,2025-01-28
5964,10,Waste Management,2025-01,169.86,2025-01-28
5965,11,Rent,2025-01,7164.31,2025-01-28
5966,11,Electricity,2025-01,963.99,2025-01-28
5967,11,Water,2025-01,127.73,2025-01-28
5968,11,Internet,2025-01,249.56,2025-01-28
5969,11,Maintenance,2025-01,568.94,2025-01-28
5970,11,Waste Management,2025-01,159.00,2025-01-28
5971,12,Rent,2025-01,5791.15,2025-01-28
5972,12,Electricity,2025-01,701.57,2025-01-28
5973,12,Water,2025-01,111.31,2025-01-28
5974,12,Internet,2025-01,249.56,2025-01-28
5975,12,Maintenance,2025-01,601.72,2025-01-28
5976,12,Waste Management,2025-01,122.79,2025-01-28
5977,13,Rent,2025-01,3940.37,2025-01-28
5978,13,Electricity,2025-01,549.85,2025-01-28
5979,13,Water,2025-01,69.66,2025-01-28
5980,13,Internet,2025-01,249.56,2025-01-28
5981,13,Maintenance,2025-01,439.97,2025-01-28
