order_det_ID,order_ID,product_ID,order_qty,order_discount,order_tax
656012,296793,5,2,2.10,4.07
656013,296793,4,1,1.62,3.14
656014,296794,24,3,7.92,15.36
656015,296794,55,1,2.64,5.12
656016,296794,7,3,2.88,5.59
656017,296794,45,1,1.74,3.38
656018,296794,18,1,4.50,8.73
656019,296795,1,2,3.20,3.65
656020,296795,27,4,9.60,10.94
656021,296795,22,1,5.40,6.16
656022,296796,1,5,0.00,9.60
656023,296796,43,3,0.00,10.44
656024,296796,30,3,0.00,6.84
656025,296797,51,1,0.00,3.30
656026,296797,42,1,0.00,1.68
656027,296797,54,2,0.00,2.64
656028,296798,23,1,0.00,3.30
656029,296798,25,1,0.00,3.72
656030,296798,5,3,0.00,6.30
656031,296799,39,2,31.28,9.16
656032,296799,7,1,5.44,1.59
656033,296799,53,2,13.60,3.98
656034,296800,27,2,11.52,5.07
656035,296800,34,2,8.64,3.80
656036,296800,3,1,3.48,1.53
656037,296800,53,3,14.40,6.34
656038,296801,35,3,12.18,9.71
656039,296802,7,1,2.24,1.79
656040,296803,3,1,1.45,1.65
656041,296803,1,2,3.20,3.65
656042,296803,30,1,1.90,2.17
656043,296804,55,5,52.80,23.23
656044,296804,41,2,6.00,2.64
656045,296804,41,4,12.00,5.28
656046,296805,11,3,0.00,8.64
656047,296805,40,3,0.00,3.24
656048,296806,29,1,0.00,3.12
656049,296806,25,3,0.00,11.16
656050,296806,34,3,0.00,6.48
656051,296806,5,1,0.00,2.10
656052,296807,28,3,8.70,9.92
656053,296807,12,3,14.70,16.76
656054,296807,39,3,13.80,15.73
656055,296808,32,1,0.00,4.92
656056,296809,10,2,0.00,5.40
656057,296809,5,4,0.00,8.40
656058,296809,41,2,0.00,3.00
656059,296809,30,3,0.00,6.84
656060,296810,40,4,5.04,4.02
656061,296811,31,1,1.50,2.91
656062,296811,5,3,3.15,6.11
656063,296812,51,2,7.70,6.14
656064,296812,55,2,12.32,9.82
656065,296812,53,2,5.60,4.46
656066,296813,7,1,0.96,1.86
656067,296813,3,3,2.61,5.06
656068,296813,14,4,8.16,15.83
