order_ID,cus_ID,br_ID,st_ID,order_date,order_status
296793,2483,1,2,2025-01-01,Completed
296794,10579,1,25,2025-01-01,Completed
296795,13614,1,23,2025-01-01,Completed
296796,27435,1,26,2025-01-01,Completed
296797,26082,1,6,2025-01-01,Completed
296798,18163,1,1,2025-01-01,Completed
296799,16429,1,22,2025-01-01,Completed
296800,27235,1,22,2025-01-01,Completed
296801,22123,1,20,2025-01-01,Completed
296802,4617,1,22,2025-01-01,Completed
296803,6530,1,22,2025-01-01,Completed
296804,11071,1,10,2025-01-01,Completed
296805,32073,1,1,2025-01-01,Completed
296806,4548,1,23,2025-01-01,Completed
296807,22350,1,6,2025-01-01,Completed
296808,14050,1,22,2025-01-01,Completed
296809,183,1,20,2025-01-01,Completed
296810,19615,1,25,2025-01-01,Completed
296811,116,1,6,2025-01-01,Completed
296812,9448,1,2,2025-01-01,Completed
296813,25150,1,6,2025-01-01,Completed
296814,6928,1,6,2025-01-01,Completed
296815,7769,2,49,2025-01-01,Completed
296816,23954,2,44,2025-01-01,Completed
296817,17001,2,54,2025-01-01,Completed
296818,6180,2,56,2025-01-01,Completed
296819,26837,2,50,2025-01-01,Completed
296820,6633,2,35,2025-01-01,Completed
296821,9833,2,35,2025-01-01,Completed
296822,28441,2,49,2025-01-01,Completed
296823,24248,2,50,2025-01-01,Completed
296824,17889,2,55,2025-01-01,Completed
296825,18197,2,45,2025-01-01,Completed
296826,8488,2,54,2025-01-01,Completed
296827,21999,2,50,2025-01-01,Completed
296828,11845,2,51,2025-01-01,Completed
296829,5736,2,51,2025-01-01,Completed
296830,220,2,49,2025-01-01,Completed
296831,31424,2,35,2025-01-01,Completed
296832,228,2,47,2025-01-01,Completed
296833,27205,2,44,2025-01-01,Completed
296834,29904,2,35,2025-01-01,Cancelled
296835,14021,2,56,2025-01-01,Completed
296836,11274,2,54,2025-01-01,Completed
296837,17875,2,47,2025-01-01,Completed
296838,11646,2,56,2025-01-01,Completed
296839,19724,2,35,2025-01-01,Completed
296840,30495,2,35,2025-01-01,Completed
296841,30156,2,50,2025-01-01,Completed
296842,31722,2,28,2025-01-01,Completed
296843,22383,2,28,2025-01-01,Completed
296844,7097,3,81,2025-01-01,Completed
296845,23706,3,79,2025-01-01,Completed
296846,30309,3,60,2025-01-01,Completed
296847,7909,3,60,2025-01-01,Completed
296848,15919,3,66,2025-01-01,Completed
296849,16577,3,60,2025-01-01,Completed
296850,24699,3,60,2025-01-01,Completed
296851,19573,3,66,2025-01-01,Completed
296852,8428,3,60,2025-01-01,Completed
296853,30901,3,74,2025-01-01,Completed
296854,30257,3,65,2025-01-01,Completed
296855,23375,3,76,2025-01-01,Completed
296856,10169,3,247,2025-01-01,Completed
296857,29261,4,99,2025-01-01,Completed
296858,23923,4,82,2025-01-01,Processing
296859,12360,4,82,2025-01-01,Completed
296860,15133,4,84,2025-01-01,Completed
296861,26151,4,82,2025-01-01,Completed
296862,16672,4,99,2025-01-01,Completed
296863,20529,4,99,2025-01-01,Completed
296864,15572,5,100,2025-01-01,Completed
296865,5282,5,109,2025-01-01,Completed
296866,14751,5,111,2025-01-01,Completed
296867,27160,5,112,2025-01-01,Completed
296868,21381,5,109,2025-01-01,Completed
296869,16464,5,112,2025-01-01,Completed
296870,21381,5,111,2025-01-01,Completed
296871,9901,5,112,2025-01-01,Completed
296872,30564,5,112,2025-01-01,Completed
296873,14956,6,120,2025-01-01,Completed
296874,2327,6,120,2025-01-01,Completed
296875,13438,6,120,2025-01-01,Completed
296876,27880,6,121,2025-01-01,Completed
296877,9106,6,134,2025-01-01,Completed
296878,4865,6,131,2025-01-01,Completed
296879,8794,6,130,2025-01-01,Completed
296880,16217,6,130,2025-01-01,Completed
296881,16505,6,131,2025-01-01,Completed
296882,18553,6,130,2025-01-01,Completed
296883,22910,6,131,2025-01-01,Completed
296884,31173,6,120,2025-01-01,Completed
296885,31900,6,121,2025-01-01,Completed
296886,24715,6,131,2025-01-01,Completed
296887,5812,6,115,2025-01-01,Completed
296888,31316,7,140,2025-01-01,Completed
296889,24752,7,136,2025-01-01,Completed
296890,18053,7,152,2025-01-01,Completed
296891,27765,7,140,2025-01-01,Completed
296892,9506,7,140,2025-01-01,Completed
296893,31073,7,149,2025-01-01,Completed
296894,14702,7,147,2025-01-01,Completed
296895,17311,7,147,2025-01-01,Completed
296896,3405,7,149,2025-01-01,Completed
296897,23222,7,136,2025-01-01,Completed
296898,3529,8,158,2025-01-01,Completed
296899,27974,8,169,2025-01-01,Completed
296900,9359,8,165,2025-01-01,Completed
296901,28680,8,165,2025-01-01,Completed
296902,4816,8,169,2025-01-01,Completed
296903,27649,8,156,2025-01-01,Completed
296904,22717,8,169,2025-01-01,Completed
296905,29503,8,158,2025-01-01,Completed
296906,6060,9,180,2025-01-01,Completed
296907,27912,9,180,2025-01-01,Completed
296908,24656,9,177,2025-01-01,Completed
296909,19052,9,176,2025-01-01,Completed
296910,27563,9,190,2025-01-01,Completed
296911,20386,10,252,2025-01-01,Completed
296912,18355,10,192,2025-01-01,Completed
296913,14327,10,199,2025-01-01,Completed
296914,22024,10,199,2025-01-01,Completed
296915,26676,10,252,2025-01-01,Completed
296916,28126,10,191,2025-01-01,Completed
296917,15434,10,192,2025-01-01,Completed
296918,4112,10,252,2025-01-01,Cancelled
296919,25054,10,252,2025-01-01,Completed
296920,31649,10,202,2025-01-01,Completed
296921,13034,10,197,2025-01-01,Completed
296922,8022,10,200,2025-01-01,Completed
296923,3784,10,197,2025-01-01,Completed
296924,24787,10,202,2025-01-01,Completed
296925,8713,10,202,2025-01-01,Completed
296926,31712,10,192,2025-01-01,Completed
296927,28691,10,206,2025-01-01,Completed
296928,26455,10,206,2025-01-01,Completed
296929,29732,10,200,2025-01-01,Completed
296930,23526,11,218,2025-01-01,Completed
296931,27255,11,218,2025-01-01,Completed
296932,14194,11,218,2025-01-01,Completed
296933,19085,11,210,2025-01-01,Completed
296934,25133,11,210,2025-01-01,Completed
296935,6778,11,210,2025-01-01,Completed
296936,27985,11,209,2025-01-01,Completed
296937,22870,11,221,2025-01-01,Completed
296938,7696,11,207,2025-01-01,Completed
296939,26785,11,221,2025-01-01,Completed
296940,13502,11,218,2025-01-01,Completed
296941,3373,11,221,2025-01-01,Completed
296942,7764,12,236,2025-01-01,Completed
296943,24130,12,227,2025-01-01,Completed
296944,22381,12,236,2025-01-01,Completed
296945,24142,12,225,2025-01-01,Completed
296946,7107,12,232,2025-01-01,Completed
296947,3603,12,230,2025-01-01,Completed
296948,27912,12,232,2025-01-01,Completed
296949,6343,12,230,2025-01-01,Completed
296950,21727,12,227,2025-01-01,Completed
296951,26323,12,236,2025-01-01,Completed
296952,23233,12,225,2025-01-01,Completed
296953,8290,12,225,2025-01-01,Completed
296954,18126,12,236,2025-01-01,Completed
296955,20085,12,225,2025-01-01,Completed
296956,29247,12,236,2025-01-01,Completed
296957,30538,13,244,2025-01-01,Completed
296958,18932,13,244,2025-01-01,Completed
296959,21598,13,238,2025-01-01,Completed
296960,17264,13,242,2025-01-01,Completed
296961,22085,13,238,2025-01-01,Completed
296962,22709,13,237,2025-01-01,Completed
296963,29050,14,253,2025-01-01,Completed
296964,30025,14,254,2025-01-01,Completed
296965,27765,14,260,2025-01-01,Completed
296966,9624,14,260,2025-01-01,Completed
296967,30432,14,259,2025-01-01,Completed
296968,23172,14,253,2025-01-01,Completed
296969,30025,14,266,2025-01-01,Completed
296970,22779,14,253,2025-01-01,Completed
296971,417,15,280,2025-01-01,Completed
296972,29314,15,275,2025-01-01,Completed
296973,30947,15,277,2025-01-01,Completed
296974,14519,15,275,2025-01-01,Completed
296975,29711,15,280,2025-01-01,Completed
296976,16508,15,277,2025-01-01,Completed
296977,17584,15,276,2025-01-01,Completed
296978,26910,15,272,2025-01-01,Completed
296979,31464,15,280,2025-01-01,Completed
296980,31723,15,277,2025-01-01,Completed
296981,27766,15,280,2025-01-01,Completed
296982,27474,15,275,2025-01-01,Completed
296983,32170,16,287,2025-01-01,Completed
296984,28133,16,283,2025-01-01,Cancelled
296985,31543,16,290,2025-01-01,Completed
296986,10732,16,289,2025-01-01,Completed
296987,26526,16,283,2025-01-01,Completed
296988,25117,16,290,2025-01-01,Completed
296989,30028,16,283,2025-01-01,Completed
296990,29751,16,287,2025-01-01,Completed
296991,22896,16,287,2025-01-01,Completed
296992,29210,16,293,2025-01-01,Completed
296993,28401,16,283,2025-01-01,Completed
296994,25198,16,290,2025-01-01,Completed
296995,29362,16,296,2025-01-01,Completed
296996,26234,16,283,2025-01-01,Completed
296997,29795,16,290,2025-01-01,Completed
296998,29251,16,296,2025-01-01,Completed
296999,29126,16,289,2025-01-01,Completed
297000,29635,17,304,2025-01-01,Completed
297001,28840,17,306,2025-01-01,Completed
297002,14896,17,304,2025-01-01,Completed
297003,27067,17,303,2025-01-01,Completed
297004,30372,17,312,2025-01-01,Completed
297005,23219,17,311,2025-01-01,Completed
297006,28322,17,310,2025-01-01,Completed
297007,28954,1,14,2025-01-02,Completed
297008,13526,1,14,2025-01-02,Completed
297009,5256,1,25,2025-01-02,Completed
297010,6659,1,22,2025-01-02,Completed
297011,444,1,20,2025-01-02,Completed
297012,25385,1,10,2025-01-02,Completed
297013,15692,1,25,2025-01-02,Completed
297014,29634,1,6,2025-01-02,Completed
297015,17857,1,2,2025-01-02,Completed
297016,1148,1,23,2025-01-02,Completed
297017,6641,1,14,2025-01-02,Completed
297018,10223,1,23,2025-01-02,Completed
297019,16593,1,1,2025-01-02,Completed
297020,9887,1,1,2025-01-02,Completed
297021,29921,1,23,2025-01-02,Completed
297022,8235,1,6,2025-01-02,Completed
297023,6717,1,6,2025-01-02,Completed
297024,25968,1,6,2025-01-02,Completed
297025,25482,1,23,2025-01-02,Completed
297026,6944,1,25,2025-01-02,Completed
297027,24525,1,25,2025-01-02,Completed
297028,19499,1,14,2025-01-02,Completed
297029,31297,1,22,2025-01-02,Completed
297030,31189,1,10,2025-01-02,Completed
297031,29679,2,50,2025-01-02,Completed
297032,26994,2,35,2025-01-02,Completed
297033,28937,2,43,2025-01-02,Completed
297034,15187,2,50,2025-01-02,Completed
297035,22180,2,55,2025-01-02,Completed
297036,31265,2,49,2025-01-02,Completed
297037,30155,2,44,2025-01-02,Completed
297038,31041,2,35,2025-01-02,Cancelled
297039,28211,2,54,2025-01-02,Completed
297040,1179,2,56,2025-01-02,Completed
297041,16916,2,56,2025-01-02,Cancelled
297042,29122,2,49,2025-01-02,Completed
297043,8017,2,56,2025-01-02,Completed
297044,12547,2,56,2025-01-02,Completed
297045,30158,2,43,2025-01-02,Completed
297046,17623,2,55,2025-01-02,Completed
297047,1937,2,55,2025-01-02,Completed
297048,1360,2,47,2025-01-02,Completed
297049,8467,2,54,2025-01-02,Completed
297050,30282,2,35,2025-01-02,Completed
297051,10006,2,50,2025-01-02,Completed
297052,16877,2,50,2025-01-02,Completed
297053,4780,2,47,2025-01-02,Completed
297054,10005,2,51,2025-01-02,Completed
297055,4689,3,78,2025-01-02,Completed
