purchase_ID,product_ID,br_ID,sup_ID,purchase_qty,purchase_date,purchase_unit_cost
42821,2,1,1,133,2025-01-03,13.97
42822,4,1,4,110,2025-01-03,21.17
42823,6,1,6,98,2025-01-03,14.96
42824,8,1,2,111,2025-01-03,15.58
42825,10,1,2,58,2025-01-03,16.40
42826,12,1,4,92,2025-01-03,38.87
42827,14,1,2,103,2025-01-03,29.15
42828,16,1,4,89,2025-01-03,57.19
42829,18,1,2,70,2025-01-03,63.54
42830,20,1,6,62,2025-01-03,35.66
42831,22,1,2,66,2025-01-03,46.07
42832,24,1,4,67,2025-01-03,35.48
42833,26,1,5,104,2025-01-03,25.71
42834,28,1,3,112,2025-01-03,20.64
42835,30,1,6,153,2025-01-03,12.63
42836,32,1,6,74,2025-01-03,31.59
42837,34,1,3,122,2025-01-03,12.80
42838,36,1,2,50,2025-01-03,28.25
42839,38,1,2,84,2025-01-03,31.35
42840,40,1,6,130,2025-01-03,7.52
42841,42,1,2,56,2025-01-03,9.79
42842,44,1,3,78,2025-01-03,24.31
42843,46,1,5,94,2025-01-03,15.48
42844,48,1,3,118,2025-01-03,21.96
42845,49,1,8,46,2025-01-03,14.76
42846,50,1,8,27,2025-01-03,23.96
42847,51,1,8,54,2025-01-03,21.01
42848,52,1,8,47,2025-01-03,22.68
42849,53,1,8,26,2025-01-03,13.73
42850,54,1,8,42,2025-01-03,8.46
42851,55,1,6,58,2025-01-03,36.69
42852,56,1,1,55,2025-01-03,15.21
42853,2,2,6,136,2025-01-03,15.34
42854,4,2,4,167,2025-01-03,21.80
42855,6,2,6,107,2025-01-03,13.44
42856,8,2,6,154,2025-01-03,12.67
42857,10,2,4,79,2025-01-03,19.02
42858,12,2,2,107,2025-01-03,35.88
42859,14,2,2,140,2025-01-03,28.88
42860,16,2,4,132,2025-01-03,49.74
42861,18,2,2,86,2025-01-03,62.98
42862,20,2,2,78,2025-01-03,31.09
42863,22,2,2,121,2025-01-03,44.74
42864,24,2,2,109,2025-01-03,32.38
42865,26,2,3,159,2025-01-03,23.95
42866,28,2,5,109,2025-01-03,20.56
42867,30,2,1,199,2025-01-03,14.22
42868,32,2,6,92,2025-01-03,29.48
42869,34,2,3,121,2025-01-03,12.25
42870,36,2,2,126,2025-01-03,27.87
42871,38,2,4,56,2025-01-03,30.65
42872,40,2,6,236,2025-01-03,6.06
42873,42,2,2,102,2025-01-03,10.64
42874,44,2,3,107,2025-01-03,30.53
42875,46,2,5,169,2025-01-03,14.84
42876,48,2,3,153,2025-01-03,20.55
42877,49,2,8,46,2025-01-03,12.24
42878,50,2,8,53,2025-01-03,22.73
42879,51,2,8,49,2025-01-03,20.11
42880,52,2,8,40,2025-01-03,24.51
42881,53,2,8,31,2025-01-03,13.63
42882,54,2,8,43,2025-01-03,8.39
42883,55,2,1,26,2025-01-03,29.51
42884,56,2,1,51,2025-01-03,16.89
