res_det_ID,res_ID,st_ID,serv_ID,start_time,end_time,serv_discount,serv_tax
129875,98370,3,11,2025-01-01 11:15:00,2025-01-01 12:30:00,9.00,10.26
129876,98371,27,10,2025-01-01 15:30:00,2025-01-01 16:30:00,5.04,9.78
129877,98372,12,2,2025-01-01 18:30:00,2025-01-01 19:15:00,4.20,3.35
129878,98372,12,16,2025-01-01 19:15:00,2025-01-01 19:45:00,2.80,2.23
129879,98373,41,2,2025-01-01 17:45:00,2025-01-01 18:30:00,0.00,3.60
129880,98374,36,11,2025-01-01 18:00:00,2025-01-01 19:15:00,5.40,10.48
129881,98375,31,11,2025-01-01 16:15:00,2025-01-01 17:30:00,5.40,10.48
129882,98376,246,11,2025-01-01 16:45:00,2025-01-01 18:00:00,12.60,10.04
129883,98377,58,2,2025-01-01 10:00:00,2025-01-01 10:45:00,3.00,3.42
129884,98378,52,17,2025-01-01 12:15:00,2025-01-01 13:45:00,21.00,23.94
129885,98379,73,12,2025-01-01 18:15:00,2025-01-01 19:15:00,10.15,8.09
129886,98380,62,12,2025-01-01 17:15:00,2025-01-01 18:15:00,0.00,8.70
129887,98381,94,17,2025-01-01 17:15:00,2025-01-01 18:45:00,12.60,24.44
129888,98381,94,14,2025-01-01 18:45:00,2025-01-01 19:00:00,1.05,2.04
129889,98382,123,2,2025-01-01 17:00:00,2025-01-01 17:45:00,0.00,3.60
129890,98382,123,15,2025-01-01 17:45:00,2025-01-01 18:15:00,0.00,3.30
129891,98383,132,6,2025-01-01 15:15:00,2025-01-01 16:30:00,0.00,11.10
129892,98384,143,3,2025-01-01 17:00:00,2025-01-01 18:15:00,3.30,6.40
129893,98385,160,8,2025-01-01 18:30:00,2025-01-01 20:00:00,0.00,19.20
129894,98386,179,12,2025-01-01 15:45:00,2025-01-01 16:45:00,0.00,8.70
129895,98387,181,4,2025-01-01 14:30:00,2025-01-01 15:30:00,4.75,5.42
129896,98388,186,2,2025-01-01 12:30:00,2025-01-01 13:15:00,3.00,3.42
129897,98389,198,2,2025-01-01 14:30:00,2025-01-01 15:15:00,3.00,3.42
129898,98390,211,1,2025-01-01 19:00:00,2025-01-01 20:00:00,9.00,3.96
129899,98391,211,1,2025-01-01 13:30:00,2025-01-01 14:30:00,9.00,3.96
129900,98391,211,18,2025-01-01 14:30:00,2025-01-01 14:50:00,5.40,2.38
129901,98392,226,12,2025-01-01 17:00:00,2025-01-01 18:00:00,10.15,8.09
129902,98393,240,3,2025-01-01 14:15:00,2025-01-01 15:30:00,5.50,6.27
129903,98394,255,13,2025-01-01 17:00:00,2025-01-01 18:15:00,4.80,9.31
129904,98394,255,14,2025-01-01 18:15:00,2025-01-01 18:30:00,1.05,2.04
129905,98395,308,4,2025-01-01 10:00:00,2025-01-01 11:00:00,7.60,5.24
129906,98396,299,4,2025-01-01 15:00:00,2025-01-01 16:00:00,6.65,5.30
129907,98397,7,2,2025-01-02 18:15:00,2025-01-02 19:00:00,4.20,3.35
129908,98398,5,1,2025-01-02 11:30:00,2025-01-02 12:30:00,9.00,3.96
129909,98398,5,15,2025-01-02 12:30:00,2025-01-02 13:00:00,6.60,2.90
129910,98399,15,5,2025-01-02 12:45:00,2025-01-02 14:00:00,19.60,13.52
129911,98399,15,14,2025-01-02 14:00:00,2025-01-02 14:15:00,2.80,1.93
129912,98400,16,4,2025-01-02 17:00:00,2025-01-02 18:00:00,6.65,5.30
129913,98400,16,14,2025-01-02 18:00:00,2025-01-02 18:15:00,2.45,1.95
129914,98401,21,4,2025-01-02 14:30:00,2025-01-02 15:30:00,4.75,5.42
129915,98401,21,15,2025-01-02 15:30:00,2025-01-02 16:00:00,2.75,3.13
129916,98402,27,8,2025-01-02 13:00:00,2025-01-02 14:30:00,25.60,17.66
129917,98403,12,8,2025-01-02 14:30:00,2025-01-02 16:00:00,54.40,15.94
129918,98404,30,1,2025-01-02 15:45:00,2025-01-02 16:45:00,0.00,4.50
129919,98405,36,1,2025-01-02 16:45:00,2025-01-02 17:45:00,0.00,4.50
129920,98406,33,7,2025-01-02 14:15:00,2025-01-02 15:45:00,15.50,17.67
129921,98407,41,6,2025-01-02 18:15:00,2025-01-02 19:30:00,0.00,11.10
129922,98408,41,12,2025-01-02 15:15:00,2025-01-02 16:15:00,0.00,8.70
129923,98409,36,5,2025-01-02 18:30:00,2025-01-02 19:45:00,0.00,14.70
129924,98409,36,14,2025-01-02 19:45:00,2025-01-02 20:00:00,0.00,2.10
129925,98410,62,2,2025-01-02 11:15:00,2025-01-02 12:00:00,10.20,2.99
129926,98411,61,4,2025-01-02 17:15:00,2025-01-02 18:15:00,6.65,5.30
129927,98411,61,18,2025-01-02 18:15:00,2025-01-02 18:35:00,3.15,2.51
129928,98412,73,5,2025-01-02 17:00:00,2025-01-02 18:15:00,0.00,14.70
129929,98413,75,2,2025-01-02 16:15:00,2025-01-02 17:00:00,1.80,3.49
129930,98413,75,14,2025-01-02 17:00:00,2025-01-02 17:15:00,1.05,2.04
129931,98414,71,1,2025-01-02 15:45:00,2025-01-02 16:45:00,0.00,4.50
129932,98415,83,10,2025-01-02 10:00:00,2025-01-02 11:00:00,8.40,9.58
129933,98416,83,11,2025-01-02 17:30:00,2025-01-02 18:45:00,21.60,9.50
129934,98417,101,3,2025-01-02 11:45:00,2025-01-02 13:00:00,18.70,5.48
129935,98418,105,1,2025-01-02 19:00:00,2025-01-02 20:00:00,0.00,4.50
129936,98419,133,13,2025-01-02 12:00:00,2025-01-02 13:15:00,8.00,9.12
129937,98420,116,10,2025-01-02 14:45:00,2025-01-02 15:45:00,8.40,9.58
129938,98420,116,15,2025-01-02 15:45:00,2025-01-02 16:15:00,2.75,3.13
129939,98421,124,1,2025-01-02 10:00:00,2025-01-02 11:00:00,9.00,3.96
129940,98422,119,10,2025-01-02 16:00:00,2025-01-02 17:00:00,0.00,10.08
129941,98423,143,4,2025-01-02 18:15:00,2025-01-02 19:15:00,0.00,5.70
129942,98424,154,9,2025-01-02 13:00:00,2025-01-02 14:15:00,30.00,13.20
129943,98424,154,16,2025-01-02 14:15:00,2025-01-02 14:45:00,4.80,2.11
129944,98425,250,11,2025-01-02 17:45:00,2025-01-02 19:00:00,0.00,10.80
129945,98426,168,6,2025-01-02 16:00:00,2025-01-02 17:15:00,12.95,10.32
129946,98427,171,12,2025-01-02 18:30:00,2025-01-02 19:30:00,10.15,8.09
129947,98428,162,2,2025-01-02 13:00:00,2025-01-02 13:45:00,4.80,3.31
129948,98428,162,16,2025-01-02 13:45:00,2025-01-02 14:15:00,3.20,2.21
129949,98429,174,13,2025-01-02 18:15:00,2025-01-02 19:30:00,4.80,9.31
129950,98430,161,1,2025-01-02 13:15:00,2025-01-02 14:15:00,9.00,3.96
129951,98430,161,18,2025-01-02 14:15:00,2025-01-02 14:35:00,5.40,2.38
129952,98431,162,4,2025-01-02 19:00:00,2025-01-02 20:00:00,6.65,5.30
129953,98432,184,1,2025-01-02 15:45:00,2025-01-02 16:45:00,0.00,4.50
129954,98432,184,14,2025-01-02 16:45:00,2025-01-02 17:00:00,0.00,2.10
129955,98433,186,4,2025-01-02 11:30:00,2025-01-02 12:30:00,11.40,5.02
129956,98433,186,15,2025-01-02 12:30:00,2025-01-02 13:00:00,6.60,2.90
129957,98434,183,7,2025-01-02 18:30:00,2025-01-02 20:00:00,37.20,16.37
129958,98435,178,5,2025-01-02 17:30:00,2025-01-02 18:45:00,0.00,14.70
129959,98435,178,14,2025-01-02 18:45:00,2025-01-02 19:00:00,0.00,2.10
129960,98436,186,13,2025-01-02 15:15:00,2025-01-02 16:30:00,4.80,9.31
129961,98437,205,10,2025-01-02 12:30:00,2025-01-02 13:30:00,20.16,8.87
129962,98437,205,18,2025-01-02 13:30:00,2025-01-02 13:50:00,5.40,2.38
129963,98438,194,1,2025-01-02 17:30:00,2025-01-02 18:30:00,2.25,4.37
129964,98439,196,6,2025-01-02 18:30:00,2025-01-02 19:45:00,5.55,10.77
129965,98440,193,9,2025-01-02 16:45:00,2025-01-02 18:00:00,17.50,13.95
129966,98441,204,1,2025-01-02 17:45:00,2025-01-02 18:45:00,9.00,3.96
129967,98442,205,10,2025-01-02 17:15:00,2025-01-02 18:15:00,5.04,9.78
129968,98443,201,1,2025-01-02 18:15:00,2025-01-02 19:15:00,0.00,4.50
129969,98444,211,2,2025-01-02 16:15:00,2025-01-02 17:00:00,7.20,3.17
129970,98445,216,9,2025-01-02 17:00:00,2025-01-02 18:15:00,0.00,15.00
129971,98446,214,1,2025-01-02 17:15:00,2025-01-02 18:15:00,2.25,4.37
129972,98447,223,4,2025-01-02 19:00:00,2025-01-02 20:00:00,0.00,5.70
129973,98448,217,6,2025-01-02 16:45:00,2025-01-02 18:00:00,5.55,10.77
129974,98449,228,11,2025-01-02 18:15:00,2025-01-02 19:30:00,12.60,10.04
129975,98450,229,11,2025-01-02 10:30:00,2025-01-02 11:45:00,14.40,9.94
129976,98451,234,6,2025-01-02 11:45:00,2025-01-02 13:00:00,9.25,10.54
129977,98451,234,18,2025-01-02 13:00:00,2025-01-02 13:20:00,2.25,2.56
129978,98452,243,13,2025-01-02 10:45:00,2025-01-02 12:00:00,8.00,9.12
129979,98452,243,14,2025-01-02 12:00:00,2025-01-02 12:15:00,1.75,1.99
129980,98453,243,4,2025-01-02 15:00:00,2025-01-02 16:00:00,2.85,5.53
